Gewest,Provincie,Arrondissement,Rubrieken niveau 1,Jaar,Totaal kadastraal inkomen
Vlaams Gewest,Provincie Limburg,,totaal bebouwde percelen  (2TOT),1982,
Vlaams Gewest,Provincie Limburg,,totaal bebouwde percelen  (2TOT),1990,334802456.625
Vlaams Gewest,Provincie Limburg,,totaal bebouwde percelen  (2TOT),2000,467994183.674
Vlaams Gewest,Provincie Limburg,,totaal bebouwde percelen  (2TOT),2005,520629239.0
Vlaams Gewest,Provincie Limburg,,totaal bebouwde percelen  (2TOT),2010,567044596.0
Vlaams Gewest,Provincie Limburg,,totaal bebouwde percelen  (2TOT),2015,607678844.0
Vlaams Gewest,Provincie Limburg,,totaal bebouwde percelen  (2TOT),2020,623672339.0
Vlaams Gewest,Provincie Limburg,,niet genormaliseerde percelen  (3TOT),1982,
Vlaams Gewest,Provincie Limburg,,niet genormaliseerde percelen  (3TOT),1990,3815.081
Vlaams Gewest,Provincie Limburg,,niet genormaliseerde percelen  (3TOT),2000,2299.956
Vlaams Gewest,Provincie Limburg,,niet genormaliseerde percelen  (3TOT),2005,2000.0
Vlaams Gewest,Provincie Limburg,,niet genormaliseerde percelen  (3TOT),2010,
Vlaams Gewest,Provincie Limburg,,niet genormaliseerde percelen  (3TOT),2015,
Vlaams Gewest,Provincie Limburg,,niet genormaliseerde percelen  (3TOT),2020,
Vlaams Gewest,Provincie Limburg,,gekadastreerde oppervlakte  (4TOT),1982,
Vlaams Gewest,Provincie Limburg,,gekadastreerde oppervlakte  (4TOT),1990,342097154.926
Vlaams Gewest,Provincie Limburg,,gekadastreerde oppervlakte  (4TOT),2000,475014048.622
Vlaams Gewest,Provincie Limburg,,gekadastreerde oppervlakte  (4TOT),2005,527765160.0
Vlaams Gewest,Provincie Limburg,,gekadastreerde oppervlakte  (4TOT),2010,574464443.0
Vlaams Gewest,Provincie Limburg,,gekadastreerde oppervlakte  (4TOT),2015,616148365.0
Vlaams Gewest,Provincie Limburg,,gekadastreerde oppervlakte  (4TOT),2020,635129143.0
Vlaams Gewest,Provincie Limburg,,niet gekadastreerde oppervlakte  (5TOT),1982,
Vlaams Gewest,Provincie Limburg,,niet gekadastreerde oppervlakte  (5TOT),1990,
Vlaams Gewest,Provincie Limburg,,niet gekadastreerde oppervlakte  (5TOT),2000,
Vlaams Gewest,Provincie Limburg,,niet gekadastreerde oppervlakte  (5TOT),2005,
Vlaams Gewest,Provincie Limburg,,niet gekadastreerde oppervlakte  (5TOT),2010,
Vlaams Gewest,Provincie Limburg,,niet gekadastreerde oppervlakte  (5TOT),2015,
Vlaams Gewest,Provincie Limburg,,niet gekadastreerde oppervlakte  (5TOT),2020,
