Karakteristieken,België,Gewest,Jaar,Gebouwtype,Aantal eenheden
"Aantal gebouwen met garage, parking of overdekte staanplaats",België,Vlaams Gewest,2022,Huizen in gesloten bebouwing,282155.0
"Aantal gebouwen met garage, parking of overdekte staanplaats",België,Vlaams Gewest,2022,Huizen in halfopen bebouwing,467228.0
"Aantal gebouwen met garage, parking of overdekte staanplaats",België,Vlaams Gewest,2022,"Huizen in open bebouwing, hoeven en kastelen",801122.0
"Aantal gebouwen met garage, parking of overdekte staanplaats",België,Vlaams Gewest,2022,Buildings en flatgebouwen met appartementen,81380.0
"Aantal gebouwen met garage, parking of overdekte staanplaats",België,Brussels Hoofdstedelijk Gewest,2022,Huizen in gesloten bebouwing,31011.0
"Aantal gebouwen met garage, parking of overdekte staanplaats",België,Brussels Hoofdstedelijk Gewest,2022,Huizen in halfopen bebouwing,10018.0
"Aantal gebouwen met garage, parking of overdekte staanplaats",België,Brussels Hoofdstedelijk Gewest,2022,"Huizen in open bebouwing, hoeven en kastelen",5031.0
"Aantal gebouwen met garage, parking of overdekte staanplaats",België,Brussels Hoofdstedelijk Gewest,2022,Buildings en flatgebouwen met appartementen,17441.0
"Aantal gebouwen met garage, parking of overdekte staanplaats",België,Waals Gewest,2022,Huizen in gesloten bebouwing,139072.0
"Aantal gebouwen met garage, parking of overdekte staanplaats",België,Waals Gewest,2022,Huizen in halfopen bebouwing,221032.0
"Aantal gebouwen met garage, parking of overdekte staanplaats",België,Waals Gewest,2022,"Huizen in open bebouwing, hoeven en kastelen",430661.0
"Aantal gebouwen met garage, parking of overdekte staanplaats",België,Waals Gewest,2022,Buildings en flatgebouwen met appartementen,22831.0
"Aantal gebouwen met garage, parking of overdekte staanplaats",België,,2022,Huizen in gesloten bebouwing,452238.0
"Aantal gebouwen met garage, parking of overdekte staanplaats",België,,2022,Huizen in halfopen bebouwing,698278.0
"Aantal gebouwen met garage, parking of overdekte staanplaats",België,,2022,"Huizen in open bebouwing, hoeven en kastelen",1236814.0
"Aantal gebouwen met garage, parking of overdekte staanplaats",België,,2022,Buildings en flatgebouwen met appartementen,121652.0
"Aantal garages, parkings of overdekte staanplaatsen",België,Vlaams Gewest,2022,Huizen in gesloten bebouwing,300880.0
"Aantal garages, parkings of overdekte staanplaatsen",België,Vlaams Gewest,2022,Huizen in halfopen bebouwing,508527.0
"Aantal garages, parkings of overdekte staanplaatsen",België,Vlaams Gewest,2022,"Huizen in open bebouwing, hoeven en kastelen",988014.0
"Aantal garages, parkings of overdekte staanplaatsen",België,Vlaams Gewest,2022,Buildings en flatgebouwen met appartementen,744086.0
"Aantal garages, parkings of overdekte staanplaatsen",België,Brussels Hoofdstedelijk Gewest,2022,Huizen in gesloten bebouwing,35571.0
"Aantal garages, parkings of overdekte staanplaatsen",België,Brussels Hoofdstedelijk Gewest,2022,Huizen in halfopen bebouwing,11462.0
"Aantal garages, parkings of overdekte staanplaatsen",België,Brussels Hoofdstedelijk Gewest,2022,"Huizen in open bebouwing, hoeven en kastelen",7455.0
"Aantal garages, parkings of overdekte staanplaatsen",België,Brussels Hoofdstedelijk Gewest,2022,Buildings en flatgebouwen met appartementen,230001.0
"Aantal garages, parkings of overdekte staanplaatsen",België,Waals Gewest,2022,Huizen in gesloten bebouwing,152202.0
"Aantal garages, parkings of overdekte staanplaatsen",België,Waals Gewest,2022,Huizen in halfopen bebouwing,247171.0
"Aantal garages, parkings of overdekte staanplaatsen",België,Waals Gewest,2022,"Huizen in open bebouwing, hoeven en kastelen",524727.0
"Aantal garages, parkings of overdekte staanplaatsen",België,Waals Gewest,2022,Buildings en flatgebouwen met appartementen,191734.0
