Gebruikt product,Jaar,Maand,Hoeveelheid  product (BE)
Geëvaporeerde melk (niet gesuikerd),2021,Augustus 2021,47800.0
Geëvaporeerde melk (niet gesuikerd),2021,September 2021,50460.0
Geëvaporeerde melk (niet gesuikerd),2021,Oktober 2021,74360.0
Geëvaporeerde melk (niet gesuikerd),2021,November 2021,50200.0
Geëvaporeerde melk (niet gesuikerd),2021,December 2021,25280.0
Geëvaporeerde melk (niet gesuikerd),2022,Januari 2022,23900.0
Geëvaporeerde melk (niet gesuikerd),2022,Februari 2022,
Geëvaporeerde melk (niet gesuikerd),2022,Maart 2022,50340.0
Geëvaporeerde melk (niet gesuikerd),2022,April 2022,26120.0
Geëvaporeerde melk (niet gesuikerd),2022,Mei 2022,49280.0
Geëvaporeerde melk (niet gesuikerd),2022,Juni 2022,51230.0
Geëvaporeerde melk (niet gesuikerd),2022,Juli 2022,
Geëvaporeerde melk (niet gesuikerd),2022,Augustus 2022,
Gecondenseerde melk (gesuikerd),2021,Augustus 2021,
Gecondenseerde melk (gesuikerd),2021,September 2021,
Gecondenseerde melk (gesuikerd),2021,Oktober 2021,
Gecondenseerde melk (gesuikerd),2021,November 2021,
Gecondenseerde melk (gesuikerd),2021,December 2021,
Gecondenseerde melk (gesuikerd),2022,Januari 2022,
Gecondenseerde melk (gesuikerd),2022,Februari 2022,
Gecondenseerde melk (gesuikerd),2022,Maart 2022,
Gecondenseerde melk (gesuikerd),2022,April 2022,
Gecondenseerde melk (gesuikerd),2022,Mei 2022,
Gecondenseerde melk (gesuikerd),2022,Juni 2022,
Gecondenseerde melk (gesuikerd),2022,Juli 2022,
Gecondenseerde melk (gesuikerd),2022,Augustus 2022,
Weiroom/ingedikte wei,2021,Augustus 2021,
Weiroom/ingedikte wei,2021,September 2021,
Weiroom/ingedikte wei,2021,Oktober 2021,
Weiroom/ingedikte wei,2021,November 2021,
Weiroom/ingedikte wei,2021,December 2021,
Weiroom/ingedikte wei,2022,Januari 2022,
Weiroom/ingedikte wei,2022,Februari 2022,
Weiroom/ingedikte wei,2022,Maart 2022,
Weiroom/ingedikte wei,2022,April 2022,
Weiroom/ingedikte wei,2022,Mei 2022,
Weiroom/ingedikte wei,2022,Juni 2022,
Weiroom/ingedikte wei,2022,Juli 2022,
Weiroom/ingedikte wei,2022,Augustus 2022,
Wrongel,2021,Augustus 2021,
Wrongel,2021,September 2021,
Wrongel,2021,Oktober 2021,
Wrongel,2021,November 2021,
Wrongel,2021,December 2021,
Wrongel,2022,Januari 2022,
Wrongel,2022,Februari 2022,
Wrongel,2022,Maart 2022,
Wrongel,2022,April 2022,
Wrongel,2022,Mei 2022,
Wrongel,2022,Juni 2022,
Wrongel,2022,Juli 2022,
Wrongel,2022,Augustus 2022,
Verwerkingskaas,2021,Augustus 2021,
Verwerkingskaas,2021,September 2021,
Verwerkingskaas,2021,Oktober 2021,
Verwerkingskaas,2021,November 2021,
Verwerkingskaas,2021,December 2021,
Verwerkingskaas,2022,Januari 2022,
Verwerkingskaas,2022,Februari 2022,
Verwerkingskaas,2022,Maart 2022,
Verwerkingskaas,2022,April 2022,
Verwerkingskaas,2022,Mei 2022,
Verwerkingskaas,2022,Juni 2022,
Verwerkingskaas,2022,Juli 2022,
Verwerkingskaas,2022,Augustus 2022,
Niet geaffineerde kazen: melkerij,2021,Augustus 2021,
Niet geaffineerde kazen: melkerij,2021,September 2021,
Niet geaffineerde kazen: melkerij,2021,Oktober 2021,
Niet geaffineerde kazen: melkerij,2021,November 2021,
Niet geaffineerde kazen: melkerij,2021,December 2021,
Niet geaffineerde kazen: melkerij,2022,Januari 2022,
Niet geaffineerde kazen: melkerij,2022,Februari 2022,
Niet geaffineerde kazen: melkerij,2022,Maart 2022,
Niet geaffineerde kazen: melkerij,2022,April 2022,
Niet geaffineerde kazen: melkerij,2022,Mei 2022,
Niet geaffineerde kazen: melkerij,2022,Juni 2022,
Niet geaffineerde kazen: melkerij,2022,Juli 2022,
Niet geaffineerde kazen: melkerij,2022,Augustus 2022,
Niet geaffineerde kazen: hoevekaas,2021,Augustus 2021,
Niet geaffineerde kazen: hoevekaas,2021,September 2021,
Niet geaffineerde kazen: hoevekaas,2021,Oktober 2021,
Niet geaffineerde kazen: hoevekaas,2021,November 2021,
Niet geaffineerde kazen: hoevekaas,2021,December 2021,
Niet geaffineerde kazen: hoevekaas,2022,Januari 2022,
Niet geaffineerde kazen: hoevekaas,2022,Februari 2022,
Niet geaffineerde kazen: hoevekaas,2022,Maart 2022,
Niet geaffineerde kazen: hoevekaas,2022,April 2022,
Niet geaffineerde kazen: hoevekaas,2022,Mei 2022,
Niet geaffineerde kazen: hoevekaas,2022,Juni 2022,
Niet geaffineerde kazen: hoevekaas,2022,Juli 2022,
Niet geaffineerde kazen: hoevekaas,2022,Augustus 2022,
Caseïne en caseïnaten,2021,Augustus 2021,
Caseïne en caseïnaten,2021,September 2021,
Caseïne en caseïnaten,2021,Oktober 2021,
Caseïne en caseïnaten,2021,November 2021,
Caseïne en caseïnaten,2021,December 2021,
Caseïne en caseïnaten,2022,Januari 2022,
Caseïne en caseïnaten,2022,Februari 2022,
Caseïne en caseïnaten,2022,Maart 2022,
Caseïne en caseïnaten,2022,April 2022,
Caseïne en caseïnaten,2022,Mei 2022,
Caseïne en caseïnaten,2022,Juni 2022,
Caseïne en caseïnaten,2022,Juli 2022,
Caseïne en caseïnaten,2022,Augustus 2022,
Andere melkproducten,2021,Augustus 2021,
Andere melkproducten,2021,September 2021,
Andere melkproducten,2021,Oktober 2021,240.0
Andere melkproducten,2021,November 2021,
Andere melkproducten,2021,December 2021,
Andere melkproducten,2022,Januari 2022,1350.0
Andere melkproducten,2022,Februari 2022,500.0
Andere melkproducten,2022,Maart 2022,270.0
Andere melkproducten,2022,April 2022,4600.0
Andere melkproducten,2022,Mei 2022,
Andere melkproducten,2022,Juni 2022,
Andere melkproducten,2022,Juli 2022,
Andere melkproducten,2022,Augustus 2022,
