België,Gewest,Provincie,Arrondissement,Gemeente,Aantal particuliere huishoudens
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Veurne,Veurne,4797
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Oostende,Gistel,4789
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Nevele,4713
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Hechtel-Eksel,4688
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Boortmeerbeek,4686
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Kinrooi,4644
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Profondeville,4644
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Florennes,4612
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Frasnes-lez-Anvaing,4610
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Deerlijk,4586
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Borsbeek,4568
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Aiseau-Presles,4483
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Meulebeke,4455
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Chaumont-Gistoux,4447
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Grobbendonk,4446
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Melle,4445
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Alken,4427
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Berlaar,4426
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Nazareth,4423
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Montigny-le-Tilleul,4423
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Roeselare,Moorslede,4419
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Raeren,4419
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Kampenhout,4408
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Farciennes,4390
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Rijkevorsel,4366
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Seneffe,4360
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Roeselare,Ingelmunster,4359
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Roosdaal,4327
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Hemiksem,4318
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,Ecaussinnes,4315
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Roeselare,Staden,4308
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Chimay,4297
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Damme,4277
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Borgloon,4276
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Retie,4273
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Libramont-Chevigny,4239
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Waasmunster,4222
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Hoeilaart,4199
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Oud-Heverlee,4198
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Hulshout,4188
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Tielt-Winge,4184
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Erquelinnes,4176
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Ham,4159
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Rebecq,4148
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,De Pinte,4094
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Vosselaar,4071
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Estaimpuis,4054
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Avelgem,4050
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Neupré,4046
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Meerhout,4043
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Plombières,4040
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Sint-Lievens-Houtem,4030
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Fosses-la-Ville,4004
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Jurbeke,3990
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Welkenraedt,3987
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Philippeville,3982
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Pepinster,3980
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Niel,3955
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Begijnendijk,3944
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Villers-la-Ville,3919
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Lovendegem,3899
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Kasteelbrakel,3874
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Sankt Vith,3839
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Roeselare,Hooglede,3830
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Diksmuide,Houthulst,3822
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Hoeselt,3820
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Opglabbeek,3807
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Roeselare,Ledegem,3784
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Yvoir,3776
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Wijnegem,3760
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Court-Saint-Etienne,3757
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Halen,3754
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Kapelle-op-den-Bos,3750
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Dessel,3725
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Holsbeek,3716
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Bertem,3696
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Huldenberg,3684
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Oostende,Oudenburg,3678
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Ardooie,3673
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Beauraing,3660
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Bitsingen,3657
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Les Bons Villers,3652
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Bierbeek,3631
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Herenthout,3606
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Wielsbeke,3590
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Awans,3578
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Gooik,3556
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Juprelle,3530
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Bertrix,3528
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Diksmuide,Koekelare,3526
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Lennik,3518
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Trooz,3504
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Roeselare,Lichtervelde,3439
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Knesselare,3428
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,Le Roeulx,3407
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Sint-Martens-Latem,3403
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Zoutleeuw,3376
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Galmaarden,3355
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Lint,3347
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Zomergem,3329
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Schelle,3300
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Kortessem,3295
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Waarschoot,3286
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Antoing,3281
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Gingelom,3278
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Jalhay,3264
België,Waals Gewest,Provincie Namen,Arrondissement Namen,La Bruyère,3251
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Quévy,3233
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Heuvelland,3232
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Dentergem,3204
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Zwalm,3192
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Orp-Jauche,3191
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Estinnes,3179
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Kruishoutem,3174
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Vielsalm,3168
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Hove (Antwerpen),3157
België,Waals Gewest,Provincie Luxemburg,Arrondissement Aarlen,Messancy,3142
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Sint-Amands,3137
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Sombreffe,3136
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Brunehaut,3131
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,As,3129
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Kortenaken,3128
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,Opzullik,3124
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Habay,3121
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Merksplas,3116
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Langemark-Poelkapelle,3110
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Perwijs (Nijvel),3105
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Terhulpen,3088
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Vorselaar,3064
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Floreffe,3044
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Oostrozebeke,3002
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Beaumont,2978
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Boutersem,2952
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Wellen,2947
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Stavelot,2944
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Anhée,2918
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Wachtebeke,2913
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Zingem,2897
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Quiévrain,2888
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Heers,2859
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Weismes,2856
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Linter,2850
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Hensies,2834
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Hamois,2828
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Zutendaal,2827
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Neufchâteau (Neufchâteau),2812
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Dalhem,2785
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Hastière,2768
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Mont-Saint-Guibert,2762
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Saint-Georges-sur-Meuse,2762
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Eeklo,Sint-Laureins,2746
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Nieuwerkerken (Hasselt),2728
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Viroinval,2726
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Fernelmont,2690
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Hoegaarden,2661
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Chièvres,2629
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Kluisbergen,2617
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Pittem,2611
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Lierde,2606
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Gesves,2603
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Bevekom,2566
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Herne,2553
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Assesse,2548
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Eeklo,Kaprijke,2537
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Chastre,2533
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Bouillon,2513
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Moerbeke (Gent),2494
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Itter,2485
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Engis,2473
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Walhain,2470
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Saint-Hubert,2470
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Wortegem-Petegem,2443
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Villers-Le-Bouillet,2441
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Florenville,2421
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Bekkevoort,2403
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Elzele,2399
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Maarkedal,2392
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Limburg,2384
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Geetbets,2374
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Gouvy,2348
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Lobbes,2335
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Lendelede,2312
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Braives,2305
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Ramillies,2301
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Hotton,2281
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Bütgenbach,2271
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Comblain-au-Pont,2258
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Remicourt,2253
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Pecq,2229
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Momignies,2216
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Büllingen,2198
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Lontzen,2198
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Nandrin,2177
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Celles (Doornik),2161
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Chiny,2148
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Marchin,2140
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Honnelles,2129
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Rumes,2128
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Nassogne,2128
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Paliseul,2122
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Etalle,2113
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Amel,2081
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Houffalize,2069
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Drogenbos,2059
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Sivry-Rance,2058
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Somme-Leuze,2058
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Glabbeek,2036
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Ruiselede,2030
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Cerfontaine,2018
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Thimister-Clermont,1989
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,La Roche-en-Ardenne,1980
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Ferrières,1967
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Veurne,Alveringem,1947
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Libin,1942
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Linkebeek,1924
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Havelange,1915
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Gedinne,1910
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Houyet,1909
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Héron,1899
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Incourt,1860
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Vaux-sur-Sûre,1860
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Ohey,1830
België,Waals Gewest,Provincie Luxemburg,Arrondissement Aarlen,Attert,1809
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Lens,1755
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Léglise,1754
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Merbes-le-Château,1738
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Clavier,1716
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Musson,1707
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Baelen,1699
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Anthisnes,1679
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Aubel,1666
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Voeren,1660
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Hamoir,1637
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Froidchapelle,1618
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Modave,1594
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Pepingen,1589
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Burg-Reuland,1579
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Tintigny,1538
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Oerle,1528
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Olne,1522
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Verlaine,1465
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Brugelette,1457
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Faimes,1457
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Manhay,1454
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Vleteren,1422
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Mont-de-l’Enclus,1396
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Lierneux,1392
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Vloesberg,1365
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Erezée,1349
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Stoumont,1341
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Saint-Léger (Virton),1325
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Hélécine,1324
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Bièvre,1323
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Vresse-sur-Semois,1318
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Onhaye,1284
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Fexhe-le-Haut-Clocher,1273
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Diksmuide,Lo-Reninge,1234
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Crisnée,1232
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Lijsem,1227
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Doische,1219
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Bertogne,1198
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Geer,1196
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Berloz,1195
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Wellin,1190
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Burdinne,1174
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Rendeux,1162
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Meix-devant-Virton,1154
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Donceel,1146
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Zuienkerke,1126
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Ouffet,1104
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Trois-Ponts,1087
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Baarle-Hertog,1059
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Tenneville,1058
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Wasseiges,1040
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Tellin,1018
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Tinlot,967
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Sainte-Ode,957
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Spiere-Helkijn,862
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Bever,843
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Fauvillers,837
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Rouvroy,809
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Horebeke,765
België,Waals Gewest,Provincie Luxemburg,Arrondissement Aarlen,Martelange,740
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Herbeumont,674
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Daverdisse,596
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Mesen,410
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Herstappe,35
België,,,,,4727831
