België,Gewest,Provincie,Arrondissement,Gemeente,Aantal particuliere huishoudens
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Watermaal-Bosvoorde,11647
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Waterloo,11647
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Temse,11605
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Harelbeke,11365
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Houthalen-Helchteren,11225
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Flémalle,11196
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Ganshoren,11100
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Zottegem,10864
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Brecht,10861
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Kapellen (Antwerpen),10823
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Veurne,Koksijde,10813
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Mortsel,10802
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Lanaken,10730
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,Zinnik,10638
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Wetteren,10487
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Oupeye,10418
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Ronse,10407
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Andenne,10396
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Saint-Nicolas (Luik),10260
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Saint-Ghislain,10162
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Maaseik,10134
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Willebroek,10080
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Hoei,9987
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Hamme (Dendermonde),9983
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Westerlo,9878
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Gembloux,9839
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Diest,9804
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Zwevegem,9767
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Scherpenheuvel-Zichem,9667
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Sint-Agatha-Berchem,9663
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Blankenberge,9651
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Overijse,9557
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Eeklo,Maldegem,9549
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Fleurus,9499
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Tubeke,9496
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Merelbeke,9390
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Grâce-Hollogne,9365
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Beersel,9346
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Frameries,9343
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Oostende,Middelkerke,9324
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Edegem,9200
