Indicator Groep,Indicator Niveau 1,Indicator Niveau 2,Product Groep,Product Niveau 1,Kiloton olie equivalent (ovw)
Transformatie output,,,Vaste fossiele brandstoffen,Steenkool-briketten,
Transformatie output,,,Vaste fossiele brandstoffen,Cokesoven-cokes,880.751
Transformatie output,,,Vaste fossiele brandstoffen,Koolteer,36.873
Transformatie output,,,Vaste fossiele brandstoffen,BKB (bruinkoolbriketten),
Transformatie output,,,Siderurgische gassen,Cokesovengas,222.412
Transformatie output,,,Siderurgische gassen,Hoogovengas,520.581
Transformatie output,,,Siderurgische gassen,Andere teruggewonnen gassen,74.176
Energie sector,Cokesovens,,Vaste fossiele brandstoffen,Antraciet,
Energie sector,Cokesovens,,Vaste fossiele brandstoffen,Cokeskool,
Energie sector,Cokesovens,,Vaste fossiele brandstoffen,Andere bitumineuze kool,
Energie sector,Cokesovens,,Vaste fossiele brandstoffen,Subbitumineuze kool,
Energie sector,Cokesovens,,Vaste fossiele brandstoffen,Steenkool-briketten,
Energie sector,Cokesovens,,Vaste fossiele brandstoffen,Cokesoven-cokes,
Energie sector,Cokesovens,,Vaste fossiele brandstoffen,Koolteer,
Energie sector,Cokesovens,,Vaste fossiele brandstoffen,BKB (bruinkoolbriketten),
Energie sector,Cokesovens,,Siderurgische gassen,Cokesovengas,95.105
Energie sector,Cokesovens,,Siderurgische gassen,Hoogovengas,
Energie sector,Cokesovens,,Siderurgische gassen,Andere teruggewonnen gassen,
Energie sector,Hoogovens,,Vaste fossiele brandstoffen,Antraciet,
Energie sector,Hoogovens,,Vaste fossiele brandstoffen,Cokeskool,
Energie sector,Hoogovens,,Vaste fossiele brandstoffen,Andere bitumineuze kool,
Energie sector,Hoogovens,,Vaste fossiele brandstoffen,Subbitumineuze kool,
Energie sector,Hoogovens,,Vaste fossiele brandstoffen,Steenkool-briketten,
Energie sector,Hoogovens,,Vaste fossiele brandstoffen,Cokesoven-cokes,
Energie sector,Hoogovens,,Vaste fossiele brandstoffen,Koolteer,
Energie sector,Hoogovens,,Vaste fossiele brandstoffen,BKB (bruinkoolbriketten),
Energie sector,Hoogovens,,Siderurgische gassen,Cokesovengas,9.411
Energie sector,Hoogovens,,Siderurgische gassen,Hoogovengas,88.996
