België,Gewest,Provincie,Arrondissement,Gemeente,Gemiddelde leeftijd van de bevolking
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Brasschaat,43.602
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Veurne,Veurne,43.575
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Tienen,43.528
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Kortenaken,43.525
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Borgloon,43.511
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Zomergem,43.455
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Tongeren,43.398
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Brakel,43.396
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Florenville,43.316
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Kapellen (Antwerpen),43.303
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Maarkedal,43.293
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Gerpinnes,43.186
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Erpe-Mere,43.164
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Herselt,43.158
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Ardooie,43.14
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Zoutleeuw,43.126
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Hasselt,43.107
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Damme,43.084
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Sint-Truiden,43.068
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Daverdisse,43.055
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Hove (Antwerpen),43.035
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Waarschoot,43.004
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Neupré,42.986
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Linter,42.983
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Ieper,42.94
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Keerbergen,42.902
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Putte,42.886
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Ham-sur-Heure-Nalinnes,42.875
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Eeklo,Eeklo,42.824
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Diest,42.822
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Eeklo,Assenede,42.806
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Schoten,42.795
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Fléron,42.784
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Geetbets,42.768
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Destelbergen,42.76
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Eeklo,Zelzate,42.759
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,De Pinte,42.727
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Heist-op-den-Berg,42.722
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Esneux,42.702
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Nieuwerkerken (Hasselt),42.692
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Borgworm,42.677
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Tielt (Tielt),42.674
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Haaltert,42.663
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Heers,42.65
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Oostende,Oudenburg,42.649
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Gedinne,42.646
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Hamont-Achel,42.633
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Roeselare,Izegem,42.626
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Torhout,42.626
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Berlaar,42.615
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Dilbeek,42.609
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Begijnendijk,42.602
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Lendelede,42.584
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Zandhoven,42.578
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Riemst,42.569
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Roeselare,Moorslede,42.554
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Lennik,42.55
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Oud-Turnhout,42.55
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Kuurne,42.545
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Lier,42.543
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Landen,42.542
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Tremelo,42.537
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Vloesberg,42.536
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Herentals,42.519
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Watermaal-Bosvoorde,42.516
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Zoersel,42.505
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Herenthout,42.505
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Kortrijk,42.502
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Voeren,42.497
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Roeselare,Ingelmunster,42.467
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Lanaken,42.436
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Zwijndrecht,42.434
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Lubbeek,42.422
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Dendermonde,42.413
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Meerhout,42.41
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Eeklo,Kaprijke,42.395
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Laakdal,42.394
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Wachtebeke,42.373
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Diksmuide,Kortemark,42.372
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Ans,42.364
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Aalst (Aalst),42.348
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Eeklo,Maldegem,42.343
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Waterloo,42.334
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Oudenaarde,42.327
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Halen,42.325
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Bornem,42.319
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Wommelgem,42.316
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Nazareth,42.299
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Lede,42.289
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Bekkevoort,42.28
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Awans,42.254
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Geraardsbergen,42.249
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Lummen,42.248
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Elzele,42.231
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Wetteren,42.227
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Mortsel,42.219
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Mol,42.216
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Waasmunster,42.205
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Diksmuide,Koekelare,42.177
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Knesselare,42.171
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Zuienkerke,42.164
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Lierde,42.153
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Herbeumont,42.15
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Raeren,42.135
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Liedekerke,42.133
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Nijlen,42.131
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Thuin,42.121
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Glabbeek,42.119
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Evergem,42.116
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,La Roche-en-Ardenne,42.113
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Beernem,42.095
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Sint-Katelijne-Waver,42.094
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Roeselare,Staden,42.074
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Boortmeerbeek,42.072
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Harelbeke,42.072
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Londerzeel,42.064
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Grobbendonk,42.059
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Borsbeek,42.057
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Wichelen,42.051
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Viroinval,42.048
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Oostende,Bredene,42.044
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Deerlijk,42.037
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Menen,42.034
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Gooik,42.033
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Jabbeke,42.028
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Kapelle-op-den-Bos,42.017
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Grimbergen,41.998
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Buggenhout,41.985
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Avelgem,41.983
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Turnhout,41.982
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Laarne,41.981
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Poperinge,41.976
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Saint-Ghislain,41.971
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Kelmis,41.967
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Herne,41.965
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Ninove,41.959
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Sint-Lievens-Houtem,41.957
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Sint-Pieters-Woluwe,41.92
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Rumst,41.916
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Melle,41.894
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Ternat,41.894
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Ruiselede,41.888
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Binche,41.885
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Gavere,41.88
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Alken,41.87
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Ukkel,41.864
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Duffel,41.863
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Saint-Hubert,41.859
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Gingelom,41.854
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Bree,41.849
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Deinze,41.829
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Waregem,41.827
België,Waals Gewest,Provincie Henegouwen,Arrondissement Moeskroen,Komen-Waasten,41.823
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Beveren (Sint-Niklaas),41.811
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Diksmuide,Diksmuide,41.808
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Bièvre,41.806
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Tielt-Winge,41.793
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Neerpelt,41.792
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Doische,41.784
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Wemmel,41.784
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Flémalle,41.775
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Sint-Amands,41.761
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Meulebeke,41.754
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Wellin,41.739
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Meise,41.732
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Geel,41.731
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Doornik,41.691
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Sankt Vith,41.681
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Oostkamp,41.667
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Zutendaal,41.667
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Oupeye,41.655
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Herzele,41.653
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Zwalm,41.643
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Durbuy,41.63
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Moerbeke (Gent),41.629
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Zwevegem,41.626
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Roeselare,Roeselare,41.624
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Herk-de-Stad,41.62
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Heuvelland,41.614
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Eupen,41.612
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Waver,41.611
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Puurs,41.597
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Couvin,41.597
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Wervik,41.58
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Rixensart,41.578
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Kontich,41.576
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Balen,41.573
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Wellen,41.572
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Malmedy,41.57
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Sint-Niklaas (Sint-Niklaas),41.567
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Kalmthout,41.565
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Kruishoutem,41.565
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Haacht,41.544
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Lebbeke,41.542
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Nijvel,41.541
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Wevelgem,41.534
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Hoeselt,41.533
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Stekene,41.526
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Anderlues,41.526
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Boechout,41.518
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Ranst,41.515
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Roeselare,Lichtervelde,41.513
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Berlare,41.503
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Lasne,41.497
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Maaseik,41.496
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Westerlo,41.495
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Quévy,41.492
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Merelbeke,41.488
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Roeselare,Ledegem,41.48
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Terhulpen,41.453
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Mesen,41.43
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Leuze-en-Hainaut,41.427
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Erezée,41.425
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Lommel,41.414
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Diksmuide,Lo-Reninge,41.413
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Hulshout,41.407
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Overijse,41.388
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Bocholt,41.379
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Kasterlee,41.379
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Nandrin,41.369
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Wortegem-Petegem,41.365
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Honnelles,41.347
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Anzegem,41.346
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Aalter,41.338
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Affligem,41.323
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Ravels,41.312
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Galmaarden,41.31
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Kortessem,41.304
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Oosterzele,41.304
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Vorselaar,41.303
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Leopoldsburg,41.303
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Sint-Pieters-Leeuw,41.283
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Schelle,41.275
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Bilzen,41.26
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Tessenderlo,41.249
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Bütgenbach,41.248
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Oostende,Ichtegem,41.247
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Pittem,41.246
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Dessel,41.223
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Philippeville,41.223
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Malle,41.219
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Roosdaal,41.214
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Bierbeek,41.21
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Diepenbeek,41.201
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Dentergem,41.191
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Overpelt,41.184
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Oud-Heverlee,41.17
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Roeselare,Hooglede,41.169
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Halle (Halle-Vilvoorde),41.167
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Rotselaar,41.165
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Kruibeke,41.158
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Namen,41.126
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Houyet,41.119
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Merchtem,41.118
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Zedelgem,41.116
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Vleteren,41.114
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Sint-Lambrechts-Woluwe,41.104
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Pecq,41.089
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Juprelle,41.077
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Wezet,41.074
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Zemst,41.074
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Kinrooi,41.073
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Froidchapelle,41.072
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Hamoir,41.062
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Vosselaar,41.043
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Rumes,41.026
