België,Gewest,Provincie,Arrondissement,Gemeente,Eenpersoonshuishoudens
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Hastière,0.427
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Sint-Jans-Molenbeek,0.427
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Seraing,0.425
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Sint-Pieters-Woluwe,0.42
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Namen,0.418
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Koekelberg,0.416
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Jette,0.416
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Blankenberge,0.414
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Evere,0.414
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Gouvy,0.413
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Dinant,0.407
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,La Roche-en-Ardenne,0.404
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Veurne,De Panne,0.403
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Viroinval,0.402
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Bouillon,0.399
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Veurne,Nieuwpoort,0.399
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Ottignies-Louvain-la-Neuve,0.397
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Oostende,Middelkerke,0.395
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Doornik,0.394
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Eupen,0.393
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Knokke-Heist,0.386
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Herstal,0.385
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Esneux,0.382
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Oostende,De Haan,0.381
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Florenville,0.377
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Nijvel,0.374
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Chimay,0.374
België,Waals Gewest,Provincie Luxemburg,Arrondissement Aarlen,Aarlen,0.373
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Couvin,0.373
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Aywaille,0.373
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Sint-Agatha-Berchem,0.369
België,Waals Gewest,Provincie Luxemburg,Arrondissement Aarlen,Martelange,0.368
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Veurne,Koksijde,0.366
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Herbeumont,0.365
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Virton,0.364
