België,Gewest,Provincie,Arrondissement,Gemeente,Eenpersoonshuishoudens
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Lontzen,0.273
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Heuvelland,0.272
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Veurne,Alveringem,0.272
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Rumes,0.272
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Melle,0.272
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Habay,0.272
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Wervik,0.271
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Crisnée,0.271
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Genepiën,0.27
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Diksmuide,Koekelare,0.27
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Sint-Pieters-Leeuw,0.27
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Hamme (Dendermonde),0.27
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Hoegaarden,0.27
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Soumagne,0.27
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Waregem,0.268
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Haaltert,0.268
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Brakel,0.268
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Clavier,0.268
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Scherpenheuvel-Zichem,0.267
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Eeklo,Assenede,0.267
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Denderleeuw,0.267
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Kuurne,0.267
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Erpe-Mere,0.267
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Wachtebeke,0.267
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Heist-op-den-Berg,0.267
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Olne,0.267
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Burdinne,0.267
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Itter,0.266
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Mettet,0.266
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Waarschoot,0.265
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Sombreffe,0.265
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Pont-à-Celles,0.265
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Ouffet,0.265
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Chaumont-Gistoux,0.264
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Hulshout,0.264
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Eeklo,Maldegem,0.264
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Kapelle-op-den-Bos,0.264
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Opwijk,0.264
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Laarne,0.263
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Dalhem,0.263
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Mont-de-l’Enclus,0.263
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Knesselare,0.263
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Celles (Doornik),0.263
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Neupré,0.263
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Landen,0.262
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Genk,0.262
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Londerzeel,0.262
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Oostende,Gistel,0.261
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Maaseik,0.261
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Remicourt,0.261
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Kruibeke,0.261
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Lasne,0.261
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Boechout,0.261
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Juprelle,0.26
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Kapellen (Antwerpen),0.26
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Ohey,0.26
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Chièvres,0.26
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Herenthout,0.259
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Diksmuide,Houthulst,0.259
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Tervuren,0.258
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Kasteelbrakel,0.258
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Beveren (Sint-Niklaas),0.258
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Lennik,0.257
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Court-Saint-Etienne,0.257
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Herzele,0.257
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Incourt,0.257
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Etalle,0.256
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Musson,0.256
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Vorselaar,0.256
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Zuienkerke,0.256
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Wommelgem,0.256
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Bilzen,0.256
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Destelbergen,0.256
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Bree,0.256
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Ardooie,0.255
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Villers-la-Ville,0.255
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Arendonk,0.255
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Eghezée,0.255
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Braives,0.255
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Kontich,0.255
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Berlaar,0.255
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Bornem,0.255
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Malle,0.255
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Wevelgem,0.255
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Roeselare,Moorslede,0.255
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Fexhe-le-Haut-Clocher,0.255
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Roeselare,Ingelmunster,0.254
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Graven,0.254
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Moerbeke (Gent),0.254
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Ternat,0.254
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Sint-Martens-Latem,0.254
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Rebecq,0.254
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Floreffe,0.254
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Assesse,0.254
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Maasmechelen,0.253
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Zele,0.252
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Hoogstraten,0.252
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Laakdal,0.252
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Lendelede,0.252
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Merelbeke,0.252
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Putte,0.252
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Halen,0.252
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Huldenberg,0.252
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Jurbeke,0.252
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Sint-Lievens-Houtem,0.251
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Léglise,0.251
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Schelle,0.251
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Faimes,0.251
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Tielt-Winge,0.251
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Orp-Jauche,0.251
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Blégny,0.251
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Lijsem,0.25
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Eeklo,Kaprijke,0.25
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Zulte,0.25
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Bertem,0.249
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Zwevegem,0.249
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Westerlo,0.249
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Overijse,0.249
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Stabroek,0.249
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Overpelt,0.249
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Nieuwerkerken (Hasselt),0.249
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Liedekerke,0.248
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Zoutleeuw,0.248
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Hamont-Achel,0.248
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Bertogne,0.248
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Meulebeke,0.248
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Donceel,0.248
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Balen,0.248
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Ruiselede,0.247
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Diksmuide,Kortemark,0.246
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Perwijs (Nijvel),0.246
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Herselt,0.246
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Deerlijk,0.246
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Amel,0.246
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Berloz,0.246
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Stekene,0.246
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Aalter,0.246
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Borgloon,0.246
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Diepenbeek,0.245
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Olen,0.245
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Zomergem,0.245
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Villers-Le-Bouillet,0.245
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Meise,0.244
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Puurs,0.244
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Rumst,0.244
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Vleteren,0.244
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Voeren,0.244
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Meerhout,0.244
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Héron,0.244
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Roeselare,Staden,0.243
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Tessenderlo,0.243
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Geer,0.243
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Bekkevoort,0.243
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Buggenhout,0.243
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Evergem,0.243
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Herent,0.243
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Fauvillers,0.243
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Langemark-Poelkapelle,0.242
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Bever,0.242
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Lovendegem,0.242
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Oostrozebeke,0.242
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Oostkamp,0.241
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Nijlen,0.241
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Sint-Genesius-Rode,0.241
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Riemst,0.241
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Grobbendonk,0.24
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Hove (Antwerpen),0.24
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Vaux-sur-Sûre,0.24
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Essen,0.24
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Nazareth,0.239
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Zonnebeke,0.239
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Oostende,Ichtegem,0.239
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Nevele,0.239
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Schilde,0.238
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Rotselaar,0.238
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Ranst,0.238
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Neerpelt,0.238
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Peer,0.238
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Beersel,0.238
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Herk-de-Stad,0.238
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Fernelmont,0.238
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Aartselaar,0.237
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Diksmuide,Lo-Reninge,0.237
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Waasmunster,0.237
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Kalmthout,0.237
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Bierbeek,0.237
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Boortmeerbeek,0.237
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Wingene,0.237
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Heers,0.237
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Zandhoven,0.236
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Gavere,0.236
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Kruishoutem,0.236
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Sint-Katelijne-Waver,0.236
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Hoeselt,0.235
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Haacht,0.235
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Zingem,0.235
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Rijkevorsel,0.235
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Nandrin,0.235
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Beernem,0.234
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,As,0.234
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Roeselare,Lichtervelde,0.234
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Ramillies,0.234
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Gooik,0.233
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Verlaine,0.233
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Kasterlee,0.233
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Kortenaken,0.233
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Bonheiden,0.233
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Tinlot,0.233
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Wielsbeke,0.232
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Sint-Gillis-Waas,0.232
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Lommel,0.232
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Tremelo,0.232
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Dessel,0.232
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Zutendaal,0.232
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Bevekom,0.232
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Sint-Amands,0.231
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Lierde,0.231
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Roeselare,Ledegem,0.23
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Damme,0.23
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Lille,0.23
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Herne,0.229
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Gingelom,0.229
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Chastre,0.229
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Anzegem,0.228
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Oostende,Oudenburg,0.228
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Lint,0.227
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Hechtel-Eksel,0.227
België,Waals Gewest,Provincie Namen,Arrondissement Namen,La Bruyère,0.227
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,Opzullik,0.227
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Kampenhout,0.227
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Oosterzele,0.227
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Ravels,0.227
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Zwalm,0.227
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Pittem,0.226
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Wuustwezel,0.226
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Dentergem,0.226
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Holsbeek,0.225
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Jabbeke,0.225
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Geetbets,0.225
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Wortegem-Petegem,0.224
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Alken,0.224
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Linter,0.224
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Horebeke,0.224
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Roosdaal,0.223
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Dilsen-Stokkem,0.223
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Lummen,0.223
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Zonhoven,0.223
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,De Pinte,0.223
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Beerse,0.222
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Affligem,0.222
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Galmaarden,0.222
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Zoersel,0.222
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Oud-Heverlee,0.222
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Retie,0.221
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Wellen,0.221
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Ham,0.22
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Boutersem,0.219
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Beringen,0.219
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Begijnendijk,0.219
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Zemst,0.218
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Thimister-Clermont,0.217
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Brecht,0.217
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Kortessem,0.217
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Heusden-Zolder,0.216
België,Waals Gewest,Provincie Luxemburg,Arrondissement Aarlen,Attert,0.216
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Lochristi,0.216
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Vosselaar,0.214
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Zedelgem,0.213
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Houthalen-Helchteren,0.213
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Keerbergen,0.212
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Roeselare,Hooglede,0.211
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Maarkedal,0.211
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Bocholt,0.21
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Merksplas,0.205
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Glabbeek,0.204
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Lubbeek,0.202
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Meeuwen-Gruitrode,0.201
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Oud-Turnhout,0.2
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Kinrooi,0.194
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Opglabbeek,0.193
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Pepingen,0.187
België,,,,,0.341
