Totaal,Niveau 1,Jaar,Maand,Inflatie
Totaal,12. Diverse goederen en diensten,2022,Mei 2022,0.044
Totaal,12. Diverse goederen en diensten,2022,Juni 2022,0.046
Totaal,12. Diverse goederen en diensten,2022,Juli 2022,0.05
Totaal,12. Diverse goederen en diensten,2022,Augustus 2022,0.052
Totaal,12. Diverse goederen en diensten,2022,September 2022,0.052
Totaal,12. Diverse goederen en diensten,2022,Oktober 2022,0.056
Totaal,12. Diverse goederen en diensten,2022,November 2022,0.061
Totaal,12. Diverse goederen en diensten,2022,December 2022,0.059
Totaal,12. Diverse goederen en diensten,2023,Januari 2023,0.073
Totaal,,2022,Maart 2022,0.083
Totaal,,2022,April 2022,0.083
Totaal,,2022,Mei 2022,0.09
Totaal,,2022,Juni 2022,0.096
Totaal,,2022,Juli 2022,0.096
Totaal,,2022,Augustus 2022,0.099
Totaal,,2022,September 2022,0.113
Totaal,,2022,Oktober 2022,0.123
Totaal,,2022,November 2022,0.106
Totaal,,2022,December 2022,0.104
Totaal,,2023,Januari 2023,0.08
