België,Gewest,Provincie,Arrondissement,Gemeente,Bevolking geboren buiten de EU
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Aubel,0.029
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Saint-Georges-sur-Meuse,0.029
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Bernissart,0.029
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Rouvroy,0.029
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Neerpelt,0.029
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Baelen,0.029
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Pont-à-Celles,0.03
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Trois-Ponts,0.03
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Amay,0.03
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Theux,0.03
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Florenville,0.03
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Gesves,0.03
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Philippeville,0.03
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Sint-Martens-Latem,0.03
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Ternat,0.03
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Keerbergen,0.03
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Lebbeke,0.03
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Waasmunster,0.03
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Heers,0.03
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Voeren,0.03
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,Le Roeulx,0.03
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Saint-Ghislain,0.03
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Zutendaal,0.03
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Burdinne,0.03
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Blégny,0.03
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Stavelot,0.03
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Hoegaarden,0.03
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Veurne,Nieuwpoort,0.03
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Kruibeke,0.03
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Berloz,0.031
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Hastière,0.031
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Wasseiges,0.031
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,Lessen,0.031
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Sankt Vith,0.031
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Houffalize,0.031
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Awans,0.031
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Zonhoven,0.031
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Les Bons Villers,0.032
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Herve,0.032
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Soumagne,0.032
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Ham,0.032
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Perwijs (Nijvel),0.032
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Chapelle-lez-Herlaimont,0.032
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Blankenberge,0.032
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Fontaine-l’Evêque,0.032
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Landen,0.033
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Niel,0.033
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Schilde,0.033
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Wanze,0.033
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Veurne,De Panne,0.033
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Lommel,0.033
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Hélécine,0.033
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Wijnegem,0.033
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Hannuit,0.033
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Hamont-Achel,0.034
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Rebecq,0.034
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Overpelt,0.034
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Walhain,0.034
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Tielt (Tielt),0.034
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Profondeville,0.034
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Lint,0.035
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Affligem,0.035
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Knokke-Heist,0.035
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Waregem,0.035
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Rochefort,0.035
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Engis,0.035
België,Waals Gewest,Provincie Luxemburg,Arrondissement Aarlen,Messancy,0.035
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Huldenberg,0.035
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Essen,0.035
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Herentals,0.035
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Doornik,0.035
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Harelbeke,0.035
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Orp-Jauche,0.035
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Morlanwelz,0.035
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Pepinster,0.035
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Ranst,0.036
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Borgloon,0.036
België,Waals Gewest,Provincie Henegouwen,Arrondissement Moeskroen,Moeskroen,0.036
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Itter,0.036
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Flémalle,0.036
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Saint-Léger (Virton),0.036
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Tongeren,0.036
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Kontich,0.036
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Oud-Heverlee,0.036
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Boussu,0.036
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Erezée,0.036
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Anderlues,0.037
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Assesse,0.037
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Maaseik,0.037
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Dendermonde,0.037
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Esneux,0.037
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Montigny-le-Tilleul,0.037
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Frameries,0.037
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Sprimont,0.037
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Aartselaar,0.038
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Neupré,0.038
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Geel,0.038
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Eeklo,Eeklo,0.038
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Merchtem,0.039
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Herent,0.039
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Wommelgem,0.039
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Incourt,0.039
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Zwijndrecht,0.04
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Sint-Amands,0.04
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Bertrix,0.04
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Libramont-Chevigny,0.04
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Oupeye,0.04
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Colfontaine,0.04
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Villers-la-Ville,0.041
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Courcelles,0.041
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Brugge,0.041
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Dilsen-Stokkem,0.041
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Geraardsbergen,0.041
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,La Roche-en-Ardenne,0.041
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Brasschaat,0.041
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Raeren,0.041
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Ninove,0.041
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Hamme (Dendermonde),0.041
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Borgworm,0.041
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Neufchâteau (Neufchâteau),0.042
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Beauraing,0.042
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Bevekom,0.042
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Bertem,0.042
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Andenne,0.042
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Wetteren,0.042
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Meise,0.043
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Kuurne,0.043
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Juprelle,0.043
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Vresse-sur-Semois,0.043
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Bilzen,0.043
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Schoten,0.043
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Fleurus,0.044
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Roeselare,Roeselare,0.044
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Quiévrain,0.044
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Durbuy,0.044
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Viroinval,0.045
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Hemiksem,0.045
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Limburg,0.045
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Chaudfontaine,0.045
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Lanaken,0.045
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,Edingen,0.046
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Grâce-Hollogne,0.046
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Kapellen (Antwerpen),0.046
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Brugelette,0.047
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Mol,0.047
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Menen,0.048
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Welkenraedt,0.048
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Eeklo,Zelzate,0.048
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Seneffe,0.048
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Aywaille,0.048
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Arendonk,0.049
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Lontzen,0.049
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Tienen,0.05
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,Zinnik,0.05
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Florennes,0.05
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Bastenaken,0.05
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Kasteelbrakel,0.05
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Spa,0.051
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Manage,0.051
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Lier,0.051
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Chaumont-Gistoux,0.051
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Genepiën,0.051
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Marche-en-Famenne,0.052
België,Waals Gewest,Provincie Luxemburg,Arrondissement Aarlen,Aubange,0.052
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,’s Gravenbrakel,0.053
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Büllingen,0.053
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Kortenberg,0.054
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Mont-Saint-Guibert,0.054
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Graven,0.054
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Hamois,0.054
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Diest,0.055
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Beyne-Heusay,0.055
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,La Louvière,0.055
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Fléron,0.056
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Liedekerke,0.056
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Mortsel,0.056
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Edegem,0.057
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Châtelet,0.057
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Geldenaken,0.057
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Borsbeek,0.057
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Malmedy,0.058
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Manhay,0.058
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Chastre,0.059
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Halle (Halle-Vilvoorde),0.059
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Beersel,0.06
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Lens,0.06
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Aiseau-Presles,0.06
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Quaregnon,0.06
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Hasselt,0.061
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Denderleeuw,0.062
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Dilbeek,0.063
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Temse,0.063
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Gembloux,0.064
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Lasne,0.065
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Nijvel,0.065
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Linkebeek,0.065
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Sint-Truiden,0.066
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Aalst (Aalst),0.066
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Hensies,0.066
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Virton,0.066
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Zele,0.066
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Dinant,0.066
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Jurbeke,0.067
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Leopoldsburg,0.067
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Eigenbrakel,0.067
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Yvoir,0.07
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Kortrijk,0.071
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Hoeilaart,0.071
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Stoumont,0.072
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Lokeren,0.073
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Trooz,0.073
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Oostende,Oostende,0.074
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Grimbergen,0.074
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Rixensart,0.074
België,Waals Gewest,Provincie Luxemburg,Arrondissement Aarlen,Martelange,0.075
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Wezet,0.075
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Kelmis,0.075
België,Waals Gewest,Provincie Luxemburg,Arrondissement Aarlen,Aarlen,0.076
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Sint-Pieters-Leeuw,0.077
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Court-Saint-Etienne,0.077
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Overijse,0.077
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Houthalen-Helchteren,0.078
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Steenokkerzeel,0.078
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Turnhout,0.08
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Sint-Niklaas (Sint-Niklaas),0.08
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Seraing,0.08
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Tubeke,0.081
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Beringen,0.081
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Hoei,0.081
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Ans,0.081
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Waver,0.082
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Hotton,0.083
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Willebroek,0.083
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Sint-Genesius-Rode,0.085
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Bergen,0.086
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Terhulpen,0.086
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Asse,0.089
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Wezembeek-Oppem,0.091
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Tervuren,0.091
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Maasmechelen,0.091
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Namen,0.092
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Ronse,0.094
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Charleroi,0.095
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Saint-Nicolas (Luik),0.097
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Drogenbos,0.099
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Gouvy,0.099
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Wemmel,0.1
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Boom,0.102
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Eupen,0.103
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Herstal,0.106
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Heusden-Zolder,0.107
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Genk,0.109
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Rendeux,0.109
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Farciennes,0.115
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Watermaal-Bosvoorde,0.119
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Waterloo,0.12
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Kraainem,0.12
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Mechelen,0.121
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Gent,0.121
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Machelen (Halle-Vilvoorde),0.128
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Dison,0.129
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Zaventem,0.13
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Vilvoorde,0.134
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Leuven,0.136
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Sint-Pieters-Woluwe,0.14
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Ottignies-Louvain-la-Neuve,0.147
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Verviers,0.152
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Ukkel,0.153
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Oudergem,0.157
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Sint-Lambrechts-Woluwe,0.169
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Luik,0.171
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Sint-Agatha-Berchem,0.184
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Antwerpen,0.184
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Ganshoren,0.201
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Jette,0.221
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Etterbeek,0.225
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Vorst (Brussel-Hoofdstad),0.226
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Evere,0.227
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Elsene,0.245
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Anderlecht,0.26
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Sint-Gillis,0.264
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Koekelberg,0.273
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Schaarbeek,0.306
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Brussel,0.334
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Sint-Jans-Molenbeek,0.336
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Sint-Joost-ten-Node,0.407
België,,,,,0.079
