België,Gewest,Provincie,Arrondissement,Gemeente,Bevolking tewerkgesteld buiten haar provincie
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Ninove,0.491
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Londerzeel,0.49
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Pont-à-Celles,0.487
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Kapelle-op-den-Bos,0.486
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Habay,0.481
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Keerbergen,0.478
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Herne,0.474
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Nijvel,0.474
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Baarle-Hertog,0.473
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Chastre,0.471
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Itter,0.468
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Etalle,0.467
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Merchtem,0.466
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Lennik,0.464
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Burg-Reuland,0.462
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Les Bons Villers,0.462
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Hannuit,0.462
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Beveren (Sint-Niklaas),0.461
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Tessenderlo,0.461
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Eghezée,0.458
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Ramillies,0.456
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Halen,0.455
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Vloesberg,0.454
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Burdinne,0.45
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Manhay,0.45
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Lasne,0.447
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Bièvre,0.446
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Villers-la-Ville,0.446
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Waver,0.446
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Ottignies-Louvain-la-Neuve,0.446
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Graven,0.445
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Perwijs (Nijvel),0.442
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Geraardsbergen,0.439
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,Ecaussinnes,0.439
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Diest,0.438
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Halle (Halle-Vilvoorde),0.438
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Geldenaken,0.438
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Fauvillers,0.435
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Chaumont-Gistoux,0.434
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Gingelom,0.433
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Mont-Saint-Guibert,0.43
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Landen,0.428
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Walhain,0.427
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Haaltert,0.423
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,Lessen,0.423
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Florennes,0.422
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Geetbets,0.419
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Tremelo,0.417
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Kelmis,0.416
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Vielsalm,0.415
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Fosses-la-Ville,0.414
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Mettet,0.413
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Lebbeke,0.412
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Ham,0.412
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Gouvy,0.411
België,Waals Gewest,Provincie Namen,Arrondissement Namen,La Bruyère,0.409
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Court-Saint-Etienne,0.409
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Sambreville,0.408
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Spiere-Helkijn,0.407
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Begijnendijk,0.404
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Genepiën,0.404
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Rochefort,0.403
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Elzele,0.397
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Gooik,0.396
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Aalst (Aalst),0.396
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Léglise,0.396
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Incourt,0.395
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Steenokkerzeel,0.395
België,Waals Gewest,Provincie Henegouwen,Arrondissement Moeskroen,Komen-Waasten,0.394
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Daverdisse,0.393
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Jemeppe-sur-Sambre,0.392
