Sectie,Jaar,Trimester,Omzet
M Vrije beroepen en wetenschappelijke en technische activiteiten,2019,2de kwartaal 2019,15473862
M Vrije beroepen en wetenschappelijke en technische activiteiten,2019,3de kwartaal 2019,14376014
M Vrije beroepen en wetenschappelijke en technische activiteiten,2019,4de kwartaal 2019,18022412
M Vrije beroepen en wetenschappelijke en technische activiteiten,2020,1ste kwartaal 2020,14934411
M Vrije beroepen en wetenschappelijke en technische activiteiten,2020,2de kwartaal 2020,13679433
M Vrije beroepen en wetenschappelijke en technische activiteiten,2020,3de kwartaal 2020,14085730
M Vrije beroepen en wetenschappelijke en technische activiteiten,2020,4de kwartaal 2020,17983347
M Vrije beroepen en wetenschappelijke en technische activiteiten,2021,1ste kwartaal 2021,15572647
M Vrije beroepen en wetenschappelijke en technische activiteiten,2021,2de kwartaal 2021,17081264
M Vrije beroepen en wetenschappelijke en technische activiteiten,2021,3de kwartaal 2021,16096925
M Vrije beroepen en wetenschappelijke en technische activiteiten,2021,4de kwartaal 2021,20775433
M Vrije beroepen en wetenschappelijke en technische activiteiten,2022,1ste kwartaal 2022,18836140
M Vrije beroepen en wetenschappelijke en technische activiteiten,2022,2de kwartaal 2022,19852955
M Vrije beroepen en wetenschappelijke en technische activiteiten,2022,3de kwartaal 2022,19172341
N Administratieve en ondersteunende diensten,2019,1ste kwartaal 2019,13145309
N Administratieve en ondersteunende diensten,2019,2de kwartaal 2019,14585603
N Administratieve en ondersteunende diensten,2019,3de kwartaal 2019,15165354
N Administratieve en ondersteunende diensten,2019,4de kwartaal 2019,14977370
N Administratieve en ondersteunende diensten,2020,1ste kwartaal 2020,14036027
N Administratieve en ondersteunende diensten,2020,2de kwartaal 2020,11013669
N Administratieve en ondersteunende diensten,2020,3de kwartaal 2020,12022591
N Administratieve en ondersteunende diensten,2020,4de kwartaal 2020,13586654
N Administratieve en ondersteunende diensten,2021,1ste kwartaal 2021,12205370
N Administratieve en ondersteunende diensten,2021,2de kwartaal 2021,13246649
N Administratieve en ondersteunende diensten,2021,3de kwartaal 2021,13559214
N Administratieve en ondersteunende diensten,2021,4de kwartaal 2021,15319383
N Administratieve en ondersteunende diensten,2022,1ste kwartaal 2022,13828994
N Administratieve en ondersteunende diensten,2022,2de kwartaal 2022,15499049
N Administratieve en ondersteunende diensten,2022,3de kwartaal 2022,15237592
"R Kunst, amusement en recreatie",2019,1ste kwartaal 2019,1248554
"R Kunst, amusement en recreatie",2019,2de kwartaal 2019,1338796
"R Kunst, amusement en recreatie",2019,3de kwartaal 2019,1726307
"R Kunst, amusement en recreatie",2019,4de kwartaal 2019,1553515
"R Kunst, amusement en recreatie",2020,1ste kwartaal 2020,1243184
"R Kunst, amusement en recreatie",2020,2de kwartaal 2020,589843
"R Kunst, amusement en recreatie",2020,3de kwartaal 2020,1106371
"R Kunst, amusement en recreatie",2020,4de kwartaal 2020,1000089
"R Kunst, amusement en recreatie",2021,1ste kwartaal 2021,747912
"R Kunst, amusement en recreatie",2021,2de kwartaal 2021,867661
"R Kunst, amusement en recreatie",2021,3de kwartaal 2021,1512338
"R Kunst, amusement en recreatie",2021,4de kwartaal 2021,1485823
"R Kunst, amusement en recreatie",2022,1ste kwartaal 2022,1286406
"R Kunst, amusement en recreatie",2022,2de kwartaal 2022,1577382
"R Kunst, amusement en recreatie",2022,3de kwartaal 2022,1964360
S Overige diensten,2019,1ste kwartaal 2019,857437
S Overige diensten,2019,2de kwartaal 2019,908020
S Overige diensten,2019,3de kwartaal 2019,849909
S Overige diensten,2019,4de kwartaal 2019,974904
S Overige diensten,2020,1ste kwartaal 2020,803962
S Overige diensten,2020,2de kwartaal 2020,659919
S Overige diensten,2020,3de kwartaal 2020,820705
S Overige diensten,2020,4de kwartaal 2020,717822
S Overige diensten,2021,1ste kwartaal 2021,689393
S Overige diensten,2021,2de kwartaal 2021,798004
S Overige diensten,2021,3de kwartaal 2021,863081
S Overige diensten,2021,4de kwartaal 2021,1012175
S Overige diensten,2022,1ste kwartaal 2022,919757
S Overige diensten,2022,2de kwartaal 2022,1015014
S Overige diensten,2022,3de kwartaal 2022,959318
