Jaar,Alle werknemersklassen,NIS werknemersklasse,Alle economische activiteiten,Sectie,Aantal oprichtingen
2021,Alle werknemersklassen,1-4 werknemers,Alle economische activiteiten,S Overige diensten,249.0
2021,Alle werknemersklassen,1-4 werknemers,Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,14.0
2021,Alle werknemersklassen,1-4 werknemers,Alle economische activiteiten,U Extraterritoriale organisaties en lichamen,1.0
2021,Alle werknemersklassen,1-4 werknemers,Alle economische activiteiten,Onbekende economische activiteit,
2021,Alle werknemersklassen,1-4 werknemers,Alle economische activiteiten,,5866.0
2021,Alle werknemersklassen,5-9 werknemers,Alle economische activiteiten,"A Landbouw, bosbouw en visserij",14.0
2021,Alle werknemersklassen,5-9 werknemers,Alle economische activiteiten,B Winning van delfstoffen,0.0
2021,Alle werknemersklassen,5-9 werknemers,Alle economische activiteiten,C Industrie,64.0
2021,Alle werknemersklassen,5-9 werknemers,Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",1.0
2021,Alle werknemersklassen,5-9 werknemers,Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,3.0
2021,Alle werknemersklassen,5-9 werknemers,Alle economische activiteiten,F Bouwnijverheid,82.0
2021,Alle werknemersklassen,5-9 werknemers,Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,172.0
2021,Alle werknemersklassen,5-9 werknemers,Alle economische activiteiten,H Vervoer en opslag,37.0
2021,Alle werknemersklassen,5-9 werknemers,Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,219.0
2021,Alle werknemersklassen,5-9 werknemers,Alle economische activiteiten,J Informatie en communicatie,22.0
2021,Alle werknemersklassen,5-9 werknemers,Alle economische activiteiten,K Financiële activiteiten en verzekeringen,38.0
2021,Alle werknemersklassen,5-9 werknemers,Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,10.0
2021,Alle werknemersklassen,5-9 werknemers,Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,73.0
2021,Alle werknemersklassen,5-9 werknemers,Alle economische activiteiten,N Administratieve en ondersteunende diensten,54.0
2021,Alle werknemersklassen,5-9 werknemers,Alle economische activiteiten,O Openbaar bestuur en defensie/ verplichte sociale verzekeringen,0.0
2021,Alle werknemersklassen,5-9 werknemers,Alle economische activiteiten,P Onderwijs,8.0
2021,Alle werknemersklassen,5-9 werknemers,Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,44.0
2021,Alle werknemersklassen,5-9 werknemers,Alle economische activiteiten,"R Kunst, amusement en recreatie",18.0
2021,Alle werknemersklassen,5-9 werknemers,Alle economische activiteiten,S Overige diensten,26.0
2021,Alle werknemersklassen,5-9 werknemers,Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,
2021,Alle werknemersklassen,5-9 werknemers,Alle economische activiteiten,U Extraterritoriale organisaties en lichamen,0.0
2021,Alle werknemersklassen,5-9 werknemers,Alle economische activiteiten,Onbekende economische activiteit,
2021,Alle werknemersklassen,5-9 werknemers,Alle economische activiteiten,,885.0
2021,Alle werknemersklassen,10-19 werknemers,Alle economische activiteiten,"A Landbouw, bosbouw en visserij",1.0
2021,Alle werknemersklassen,10-19 werknemers,Alle economische activiteiten,B Winning van delfstoffen,1.0
2021,Alle werknemersklassen,10-19 werknemers,Alle economische activiteiten,C Industrie,19.0
2021,Alle werknemersklassen,10-19 werknemers,Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",1.0
2021,Alle werknemersklassen,10-19 werknemers,Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,1.0
2021,Alle werknemersklassen,10-19 werknemers,Alle economische activiteiten,F Bouwnijverheid,28.0
2021,Alle werknemersklassen,10-19 werknemers,Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,71.0
2021,Alle werknemersklassen,10-19 werknemers,Alle economische activiteiten,H Vervoer en opslag,13.0
2021,Alle werknemersklassen,10-19 werknemers,Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,61.0
2021,Alle werknemersklassen,10-19 werknemers,Alle economische activiteiten,J Informatie en communicatie,7.0
2021,Alle werknemersklassen,10-19 werknemers,Alle economische activiteiten,K Financiële activiteiten en verzekeringen,14.0
2021,Alle werknemersklassen,10-19 werknemers,Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,2.0
2021,Alle werknemersklassen,10-19 werknemers,Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,39.0
2021,Alle werknemersklassen,10-19 werknemers,Alle economische activiteiten,N Administratieve en ondersteunende diensten,13.0
2021,Alle werknemersklassen,10-19 werknemers,Alle economische activiteiten,O Openbaar bestuur en defensie/ verplichte sociale verzekeringen,0.0
2021,Alle werknemersklassen,10-19 werknemers,Alle economische activiteiten,P Onderwijs,7.0
2021,Alle werknemersklassen,10-19 werknemers,Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,24.0
2021,Alle werknemersklassen,10-19 werknemers,Alle economische activiteiten,"R Kunst, amusement en recreatie",5.0
2021,Alle werknemersklassen,10-19 werknemers,Alle economische activiteiten,S Overige diensten,6.0
2021,Alle werknemersklassen,10-19 werknemers,Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,
2021,Alle werknemersklassen,10-19 werknemers,Alle economische activiteiten,U Extraterritoriale organisaties en lichamen,0.0
2021,Alle werknemersklassen,10-19 werknemers,Alle economische activiteiten,Onbekende economische activiteit,
2021,Alle werknemersklassen,10-19 werknemers,Alle economische activiteiten,,313.0
2021,Alle werknemersklassen,20-49 werknemers,Alle economische activiteiten,"A Landbouw, bosbouw en visserij",0.0
2021,Alle werknemersklassen,20-49 werknemers,Alle economische activiteiten,B Winning van delfstoffen,0.0
2021,Alle werknemersklassen,20-49 werknemers,Alle economische activiteiten,C Industrie,16.0
2021,Alle werknemersklassen,20-49 werknemers,Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",0.0
2021,Alle werknemersklassen,20-49 werknemers,Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,1.0
2021,Alle werknemersklassen,20-49 werknemers,Alle economische activiteiten,F Bouwnijverheid,7.0
2021,Alle werknemersklassen,20-49 werknemers,Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,23.0
2021,Alle werknemersklassen,20-49 werknemers,Alle economische activiteiten,H Vervoer en opslag,8.0
2021,Alle werknemersklassen,20-49 werknemers,Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,11.0
2021,Alle werknemersklassen,20-49 werknemers,Alle economische activiteiten,J Informatie en communicatie,7.0
2021,Alle werknemersklassen,20-49 werknemers,Alle economische activiteiten,K Financiële activiteiten en verzekeringen,2.0
2021,Alle werknemersklassen,20-49 werknemers,Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,4.0
2021,Alle werknemersklassen,20-49 werknemers,Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,9.0
2021,Alle werknemersklassen,20-49 werknemers,Alle economische activiteiten,N Administratieve en ondersteunende diensten,20.0
2021,Alle werknemersklassen,20-49 werknemers,Alle economische activiteiten,O Openbaar bestuur en defensie/ verplichte sociale verzekeringen,3.0
2021,Alle werknemersklassen,20-49 werknemers,Alle economische activiteiten,P Onderwijs,3.0
2021,Alle werknemersklassen,20-49 werknemers,Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,21.0
2021,Alle werknemersklassen,20-49 werknemers,Alle economische activiteiten,"R Kunst, amusement en recreatie",5.0
2021,Alle werknemersklassen,20-49 werknemers,Alle economische activiteiten,S Overige diensten,5.0
2021,Alle werknemersklassen,20-49 werknemers,Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,0.0
2021,Alle werknemersklassen,20-49 werknemers,Alle economische activiteiten,U Extraterritoriale organisaties en lichamen,
2021,Alle werknemersklassen,20-49 werknemers,Alle economische activiteiten,Onbekende economische activiteit,
2021,Alle werknemersklassen,20-49 werknemers,Alle economische activiteiten,,145.0
2021,Alle werknemersklassen,50-99 werknemers,Alle economische activiteiten,"A Landbouw, bosbouw en visserij",0.0
2021,Alle werknemersklassen,50-99 werknemers,Alle economische activiteiten,B Winning van delfstoffen,0.0
2021,Alle werknemersklassen,50-99 werknemers,Alle economische activiteiten,C Industrie,3.0
2021,Alle werknemersklassen,50-99 werknemers,Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",0.0
2021,Alle werknemersklassen,50-99 werknemers,Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,0.0
2021,Alle werknemersklassen,50-99 werknemers,Alle economische activiteiten,F Bouwnijverheid,0.0
2021,Alle werknemersklassen,50-99 werknemers,Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2.0
2021,Alle werknemersklassen,50-99 werknemers,Alle economische activiteiten,H Vervoer en opslag,1.0
2021,Alle werknemersklassen,50-99 werknemers,Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,2.0
2021,Alle werknemersklassen,50-99 werknemers,Alle economische activiteiten,J Informatie en communicatie,0.0
2021,Alle werknemersklassen,50-99 werknemers,Alle economische activiteiten,K Financiële activiteiten en verzekeringen,3.0
2021,Alle werknemersklassen,50-99 werknemers,Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,1.0
2021,Alle werknemersklassen,50-99 werknemers,Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,0.0
2021,Alle werknemersklassen,50-99 werknemers,Alle economische activiteiten,N Administratieve en ondersteunende diensten,7.0
2021,Alle werknemersklassen,50-99 werknemers,Alle economische activiteiten,O Openbaar bestuur en defensie/ verplichte sociale verzekeringen,3.0
2021,Alle werknemersklassen,50-99 werknemers,Alle economische activiteiten,P Onderwijs,2.0
2021,Alle werknemersklassen,50-99 werknemers,Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,20.0
2021,Alle werknemersklassen,50-99 werknemers,Alle economische activiteiten,"R Kunst, amusement en recreatie",0.0
2021,Alle werknemersklassen,50-99 werknemers,Alle economische activiteiten,S Overige diensten,3.0
2021,Alle werknemersklassen,50-99 werknemers,Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,
2021,Alle werknemersklassen,50-99 werknemers,Alle economische activiteiten,U Extraterritoriale organisaties en lichamen,
2021,Alle werknemersklassen,50-99 werknemers,Alle economische activiteiten,Onbekende economische activiteit,
2021,Alle werknemersklassen,50-99 werknemers,Alle economische activiteiten,,47.0
2021,Alle werknemersklassen,100-199 werknemers,Alle economische activiteiten,"A Landbouw, bosbouw en visserij",0.0
2021,Alle werknemersklassen,100-199 werknemers,Alle economische activiteiten,B Winning van delfstoffen,0.0
2021,Alle werknemersklassen,100-199 werknemers,Alle economische activiteiten,C Industrie,1.0
2021,Alle werknemersklassen,100-199 werknemers,Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",0.0
2021,Alle werknemersklassen,100-199 werknemers,Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,0.0
2021,Alle werknemersklassen,100-199 werknemers,Alle economische activiteiten,F Bouwnijverheid,0.0
2021,Alle werknemersklassen,100-199 werknemers,Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,3.0
2021,Alle werknemersklassen,100-199 werknemers,Alle economische activiteiten,H Vervoer en opslag,1.0
2021,Alle werknemersklassen,100-199 werknemers,Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,0.0
2021,Alle werknemersklassen,100-199 werknemers,Alle economische activiteiten,J Informatie en communicatie,3.0
2021,Alle werknemersklassen,100-199 werknemers,Alle economische activiteiten,K Financiële activiteiten en verzekeringen,4.0
2021,Alle werknemersklassen,100-199 werknemers,Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,0.0
2021,Alle werknemersklassen,100-199 werknemers,Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,0.0
2021,Alle werknemersklassen,100-199 werknemers,Alle economische activiteiten,N Administratieve en ondersteunende diensten,1.0
2021,Alle werknemersklassen,100-199 werknemers,Alle economische activiteiten,O Openbaar bestuur en defensie/ verplichte sociale verzekeringen,4.0
2021,Alle werknemersklassen,100-199 werknemers,Alle economische activiteiten,P Onderwijs,1.0
2021,Alle werknemersklassen,100-199 werknemers,Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,10.0
2021,Alle werknemersklassen,100-199 werknemers,Alle economische activiteiten,"R Kunst, amusement en recreatie",0.0
2021,Alle werknemersklassen,100-199 werknemers,Alle economische activiteiten,S Overige diensten,0.0
2021,Alle werknemersklassen,100-199 werknemers,Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,
2021,Alle werknemersklassen,100-199 werknemers,Alle economische activiteiten,U Extraterritoriale organisaties en lichamen,
2021,Alle werknemersklassen,100-199 werknemers,Alle economische activiteiten,Onbekende economische activiteit,
2021,Alle werknemersklassen,100-199 werknemers,Alle economische activiteiten,,28.0
2021,Alle werknemersklassen,200-249 werknemers,Alle economische activiteiten,"A Landbouw, bosbouw en visserij",0.0
2021,Alle werknemersklassen,200-249 werknemers,Alle economische activiteiten,B Winning van delfstoffen,
2021,Alle werknemersklassen,200-249 werknemers,Alle economische activiteiten,C Industrie,0.0
2021,Alle werknemersklassen,200-249 werknemers,Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",0.0
2021,Alle werknemersklassen,200-249 werknemers,Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,0.0
2021,Alle werknemersklassen,200-249 werknemers,Alle economische activiteiten,F Bouwnijverheid,0.0
2021,Alle werknemersklassen,200-249 werknemers,Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,0.0
2021,Alle werknemersklassen,200-249 werknemers,Alle economische activiteiten,H Vervoer en opslag,1.0
2021,Alle werknemersklassen,200-249 werknemers,Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,0.0
2021,Alle werknemersklassen,200-249 werknemers,Alle economische activiteiten,J Informatie en communicatie,0.0
2021,Alle werknemersklassen,200-249 werknemers,Alle economische activiteiten,K Financiële activiteiten en verzekeringen,0.0
2021,Alle werknemersklassen,200-249 werknemers,Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,0.0
2021,Alle werknemersklassen,200-249 werknemers,Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,0.0
2021,Alle werknemersklassen,200-249 werknemers,Alle economische activiteiten,N Administratieve en ondersteunende diensten,0.0
2021,Alle werknemersklassen,200-249 werknemers,Alle economische activiteiten,O Openbaar bestuur en defensie/ verplichte sociale verzekeringen,0.0
2021,Alle werknemersklassen,200-249 werknemers,Alle economische activiteiten,P Onderwijs,0.0
2021,Alle werknemersklassen,200-249 werknemers,Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,2.0
2021,Alle werknemersklassen,200-249 werknemers,Alle economische activiteiten,"R Kunst, amusement en recreatie",0.0
2021,Alle werknemersklassen,200-249 werknemers,Alle economische activiteiten,S Overige diensten,0.0
2021,Alle werknemersklassen,200-249 werknemers,Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,
2021,Alle werknemersklassen,200-249 werknemers,Alle economische activiteiten,U Extraterritoriale organisaties en lichamen,
2021,Alle werknemersklassen,200-249 werknemers,Alle economische activiteiten,Onbekende economische activiteit,
2021,Alle werknemersklassen,200-249 werknemers,Alle economische activiteiten,,3.0
2021,Alle werknemersklassen,250-499 werknemers,Alle economische activiteiten,"A Landbouw, bosbouw en visserij",0.0
2021,Alle werknemersklassen,250-499 werknemers,Alle economische activiteiten,B Winning van delfstoffen,0.0
2021,Alle werknemersklassen,250-499 werknemers,Alle economische activiteiten,C Industrie,1.0
2021,Alle werknemersklassen,250-499 werknemers,Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",0.0
2021,Alle werknemersklassen,250-499 werknemers,Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,0.0
2021,Alle werknemersklassen,250-499 werknemers,Alle economische activiteiten,F Bouwnijverheid,0.0
2021,Alle werknemersklassen,250-499 werknemers,Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,1.0
2021,Alle werknemersklassen,250-499 werknemers,Alle economische activiteiten,H Vervoer en opslag,0.0
2021,Alle werknemersklassen,250-499 werknemers,Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,0.0
2021,Alle werknemersklassen,250-499 werknemers,Alle economische activiteiten,J Informatie en communicatie,1.0
2021,Alle werknemersklassen,250-499 werknemers,Alle economische activiteiten,K Financiële activiteiten en verzekeringen,0.0
2021,Alle werknemersklassen,250-499 werknemers,Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,0.0
2021,Alle werknemersklassen,250-499 werknemers,Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,1.0
2021,Alle werknemersklassen,250-499 werknemers,Alle economische activiteiten,N Administratieve en ondersteunende diensten,2.0
2021,Alle werknemersklassen,250-499 werknemers,Alle economische activiteiten,O Openbaar bestuur en defensie/ verplichte sociale verzekeringen,2.0
2021,Alle werknemersklassen,250-499 werknemers,Alle economische activiteiten,P Onderwijs,1.0
2021,Alle werknemersklassen,250-499 werknemers,Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,2.0
2021,Alle werknemersklassen,250-499 werknemers,Alle economische activiteiten,"R Kunst, amusement en recreatie",0.0
