Jaar/Maand,Dag,Productgroep,Product,Prijs incl. BTW
jan23,10jan23,Lamppetroleum,lamppetroleum (type C) (minder dan 2000 l) (€/L),1.183
jan23,10jan23,Lamppetroleum,lamppetroleum (type C) (vanaf 2000 l) (€/L),1.147
jan23,10jan23,Lamppetroleum,lamppetroleum (type C) (aan de pomp) (€/L),1.287
jan23,10jan23,Propaan,propaan (in bulk) (vanaf 2000 l) (€/L),0.721
jan23,10jan23,Propaan,propaan (in bulk) (minder dan 2000 l) (€/L),0.8
jan23,10jan23,Butaan + LPG,Autogas LPG (aan de pomp) (€/L),0.695
jan23,10jan23,Butaan + LPG,Autogas LPG (minder dan 2000 l) (€/L),0.832
jan23,10jan23,Butaan + LPG,Autogas LPG (vanaf 2000 l) (€/L),0.752
jan23,10jan23,Stookolie,Extra zware stookolie met 1 % S (per tankwagen) (€/T),549.46
jan23,11jan23,Benzines,Benzine 95 RON E5 (€/L),1.782
jan23,11jan23,Benzines,Benzine 95 RON E10 (€/L),1.721
jan23,11jan23,Benzines,Benzine 98 RON E5 (€/L),1.93
jan23,11jan23,Benzines,Benzine 98 RON E10 (€/L),1.882
jan23,11jan23,Gasolie Diesel wegvervoer,Diesel B7 (€/L),1.773
jan23,11jan23,Gasolie Diesel wegvervoer,Diesel B10 (€/L),1.752
jan23,11jan23,Gasolie Diesel wegvervoer,Diesel B20 (€/L),1.787
jan23,11jan23,Gasolie Diesel wegvervoer,Diesel B30 (€/L),1.868
jan23,11jan23,Gasolie Diesel wegvervoer,Diesel XTL (€/L),3.21
jan23,11jan23,Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (vanaf 2000 l) (€/L),1.026
jan23,11jan23,Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (minder dan 2000 l) (€/L),1.061
jan23,11jan23,Gasolie Diesel (landbouw doeleinden),Gasolie Diesel Landbouw (vanaf 2000 l) (€/L),1.003
jan23,11jan23,Gasolie Diesel (landbouw doeleinden),Gasolie Diesel Landbouw (minder dan 2000 l) (€/L),1.038
jan23,11jan23,Gasolie Diesel (I&C doeleinden),Gasolie Diesel I&C (vanaf 2000 l) (€/L),1.031
jan23,11jan23,Gasolie Diesel (I&C doeleinden),Gasolie Diesel I&C (minder dan 2000 l) (€/L),1.066
jan23,11jan23,Gasolie Diesel (I&C doeleinden),Gasolie Diesel I&C (aan de pomp) (€/L),1.167
jan23,11jan23,Gasolie verwarming,Gasolie verwarming 50S (vanaf 2000 l) (€/L),1.011
jan23,11jan23,Gasolie verwarming,Gasolie verwarming 50S (minder dan 2000 l) (€/L),1.047
jan23,11jan23,Gasolie verwarming,Gasolie verwarming 50S (aan de pomp) (€/L),1.153
jan23,11jan23,Lamppetroleum,lamppetroleum (type B) (minder dan 2000 l) (€/L),1.14
jan23,11jan23,Lamppetroleum,lamppetroleum (type B) (vanaf 2000 l) (€/L),1.105
jan23,11jan23,Lamppetroleum,lamppetroleum (type B) (aan de pomp) (€/L),1.244
jan23,11jan23,Lamppetroleum,lamppetroleum (type C) (minder dan 2000 l) (€/L),1.183
jan23,11jan23,Lamppetroleum,lamppetroleum (type C) (vanaf 2000 l) (€/L),1.147
jan23,11jan23,Lamppetroleum,lamppetroleum (type C) (aan de pomp) (€/L),1.287
jan23,11jan23,Propaan,propaan (in bulk) (vanaf 2000 l) (€/L),0.721
jan23,11jan23,Propaan,propaan (in bulk) (minder dan 2000 l) (€/L),0.8
jan23,11jan23,Butaan + LPG,Autogas LPG (aan de pomp) (€/L),0.695
jan23,11jan23,Butaan + LPG,Autogas LPG (minder dan 2000 l) (€/L),0.832
jan23,11jan23,Butaan + LPG,Autogas LPG (vanaf 2000 l) (€/L),0.752
jan23,11jan23,Stookolie,Extra zware stookolie met 1 % S (per tankwagen) (€/T),549.46
jan23,12jan23,Benzines,Benzine 95 RON E5 (€/L),1.783
jan23,12jan23,Benzines,Benzine 95 RON E10 (€/L),1.739
jan23,12jan23,Benzines,Benzine 98 RON E5 (€/L),1.927
jan23,12jan23,Benzines,Benzine 98 RON E10 (€/L),1.88
jan23,12jan23,Gasolie Diesel wegvervoer,Diesel B7 (€/L),1.773
jan23,12jan23,Gasolie Diesel wegvervoer,Diesel B10 (€/L),1.752
jan23,12jan23,Gasolie Diesel wegvervoer,Diesel B20 (€/L),1.787
jan23,12jan23,Gasolie Diesel wegvervoer,Diesel B30 (€/L),1.868
jan23,12jan23,Gasolie Diesel wegvervoer,Diesel XTL (€/L),3.21
jan23,12jan23,Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (vanaf 2000 l) (€/L),1.026
jan23,12jan23,Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (minder dan 2000 l) (€/L),1.062
jan23,12jan23,Gasolie Diesel (landbouw doeleinden),Gasolie Diesel Landbouw (vanaf 2000 l) (€/L),1.003
jan23,12jan23,Gasolie Diesel (landbouw doeleinden),Gasolie Diesel Landbouw (minder dan 2000 l) (€/L),1.039
jan23,12jan23,Gasolie Diesel (I&C doeleinden),Gasolie Diesel I&C (vanaf 2000 l) (€/L),1.031
jan23,12jan23,Gasolie Diesel (I&C doeleinden),Gasolie Diesel I&C (minder dan 2000 l) (€/L),1.066
jan23,12jan23,Gasolie Diesel (I&C doeleinden),Gasolie Diesel I&C (aan de pomp) (€/L),1.167
jan23,12jan23,Gasolie verwarming,Gasolie verwarming 50S (vanaf 2000 l) (€/L),1.01
jan23,12jan23,Gasolie verwarming,Gasolie verwarming 50S (minder dan 2000 l) (€/L),1.046
jan23,12jan23,Gasolie verwarming,Gasolie verwarming 50S (aan de pomp) (€/L),1.152
jan23,12jan23,Lamppetroleum,lamppetroleum (type B) (minder dan 2000 l) (€/L),1.14
jan23,12jan23,Lamppetroleum,lamppetroleum (type B) (vanaf 2000 l) (€/L),1.105
jan23,12jan23,Lamppetroleum,lamppetroleum (type B) (aan de pomp) (€/L),1.244
jan23,12jan23,Lamppetroleum,lamppetroleum (type C) (minder dan 2000 l) (€/L),1.183
jan23,12jan23,Lamppetroleum,lamppetroleum (type C) (vanaf 2000 l) (€/L),1.147
jan23,12jan23,Lamppetroleum,lamppetroleum (type C) (aan de pomp) (€/L),1.287
jan23,12jan23,Propaan,propaan (in bulk) (vanaf 2000 l) (€/L),0.721
jan23,12jan23,Propaan,propaan (in bulk) (minder dan 2000 l) (€/L),0.8
jan23,12jan23,Butaan + LPG,Autogas LPG (aan de pomp) (€/L),0.695
jan23,12jan23,Butaan + LPG,Autogas LPG (minder dan 2000 l) (€/L),0.832
jan23,12jan23,Butaan + LPG,Autogas LPG (vanaf 2000 l) (€/L),0.752
jan23,12jan23,Stookolie,Extra zware stookolie met 1 % S (per tankwagen) (€/T),549.46
jan23,13jan23,Benzines,Benzine 95 RON E5 (€/L),1.783
jan23,13jan23,Benzines,Benzine 95 RON E10 (€/L),1.739
jan23,13jan23,Benzines,Benzine 98 RON E5 (€/L),1.927
jan23,13jan23,Benzines,Benzine 98 RON E10 (€/L),1.88
jan23,13jan23,Gasolie Diesel wegvervoer,Diesel B7 (€/L),1.795
jan23,13jan23,Gasolie Diesel wegvervoer,Diesel B10 (€/L),1.78
jan23,13jan23,Gasolie Diesel wegvervoer,Diesel B20 (€/L),1.817
jan23,13jan23,Gasolie Diesel wegvervoer,Diesel B30 (€/L),1.899
jan23,13jan23,Gasolie Diesel wegvervoer,Diesel XTL (€/L),3.071
jan23,13jan23,Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (vanaf 2000 l) (€/L),1.044
jan23,13jan23,Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (minder dan 2000 l) (€/L),1.08
jan23,13jan23,Gasolie Diesel (landbouw doeleinden),Gasolie Diesel Landbouw (vanaf 2000 l) (€/L),1.022
jan23,13jan23,Gasolie Diesel (landbouw doeleinden),Gasolie Diesel Landbouw (minder dan 2000 l) (€/L),1.057
jan23,13jan23,Gasolie Diesel (I&C doeleinden),Gasolie Diesel I&C (vanaf 2000 l) (€/L),1.049
jan23,13jan23,Gasolie Diesel (I&C doeleinden),Gasolie Diesel I&C (minder dan 2000 l) (€/L),1.085
jan23,13jan23,Gasolie Diesel (I&C doeleinden),Gasolie Diesel I&C (aan de pomp) (€/L),1.186
jan23,13jan23,Gasolie verwarming,Gasolie verwarming 50S (vanaf 2000 l) (€/L),1.028
jan23,13jan23,Gasolie verwarming,Gasolie verwarming 50S (minder dan 2000 l) (€/L),1.064
jan23,13jan23,Gasolie verwarming,Gasolie verwarming 50S (aan de pomp) (€/L),1.17
jan23,13jan23,Lamppetroleum,lamppetroleum (type B) (minder dan 2000 l) (€/L),1.14
jan23,13jan23,Lamppetroleum,lamppetroleum (type B) (vanaf 2000 l) (€/L),1.105
jan23,13jan23,Lamppetroleum,lamppetroleum (type B) (aan de pomp) (€/L),1.244
jan23,13jan23,Lamppetroleum,lamppetroleum (type C) (minder dan 2000 l) (€/L),1.183
jan23,13jan23,Lamppetroleum,lamppetroleum (type C) (vanaf 2000 l) (€/L),1.147
jan23,13jan23,Lamppetroleum,lamppetroleum (type C) (aan de pomp) (€/L),1.287
jan23,13jan23,Propaan,propaan (in bulk) (vanaf 2000 l) (€/L),0.721
jan23,13jan23,Propaan,propaan (in bulk) (minder dan 2000 l) (€/L),0.8
jan23,13jan23,Butaan + LPG,Autogas LPG (aan de pomp) (€/L),0.695
jan23,13jan23,Butaan + LPG,Autogas LPG (minder dan 2000 l) (€/L),0.832
jan23,13jan23,Butaan + LPG,Autogas LPG (vanaf 2000 l) (€/L),0.752
jan23,13jan23,Stookolie,Extra zware stookolie met 1 % S (per tankwagen) (€/T),549.46
jan23,14jan23,Benzines,Benzine 95 RON E5 (€/L),1.783
jan23,14jan23,Benzines,Benzine 95 RON E10 (€/L),1.739
jan23,14jan23,Benzines,Benzine 98 RON E5 (€/L),1.927
jan23,14jan23,Benzines,Benzine 98 RON E10 (€/L),1.88
jan23,14jan23,Gasolie Diesel wegvervoer,Diesel B7 (€/L),1.795
jan23,14jan23,Gasolie Diesel wegvervoer,Diesel B10 (€/L),1.78
jan23,14jan23,Gasolie Diesel wegvervoer,Diesel B20 (€/L),1.817
jan23,14jan23,Gasolie Diesel wegvervoer,Diesel B30 (€/L),1.899
jan23,14jan23,Gasolie Diesel wegvervoer,Diesel XTL (€/L),3.071
jan23,14jan23,Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (vanaf 2000 l) (€/L),1.07
jan23,14jan23,Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (minder dan 2000 l) (€/L),1.105
jan23,14jan23,Gasolie Diesel (landbouw doeleinden),Gasolie Diesel Landbouw (vanaf 2000 l) (€/L),1.047
jan23,14jan23,Gasolie Diesel (landbouw doeleinden),Gasolie Diesel Landbouw (minder dan 2000 l) (€/L),1.082
jan23,14jan23,Gasolie Diesel (I&C doeleinden),Gasolie Diesel I&C (vanaf 2000 l) (€/L),1.074
jan23,14jan23,Gasolie Diesel (I&C doeleinden),Gasolie Diesel I&C (minder dan 2000 l) (€/L),1.11
