Alle grootteklassen,Grootteklasse werknemers,Jaar,Maand,Verlies van fulltime banen,Verlies van parttime banen,Totaal banenverlies
Alle grootteklassen,50 - 99 werknemers,2022,Juli 2022,19.0,30.0,50.0
Alle grootteklassen,50 - 99 werknemers,2022,Augustus 2022,17.0,43.0,61.0
Alle grootteklassen,50 - 99 werknemers,2022,September 2022,161.0,13.0,177.0
Alle grootteklassen,50 - 99 werknemers,2022,Oktober 2022,49.0,14.0,64.0
Alle grootteklassen,50 - 99 werknemers,2022,November 2022,76.0,4.0,81.0
Alle grootteklassen,50 - 99 werknemers,2022,December 2022,13.0,38.0,52.0
Alle grootteklassen,100 - 199 werknemers,2021,December 2021,,,
Alle grootteklassen,100 - 199 werknemers,2022,Januari 2022,,,
Alle grootteklassen,100 - 199 werknemers,2022,Februari 2022,,,
Alle grootteklassen,100 - 199 werknemers,2022,Maart 2022,,,
Alle grootteklassen,100 - 199 werknemers,2022,April 2022,,,
Alle grootteklassen,100 - 199 werknemers,2022,Mei 2022,,,
Alle grootteklassen,100 - 199 werknemers,2022,Juni 2022,,,
Alle grootteklassen,100 - 199 werknemers,2022,Juli 2022,,,
Alle grootteklassen,100 - 199 werknemers,2022,Augustus 2022,,,
Alle grootteklassen,100 - 199 werknemers,2022,September 2022,,,
Alle grootteklassen,100 - 199 werknemers,2022,Oktober 2022,70.0,84.0,156.0
Alle grootteklassen,100 - 199 werknemers,2022,November 2022,86.0,16.0,103.0
Alle grootteklassen,100 - 199 werknemers,2022,December 2022,,,
Alle grootteklassen,200 - 249 werknemers,2021,December 2021,219.0,27.0,247.0
Alle grootteklassen,200 - 249 werknemers,2022,Januari 2022,,,
Alle grootteklassen,200 - 249 werknemers,2022,Februari 2022,,,
Alle grootteklassen,200 - 249 werknemers,2022,Maart 2022,,,
Alle grootteklassen,200 - 249 werknemers,2022,April 2022,,,
Alle grootteklassen,200 - 249 werknemers,2022,Mei 2022,,,
Alle grootteklassen,200 - 249 werknemers,2022,Juni 2022,,,
Alle grootteklassen,200 - 249 werknemers,2022,Juli 2022,,,
Alle grootteklassen,200 - 249 werknemers,2022,Augustus 2022,,,
Alle grootteklassen,200 - 249 werknemers,2022,September 2022,,,
Alle grootteklassen,200 - 249 werknemers,2022,Oktober 2022,,,
Alle grootteklassen,200 - 249 werknemers,2022,November 2022,,,
Alle grootteklassen,200 - 249 werknemers,2022,December 2022,,,
Alle grootteklassen,,2021,December 2021,901.0,242.0,1936.0
Alle grootteklassen,,2022,Januari 2022,714.0,255.0,1690.0
Alle grootteklassen,,2022,Februari 2022,736.0,234.0,1771.0
Alle grootteklassen,,2022,Maart 2022,928.0,341.0,2312.0
Alle grootteklassen,,2022,April 2022,614.0,233.0,1556.0
Alle grootteklassen,,2022,Mei 2022,517.0,312.0,1892.0
Alle grootteklassen,,2022,Juni 2022,685.0,396.0,2318.0
Alle grootteklassen,,2022,Juli 2022,433.0,223.0,1241.0
Alle grootteklassen,,2022,Augustus 2022,309.0,174.0,853.0
Alle grootteklassen,,2022,September 2022,1058.0,338.0,2463.0
Alle grootteklassen,,2022,Oktober 2022,916.0,454.0,2410.0
Alle grootteklassen,,2022,November 2022,684.0,320.0,1867.0
Alle grootteklassen,,2022,December 2022,722.0,415.0,2027.0
