België,Gewest,Provincie,Arrondissement,Gemeente,Verhuizingen in 2010
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Gavere,0.076
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Zoutleeuw,0.076
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,De Pinte,0.076
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Lennik,0.077
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Oud-Turnhout,0.077
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Rotselaar,0.077
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Langemark-Poelkapelle,0.077
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Ardooie,0.077
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Waarschoot,0.077
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Poperinge,0.077
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Lille,0.077
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Bocholt,0.077
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Vleteren,0.078
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Ravels,0.078
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Roeselare,Moorslede,0.078
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Lovendegem,0.078
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Gingelom,0.078
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Roosdaal,0.078
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Riemst,0.078
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Meulebeke,0.078
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Lendelede,0.079
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Haaltert,0.079
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Rumes,0.079
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Brakel,0.079
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Kasterlee,0.079
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Keerbergen,0.079
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Hoeselt,0.079
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Nijlen,0.079
