Jaar,Alle werknemersklassen,NIS werknemersklasse,Alle economische activiteiten,Sectie,Aantal btw-plichtige
2021,Alle werknemersklassen,200-249 werknemers,Alle economische activiteiten,H Vervoer en opslag,27.0
2021,Alle werknemersklassen,200-249 werknemers,Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,4.0
2021,Alle werknemersklassen,200-249 werknemers,Alle economische activiteiten,J Informatie en communicatie,24.0
2021,Alle werknemersklassen,200-249 werknemers,Alle economische activiteiten,K Financiële activiteiten en verzekeringen,11.0
2021,Alle werknemersklassen,200-249 werknemers,Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,2.0
2021,Alle werknemersklassen,200-249 werknemers,Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,25.0
2021,Alle werknemersklassen,200-249 werknemers,Alle economische activiteiten,N Administratieve en ondersteunende diensten,36.0
2021,Alle werknemersklassen,200-249 werknemers,Alle economische activiteiten,O Openbaar bestuur en defensie/ verplichte sociale verzekeringen,59.0
2021,Alle werknemersklassen,200-249 werknemers,Alle economische activiteiten,P Onderwijs,8.0
2021,Alle werknemersklassen,200-249 werknemers,Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,27.0
2021,Alle werknemersklassen,200-249 werknemers,Alle economische activiteiten,"R Kunst, amusement en recreatie",10.0
2021,Alle werknemersklassen,200-249 werknemers,Alle economische activiteiten,S Overige diensten,4.0
2021,Alle werknemersklassen,200-249 werknemers,Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,
2021,Alle werknemersklassen,200-249 werknemers,Alle economische activiteiten,U Extraterritoriale organisaties en lichamen,
2021,Alle werknemersklassen,200-249 werknemers,Alle economische activiteiten,Onbekende economische activiteit,
2021,Alle werknemersklassen,200-249 werknemers,Alle economische activiteiten,,395.0
2021,Alle werknemersklassen,250-499 werknemers,Alle economische activiteiten,"A Landbouw, bosbouw en visserij",2.0
2021,Alle werknemersklassen,250-499 werknemers,Alle economische activiteiten,B Winning van delfstoffen,2.0
2021,Alle werknemersklassen,250-499 werknemers,Alle economische activiteiten,C Industrie,189.0
