Date,Nieuw-Zeelandse dollar
2017-12-08,1.7157
2017-12-11,1.7049
2017-12-12,1.6956
2017-12-13,1.6886
2017-12-14,1.6934
2017-12-15,1.6803
2017-12-18,1.6836
2017-12-19,1.6866
2017-12-20,1.697
2017-12-21,1.6931
2017-12-22,1.6904
2017-12-27,1.6825
2017-12-28,1.6856
2017-12-29,1.685
2018-01-02,1.6955
2018-01-03,1.6942
2018-01-04,1.6957
2018-01-05,1.6837
2018-01-08,1.6702
2018-01-09,1.6601
2018-01-10,1.6654
2018-01-11,1.6653
2018-01-12,1.6726
2018-01-15,1.6828
2018-01-16,1.6808
2018-01-17,1.68
2018-01-18,1.6759
2018-01-19,1.6831
2018-01-22,1.6758
2018-01-23,1.6722
2018-01-24,1.6677
2018-01-25,1.6823
2018-01-26,1.6943
2018-01-29,1.6881
2018-01-30,1.6937
2018-01-31,1.6803
2018-02-01,1.6944
2018-02-02,1.696
2018-02-05,1.7025
2018-02-06,1.6955
2018-02-07,1.6897
2018-02-08,1.6966
2018-02-09,1.6952
2018-02-12,1.6918
2018-02-13,1.6941
2018-02-14,1.6873
2018-02-15,1.6909
2018-02-16,1.6853
2018-02-19,1.682
2018-02-20,1.6782
2018-02-21,1.6754
2018-02-22,1.6761
2018-02-23,1.6864
2018-02-26,1.6847
2018-02-27,1.6918
2018-02-28,1.6905
2018-03-01,1.6866
2018-03-02,1.7014
2018-03-05,1.7026
2018-03-06,1.6985
2018-03-07,1.7063
2018-03-08,1.7102
2018-03-09,1.6931
2018-03-12,1.6854
2018-03-13,1.6842
2018-03-14,1.6853
2018-03-15,1.6915
2018-03-16,1.7002
2018-03-19,1.7066
2018-03-20,1.7039
2018-03-21,1.7158
2018-03-22,1.7031
2018-03-23,1.7024
2018-03-26,1.7029
2018-03-27,1.7041
2018-03-28,1.7075
2018-03-29,1.7098
2018-04-03,1.6964
2018-04-04,1.685
2018-04-05,1.6799
2018-04-06,1.6884
2018-04-09,1.6871
2018-04-10,1.6806
2018-04-11,1.6812
2018-04-12,1.67
2018-04-13,1.6703
2018-04-16,1.6853
2018-04-17,1.6837
2018-04-18,1.6912
2018-04-19,1.6938
2018-04-20,1.7032
2018-04-23,1.7052
2018-04-24,1.7134
2018-04-25,1.7232
2018-04-26,1.7194
2018-04-27,1.7116
2018-04-30,1.7145
2018-05-02,1.7103
2018-05-03,1.7041
2018-05-04,1.7067
2018-05-07,1.7013
2018-05-08,1.7019
2018-05-09,1.6995
2018-05-10,1.7144
2018-05-11,1.711
2018-05-14,1.7246
2018-05-15,1.7222
2018-05-16,1.7115
2018-05-17,1.7125
2018-05-18,1.7049
2018-05-21,1.703
2018-05-22,1.6991
2018-05-23,1.6977
2018-05-24,1.6946
2018-05-25,1.6882
2018-05-28,1.6756
2018-05-29,1.6711
2018-05-30,1.6686
2018-05-31,1.6681
2018-06-01,1.6737
2018-06-04,1.6654
2018-06-05,1.6636
2018-06-06,1.6702
