Date,Deense kroon
2017-12-15,7.4443
2017-12-18,7.444
2017-12-19,7.4435
2017-12-20,7.4443
2017-12-21,7.4447
2017-12-22,7.4443
2017-12-27,7.445
2017-12-28,7.4455
2017-12-29,7.4449
2018-01-02,7.4437
2018-01-03,7.4442
2018-01-04,7.4449
2018-01-05,7.4459
2018-01-08,7.4467
2018-01-09,7.4469
2018-01-10,7.4469
2018-01-11,7.4474
2018-01-12,7.4487
2018-01-15,7.4496
2018-01-16,7.4492
2018-01-17,7.4469
2018-01-18,7.4475
2018-01-19,7.4454
2018-01-22,7.4442
2018-01-23,7.4435
2018-01-24,7.4451
2018-01-25,7.4444
2018-01-26,7.4428
2018-01-29,7.4427
2018-01-30,7.4415
2018-01-31,7.4419
2018-02-01,7.4428
2018-02-02,7.4429
2018-02-05,7.4433
2018-02-06,7.4429
2018-02-07,7.443
2018-02-08,7.4422
2018-02-09,7.4437
2018-02-12,7.4458
2018-02-13,7.4488
2018-02-14,7.4488
2018-02-15,7.4493
2018-02-16,7.4481
2018-02-19,7.448
2018-02-20,7.4473
2018-02-21,7.4465
2018-02-22,7.4462
2018-02-23,7.4469
2018-02-26,7.4459
2018-02-27,7.446
2018-02-28,7.4465
2018-03-01,7.447
2018-03-02,7.4479
2018-03-05,7.4468
2018-03-06,7.4494
2018-03-07,7.4502
2018-03-08,7.4505
2018-03-09,7.4494
2018-03-12,7.4496
2018-03-13,7.4486
2018-03-14,7.4493
2018-03-15,7.4487
2018-03-16,7.4486
2018-03-19,7.4484
2018-03-20,7.4485
2018-03-21,7.4486
2018-03-22,7.4484
2018-03-23,7.4478
2018-03-26,7.4482
2018-03-27,7.4489
2018-03-28,7.4513
2018-03-29,7.453
2018-04-03,7.4492
2018-04-04,7.4499
2018-04-05,7.4472
2018-04-06,7.4474
2018-04-09,7.4469
2018-04-10,7.4468
2018-04-11,7.4449
2018-04-12,7.4451
2018-04-13,7.4467
2018-04-16,7.4473
2018-04-17,7.4474
2018-04-18,7.4478
2018-04-19,7.4478
2018-04-20,7.4477
2018-04-23,7.4477
2018-04-24,7.4478
2018-04-25,7.4489
2018-04-26,7.4509
2018-04-27,7.4501
2018-04-30,7.4501
2018-05-02,7.4488
2018-05-03,7.4497
2018-05-04,7.4492
2018-05-07,7.4486
2018-05-08,7.4503
2018-05-09,7.4495
2018-05-10,7.4496
2018-05-11,7.4498
2018-05-14,7.4505
2018-05-15,7.4492
2018-05-16,7.4487
2018-05-17,7.4481
2018-05-18,7.4483
2018-05-21,7.4471
2018-05-22,7.4478
2018-05-23,7.4495
2018-05-24,7.4496
2018-05-25,7.4485
2018-05-28,7.4474
2018-05-29,7.4429
2018-05-30,7.4432
2018-05-31,7.4436
2018-06-01,7.4441
2018-06-04,7.4434
2018-06-05,7.4425
2018-06-06,7.4436
2018-06-07,7.4483
2018-06-08,7.4476
2018-06-11,7.4492
2018-06-12,7.4503
