Date,Indonesische roepia
2018-07-10,16799.96
2018-07-11,16857.33
2018-07-12,16766.54
2018-07-13,16787.23
2018-07-16,16847.5
2018-07-17,16822.96
2018-07-18,16725.65
2018-07-19,16773.63
2018-07-20,16941.92
2018-07-23,16976.63
2018-07-24,16972.88
2018-07-25,16884.57
2018-07-26,16935.48
2018-07-27,16760.34
2018-07-30,16814.44
2018-07-31,16923.31
2018-08-01,16889.02
2018-08-02,16815.61
2018-08-03,16760.07
2018-08-06,16703.0
2018-08-07,16741.69
2018-08-08,16728.72
2018-08-09,16705.51
2018-08-10,16583.56
2018-08-13,16642.68
2018-08-14,16629.95
2018-08-15,16528.66
2018-08-16,16611.57
2018-08-17,16674.15
2018-08-20,16661.78
2018-08-21,16787.17
2018-08-22,16936.13
2018-08-23,16940.08
2018-08-24,16950.93
2018-08-27,17015.88
2018-08-28,17122.36
2018-08-29,17087.73
2018-08-30,17175.55
2018-08-31,17230.0
2018-09-03,17290.44
2018-09-04,17268.0
2018-09-05,17297.72
2018-09-06,17323.54
2018-09-07,17213.43
2018-09-10,17187.56
2018-09-11,17210.54
2018-09-12,17174.76
2018-09-13,17199.92
2018-09-14,17305.56
2018-09-17,17351.27
2018-09-18,17379.4
2018-09-19,17355.0
2018-09-20,17471.0
2018-09-21,17424.92
2018-09-24,17512.34
2018-09-25,17571.0
2018-09-26,17532.2
2018-09-27,17450.33
2018-09-28,17249.98
2018-10-01,17304.55
2018-10-02,17366.44
2018-10-03,17401.61
2018-10-04,17448.53
2018-10-05,17466.11
2018-10-08,17466.65
2018-10-09,17486.0
2018-10-10,17483.45
2018-10-11,17634.51
2018-10-12,17598.27
2018-10-15,17614.7
2018-10-16,17570.93
2018-10-17,17489.57
2018-10-18,17480.12
2018-10-19,17420.06
2018-10-22,17467.72
2018-10-23,17435.02
2018-10-24,17307.86
2018-10-25,17338.05
2018-10-26,17252.4
2018-10-29,17320.74
2018-10-30,17301.42
2018-10-31,17206.19
2018-11-01,17192.3
2018-11-02,17031.88
2018-11-05,17027.71
2018-11-06,16916.3
2018-11-07,16748.05
2018-11-08,16610.5
2018-11-09,16661.6
2018-11-12,16680.1
2018-11-13,16692.18
2018-11-14,16680.18
2018-11-15,16599.19
2018-11-16,16578.0
2018-11-19,16672.0
2018-11-20,16672.0
2018-11-21,16655.14
2018-11-22,16584.0
2018-11-23,16495.81
2018-11-26,16447.94
2018-11-27,16410.59
2018-11-28,16401.86
2018-11-29,16334.14
2018-11-30,16246.21
2018-12-03,16188.27
2018-12-04,16303.46
2018-12-05,16344.08
2018-12-06,16481.65
2018-12-07,16454.01
2018-12-10,16671.36
2018-12-11,16625.0
