Date,Indiase roepie
2017-03-20,70.2805
2017-03-21,70.493
2017-03-22,70.6995
2017-03-23,70.6095
2017-03-24,70.652
2017-03-27,70.817
2017-03-28,70.6435
2017-03-29,69.759
2017-03-30,69.691
2017-03-31,69.3965
2017-04-03,69.2805
2017-04-04,69.425
2017-04-05,69.293
2017-04-06,68.815
2017-04-07,68.3775
2017-04-10,68.2915
2017-04-11,68.455
2017-04-12,68.5895
2017-04-13,68.4915
2017-04-18,69.008
2017-04-19,69.243
2017-04-20,69.4375
2017-04-21,69.1185
2017-04-24,69.913
2017-04-25,70.013
2017-04-26,69.849
2017-04-27,69.766
2017-04-28,70.2615
2017-05-02,70.1025
2017-05-03,70.054
2017-05-04,70.136
2017-05-05,70.565
2017-05-08,70.3455
2017-05-09,70.3975
2017-05-10,70.239
2017-05-11,69.906
2017-05-12,69.9395
2017-05-15,70.2725
2017-05-16,70.8505
2017-05-17,71.261
2017-05-18,72.3908
2017-05-19,72.202
2017-05-22,72.557
2017-05-23,72.7795
2017-05-24,72.4575
2017-05-25,72.445
2017-05-26,72.2175
2017-05-29,72.205
2017-05-30,72.2415
2017-05-31,72.334
2017-06-01,72.3235
2017-06-02,72.2855
2017-06-05,72.402
2017-06-06,72.5835
2017-06-07,72.178
2017-06-08,72.1365
2017-06-09,71.8
2017-06-12,72.308
2017-06-13,72.193
2017-06-14,72.035
2017-06-15,72.142
2017-06-16,71.9515
2017-06-19,72.1465
2017-06-20,71.9705
2017-06-21,71.9005
2017-06-22,72.1515
2017-06-23,72.1025
2017-06-26,72.098
2017-06-27,72.7545
2017-06-28,73.4345
2017-06-29,73.713
2017-06-30,73.7445
2017-07-03,73.737
2017-07-04,73.497
2017-07-05,73.4075
2017-07-06,73.7325
2017-07-07,73.6955
2017-07-10,73.4405
2017-07-11,73.665
2017-07-12,73.8865
2017-07-13,73.5825
2017-07-14,73.495
2017-07-17,73.7525
2017-07-18,74.337
2017-07-19,74.1515
2017-07-20,74.01
2017-07-21,74.9045
2017-07-24,75.0105
2017-07-25,75.292
2017-07-26,74.9375
2017-07-27,75.023
2017-07-28,75.2555
2017-07-31,75.2708
2017-08-01,75.7145
2017-08-02,75.3272
2017-08-03,75.521
2017-08-04,75.5035
2017-08-07,75.3005
2017-08-08,75.1865
2017-08-09,74.914
2017-08-10,75.208
2017-08-11,75.496
2017-08-14,75.639
2017-08-15,75.3025
2017-08-16,75.1665
2017-08-17,75.0595
2017-08-18,75.3065
2017-08-21,75.4385
2017-08-22,75.4515
2017-08-23,75.6075
2017-08-24,75.5965
2017-08-25,75.5975
2017-08-28,76.2065
2017-08-29,77.134
2017-08-30,76.2925
2017-08-31,75.5995
2017-09-01,76.3275
2017-09-04,76.2395
2017-09-05,76.2475
2017-09-06,76.4925
2017-09-07,76.6325
2017-09-08,76.9245
2017-09-11,76.674
2017-09-12,76.4385
2017-09-13,76.6655
2017-09-14,76.2095
2017-09-15,76.6625
2017-09-18,76.6315
2017-09-19,77.0174
2017-09-20,77.1965
2017-09-21,77.1495
2017-09-22,77.501
2017-09-25,77.2635
2017-09-26,77.1935
2017-09-27,77.153
2017-09-28,77.115
2017-09-29,77.069
2017-10-02,76.6965
2017-10-03,76.987
2017-10-04,76.641
2017-10-05,76.4965
2017-10-06,76.544
2017-10-09,76.7625
2017-10-10,76.972
2017-10-11,77.066
2017-10-12,77.0996
2017-10-13,76.7125
2017-10-16,76.4155
2017-10-17,76.4695
2017-10-18,76.4305
2017-10-19,76.954
2017-10-20,76.8288
2017-10-23,76.3365
2017-10-24,76.579
2017-10-25,76.514
2017-10-26,76.23
2017-10-27,75.502
2017-10-30,75.356
2017-10-31,75.356
2017-11-01,75.013
2017-11-02,75.229
2017-11-03,75.214
2017-11-06,74.9555
2017-11-07,75.147
2017-11-08,75.3205
2017-11-09,75.56
2017-11-10,75.94
2017-11-13,76.291
2017-11-14,76.815
2017-11-15,77.215
2017-11-16,76.891
2017-11-17,76.682
2017-11-20,76.6975
2017-11-21,76.0705
2017-11-22,76.251
2017-11-23,76.512
2017-11-24,76.8205
2017-11-27,77.093
2017-11-28,76.5795
2017-11-29,76.062
2017-11-30,76.3875
2017-12-01,76.655
2017-12-04,76.409
2017-12-05,76.3015
2017-12-06,76.243
2017-12-07,76.111
2017-12-08,75.6775
2017-12-11,75.9805
2017-12-12,75.77
2017-12-13,75.617
2017-12-14,76.2465
2017-12-15,75.6085
2017-12-18,75.7645
2017-12-19,75.7025
2017-12-20,75.9475
2017-12-21,75.9275
2017-12-22,75.9065
2017-12-27,76.3125
2017-12-28,76.473
2017-12-29,76.6055
2018-01-02,76.6005
2018-01-03,76.3455
2018-01-04,76.498
2018-01-05,76.329
2018-01-08,76.0375
2018-01-09,76.0215
2018-01-10,76.263
2018-01-11,76.5335
2018-01-12,77.1915
2018-01-15,77.9805
2018-01-16,78.33
2018-01-17,78.011
2018-01-18,78.121
2018-01-19,78.239
2018-01-22,78.2225
2018-01-23,78.118
2018-01-24,78.673
2018-01-25,78.865
2018-01-26,79.1055
2018-01-29,78.7055
2018-01-30,79.057
2018-01-31,79.18
2018-02-01,79.766
2018-02-02,80.0205
2018-02-05,79.7435
2018-02-06,79.2415
2018-02-07,79.2655
2018-02-08,78.7715
2018-02-09,79.0045
2018-02-12,78.894
2018-02-13,79.273
2018-02-14,79.1165
2018-02-15,79.849
2018-02-16,80.044
2018-02-19,79.7375
2018-02-20,80.003
2018-02-21,79.7295
2018-02-22,79.8895
2018-02-23,79.6515
2018-02-26,79.803
2018-02-27,79.803
2018-02-28,79.623
2018-03-01,79.3245
2018-03-02,80.3205
2018-03-05,80.1275
2018-03-06,80.5845
2018-03-07,80.578
2018-03-08,80.898
