Date,Zweedse kroon
2018-12-19,10.3393
2018-12-20,10.253
2018-12-21,10.2733
2018-12-24,10.3428
2018-12-27,10.2725
2018-12-28,10.2773
2018-12-31,10.2548
2019-01-02,10.2145
2019-01-03,10.2808
2019-01-04,10.246
2019-01-07,10.2235
2019-01-08,10.1855
2019-01-09,10.2268
2019-01-10,10.2303
2019-01-11,10.2338
2019-01-14,10.2493
2019-01-15,10.2403
2019-01-16,10.2488
2019-01-17,10.2858
2019-01-18,10.2515
2019-01-21,10.2515
2019-01-22,10.2538
2019-01-23,10.245
2019-01-24,10.2843
2019-01-25,10.298
2019-01-28,10.3503
2019-01-29,10.3508
2019-01-30,10.3843
2019-01-31,10.373
2019-02-01,10.3878
2019-02-04,10.4113
2019-02-05,10.3998
2019-02-06,10.4258
2019-02-07,10.473
2019-02-08,10.4973
2019-02-11,10.4858
2019-02-12,10.4725
2019-02-13,10.4083
2019-02-14,10.4775
2019-02-15,10.4813
2019-02-18,10.4685
2019-02-19,10.6
2019-02-20,10.5703
2019-02-21,10.6188
2019-02-22,10.5998
2019-02-25,10.5793
2019-02-26,10.5858
2019-02-27,10.5443
2019-02-28,10.4844
2019-03-01,10.5003
2019-03-04,10.5543
2019-03-05,10.5523
2019-03-06,10.5375
2019-03-07,10.5625
2019-03-08,10.6316
2019-03-11,10.5802
2019-03-12,10.5715
2019-03-13,10.554
2019-03-14,10.5373
2019-03-15,10.4964
2019-03-18,10.4643
2019-03-19,10.4485
2019-03-20,10.431
2019-03-21,10.4288
2019-03-22,10.4723
2019-03-25,10.445
2019-03-26,10.4263
2019-03-27,10.4298
2019-03-28,10.476
2019-03-29,10.398
2019-04-01,10.42
2019-04-02,10.4418
2019-04-03,10.43
2019-04-04,10.4075
2019-04-05,10.426
2019-04-08,10.4325
2019-04-09,10.425
2019-04-10,10.44
2019-04-11,10.437
2019-04-12,10.4788
2019-04-15,10.4608
2019-04-16,10.4638
2019-04-17,10.4408
2019-04-18,10.476
2019-04-23,10.507
2019-04-24,10.501
2019-04-25,10.6295
2019-04-26,10.5738
2019-04-29,10.6113
2019-04-30,10.635
2019-05-02,10.685
2019-05-03,10.7043
2019-05-06,10.7258
2019-05-07,10.7145
2019-05-08,10.7494
2019-05-09,10.7973
2019-05-10,10.8108
2019-05-13,10.8323
2019-05-14,10.779
2019-05-15,10.7688
2019-05-16,10.759
2019-05-17,10.766
2019-05-20,10.7668
2019-05-21,10.7743
2019-05-22,10.76
2019-05-23,10.7373
2019-05-24,10.7098
2019-05-27,10.7148
2019-05-28,10.6865
2019-05-29,10.7063
2019-05-30,10.6323
2019-05-31,10.639
2019-06-03,10.618
2019-06-04,10.626
2019-06-05,10.6255
2019-06-06,10.6175
2019-06-07,10.6562
2019-06-10,10.6455
2019-06-11,10.6828
2019-06-12,10.68
2019-06-13,10.6968
2019-06-14,10.639
2019-06-17,10.6495
2019-06-18,10.6413
2019-06-19,10.6868
2019-06-20,10.6348
2019-06-21,10.6308
2019-06-24,10.6078
2019-06-25,10.532
2019-06-26,10.5435
2019-06-27,10.5488
2019-06-28,10.5633
2019-07-01,10.545
2019-07-02,10.5565
2019-07-03,10.5155
2019-07-04,10.5208
2019-07-05,10.5575
2019-07-08,10.5973
2019-07-09,10.6338
2019-07-10,10.6093
2019-07-11,10.5808
2019-07-12,10.5515
2019-07-15,10.5563
2019-07-16,10.5405
2019-07-17,10.5168
2019-07-18,10.504
2019-07-19,10.5195
2019-07-22,10.544
2019-07-23,10.5695
2019-07-24,10.5293
2019-07-25,10.4947
2019-07-26,10.5585
2019-07-29,10.5773
2019-07-30,10.6453
2019-07-31,10.6645
2019-08-01,10.6868
2019-08-02,10.7223
2019-08-05,10.7603
2019-08-06,10.7267
2019-08-07,10.7673
2019-08-08,10.753
2019-08-09,10.6972
2019-08-12,10.7315
2019-08-13,10.7088
2019-08-14,10.7313
2019-08-15,10.7305
2019-08-16,10.712
2019-08-19,10.7268
2019-08-20,10.7653
2019-08-21,10.6983
2019-08-22,10.7188
2019-08-23,10.7165
2019-08-26,10.7515
2019-08-27,10.705
2019-08-28,10.7545
2019-08-29,10.779
2019-08-30,10.8395
2019-09-02,10.747
2019-09-03,10.8128
2019-09-04,10.753
2019-09-05,10.6825
2019-09-06,10.635
2019-09-09,10.6598
2019-09-10,10.7445
2019-09-11,10.6563
2019-09-12,10.6315
2019-09-13,10.6485
2019-09-16,10.6703
2019-09-17,10.699
2019-09-18,10.7298
2019-09-19,10.7223
2019-09-20,10.7113
2019-09-23,10.7143
2019-09-24,10.6763
2019-09-25,10.6825
2019-09-26,10.6598
2019-09-27,10.701
2019-09-30,10.6958
2019-10-01,10.8043
2019-10-02,10.8118
2019-10-03,10.833
2019-10-04,10.8105
2019-10-07,10.891
2019-10-08,10.8703
2019-10-09,10.9173
2019-10-10,10.8415
2019-10-11,10.8448
2019-10-14,10.8523
2019-10-15,10.8225
2019-10-16,10.8358
2019-10-17,10.8105
2019-10-18,10.7742
2019-10-21,10.7311
2019-10-22,10.7303
2019-10-23,10.7385
2019-10-24,10.6963
2019-10-25,10.7445
2019-10-28,10.7503
2019-10-29,10.7923
2019-10-30,10.801
2019-10-31,10.7498
2019-11-01,10.6993
2019-11-04,10.7035
2019-11-05,10.6943
2019-11-06,10.644
2019-11-07,10.6253
2019-11-08,10.7025
2019-11-11,10.7085
2019-11-12,10.7003
2019-11-13,10.7353
2019-11-14,10.694
2019-11-15,10.6518
2019-11-18,10.6603
2019-11-19,10.6475
2019-11-20,10.6935
2019-11-21,10.6568
2019-11-22,10.6265
2019-11-25,10.6158
2019-11-26,10.5808
2019-11-27,10.558
2019-11-28,10.5463
2019-11-29,10.4995
2019-12-02,10.5385
2019-12-03,10.5653
2019-12-04,10.5523
2019-12-05,10.5418
2019-12-06,10.5183
2019-12-09,10.5435
2019-12-10,10.5565
2019-12-11,10.4595
2019-12-12,10.4495
2019-12-13,10.449
2019-12-16,10.4213
2019-12-17,10.4718
2019-12-18,10.4483
2019-12-19,10.478
2019-12-20,10.434
2019-12-23,10.4473
2019-12-24,10.4553
2019-12-27,10.4363
2019-12-30,10.44
2019-12-31,10.4468
2020-01-02,10.4728
2020-01-03,10.4858
2020-01-06,10.5308
2020-01-07,10.5423
2020-01-08,10.5108
2020-01-09,10.533
2020-01-10,10.551
2020-01-13,10.5598
2020-01-14,10.5248
2020-01-15,10.559
2020-01-16,10.5678
2020-01-17,10.545
2020-01-20,10.5548
2020-01-21,10.5523
2020-01-22,10.5528
2020-01-23,10.5473
2020-01-24,10.5363
2020-01-27,10.5795
2020-01-28,10.5993
2020-01-29,10.5753
2020-01-30,10.6398
2020-01-31,10.6768
2020-02-03,10.6808
2020-02-04,10.6278
2020-02-05,10.545
2020-02-06,10.555
2020-02-07,10.5455
2020-02-10,10.5728
2020-02-11,10.5373
2020-02-12,10.4965
2020-02-13,10.4823
2020-02-14,10.5085
2020-02-17,10.5323
2020-02-18,10.5498
2020-02-19,10.5743
2020-02-20,10.5985
2020-02-21,10.569
2020-02-24,10.5833
2020-02-25,10.5688
2020-02-26,10.5813
2020-02-27,10.5753
2020-02-28,10.6738
2020-03-02,10.6063
2020-03-03,10.559
2020-03-04,10.5555
2020-03-05,10.5915
2020-03-06,10.6145
2020-03-09,10.7203
2020-03-10,10.8015
2020-03-11,10.7238
2020-03-12,10.8945
2020-03-13,10.8453
2020-03-16,10.8998
2020-03-17,10.9593
2020-03-18,11.0223
2020-03-19,11.1523
2020-03-20,11.0598
2020-03-23,11.0715
2020-03-24,11.0888
2020-03-25,10.9638
2020-03-26,11.007
2020-03-27,11.0158
2020-03-30,11.0375
2020-03-31,11.0613
2020-04-01,10.9368
2020-04-02,10.9265
2020-04-03,10.952
2020-04-06,10.9788
2020-04-07,10.8788
2020-04-08,10.9385
2020-04-09,10.9455
2020-04-14,10.9158
2020-04-15,10.9323
2020-04-16,10.8895
2020-04-17,10.8548
2020-04-20,10.8623
2020-04-21,10.9543
2020-04-22,10.9423
2020-04-23,10.8883
2020-04-24,10.8723
2020-04-27,10.8748
2020-04-28,10.748
2020-04-29,10.7338
2020-04-30,10.6639
2020-05-04,10.8113
2020-05-05,10.698
2020-05-06,10.6278
2020-05-07,10.62
2020-05-08,10.5875
2020-05-11,10.5998
2020-05-12,10.5968
2020-05-13,10.5843
2020-05-14,10.6418
2020-05-15,10.6695
2020-05-18,10.6103
2020-05-19,10.5685
2020-05-20,10.5568
2020-05-21,10.53
2020-05-22,10.5373
2020-05-25,10.549
2020-05-26,10.5563
2020-05-27,10.5608
2020-05-28,10.548
2020-05-29,10.487
2020-06-01,10.4635
2020-06-02,10.452
2020-06-03,10.4588
2020-06-04,10.4172
2020-06-05,10.425
2020-06-08,10.3978
2020-06-09,10.4188
2020-06-10,10.4605
2020-06-11,10.5018
2020-06-12,10.5103
2020-06-15,10.5393
2020-06-16,10.5136
2020-06-17,10.5123
2020-06-18,10.5525
2020-06-19,10.567
2020-06-22,10.5525
2020-06-23,10.5175
2020-06-24,10.5145
2020-06-25,10.4865
2020-06-26,10.4773
2020-06-29,10.478
2020-06-30,10.4948
2020-07-01,10.4965
2020-07-02,10.4635
2020-07-03,10.4715
2020-07-06,10.4848
2020-07-07,10.4555
2020-07-08,10.431
2020-07-09,10.397
2020-07-10,10.398
2020-07-13,10.3833
2020-07-14,10.3855
2020-07-15,10.3468
2020-07-16,10.35
2020-07-17,10.333
2020-07-20,10.301
2020-07-21,10.239
2020-07-22,10.2415
2020-07-23,10.264
2020-07-24,10.269
2020-07-27,10.2678
2020-07-28,10.282
2020-07-29,10.287
2020-07-30,10.3068
2020-07-31,10.2835
2020-08-03,10.2958
2020-08-04,10.3025
2020-08-05,10.2865
2020-08-06,10.3165
2020-08-07,10.3163
2020-08-10,10.2805
2020-08-11,10.2835
2020-08-12,10.2513
2020-08-13,10.2748
2020-08-14,10.2933
2020-08-17,10.3108
2020-08-18,10.32
2020-08-19,10.314
2020-08-20,10.3555
2020-08-21,10.363
2020-08-24,10.369
2020-08-25,10.3525
2020-08-26,10.3348
2020-08-27,10.3138
2020-08-28,10.2603
2020-08-31,10.2888
2020-09-01,10.3605
2020-09-02,10.3065
2020-09-03,10.3393
2020-09-04,10.3688
2020-09-07,10.369
2020-09-08,10.3735
2020-09-09,10.362
2020-09-10,10.3703
2020-09-11,10.3713
2020-09-14,10.4178
2020-09-15,10.404
2020-09-16,10.4118
2020-09-17,10.408
2020-09-18,10.399
2020-09-21,10.4055
2020-09-22,10.407
2020-09-23,10.4388
2020-09-24,10.5793
2020-09-25,10.6285
2020-09-28,10.5863
2020-09-29,10.5343
2020-09-30,10.5713
2020-10-01,10.4853
2020-10-02,10.425
2020-10-05,10.4645
2020-10-06,10.5138
2020-10-07,10.483
2020-10-08,10.4468
2020-10-09,10.42
2020-10-12,10.3933
2020-10-13,10.343
2020-10-14,10.3653
2020-10-15,10.378
2020-10-16,10.3593
2020-10-19,10.3578
2020-10-20,10.3805
2020-10-21,10.3645
2020-10-22,10.374
2020-10-23,10.3618
2020-10-26,10.3475
2020-10-27,10.306
2020-10-28,10.371
2020-10-29,10.4225
2020-10-30,10.365
2020-11-02,10.3625
2020-11-03,10.3835
2020-11-04,10.352
2020-11-05,10.277
2020-11-06,10.2805
2020-11-09,10.197
2020-11-10,10.2
2020-11-11,10.1748
2020-11-12,10.1825
2020-11-13,10.2537
2020-11-16,10.2538
2020-11-17,10.2375
2020-11-18,10.2135
2020-11-19,10.206
2020-11-20,10.2168
2020-11-23,10.2145
2020-11-24,10.204
2020-11-25,10.1358
2020-11-26,10.1568
2020-11-27,10.1723
2020-11-30,10.1778
2020-12-01,10.2135
2020-12-02,10.2813
2020-12-03,10.3025
2020-12-04,10.2578
2020-12-07,10.2018
2020-12-08,10.2358
2020-12-09,10.2745
2020-12-10,10.2395
2020-12-11,10.256
2020-12-14,10.193
2020-12-15,10.1928
2020-12-16,10.1785
2020-12-17,10.1335
2020-12-18,10.1333
2020-12-21,10.1313
2020-12-22,10.1143
2020-12-23,10.1213
2020-12-24,10.0763
2020-12-28,10.107
2020-12-29,10.084
2020-12-30,10.0568
2020-12-31,10.0343
2021-01-04,10.0895
2021-01-05,10.057
2021-01-06,10.0653
2021-01-07,10.0575
2021-01-08,10.051
2021-01-11,10.076
2021-01-12,10.0878
2021-01-13,10.1383
2021-01-14,10.1059
2021-01-15,10.1305
2021-01-18,10.154
2021-01-19,10.0953
2021-01-20,10.1383
2021-01-21,10.0825
2021-01-22,10.0815
2021-01-25,10.0625
2021-01-26,10.0715
2021-01-27,10.1139
2021-01-28,10.1353
2021-01-29,10.111
2021-02-01,10.1627
2021-02-02,10.1593
2021-02-03,10.1303
2021-02-04,10.1358
2021-02-05,10.1228
2021-02-08,10.1148
2021-02-09,10.1058
2021-02-10,10.08
2021-02-11,10.0868
2021-02-12,10.0818
2021-02-15,10.0435
2021-02-16,10.0415
2021-02-17,10.0413
2021-02-18,10.0328
2021-02-19,10.033
2021-02-22,10.0315
2021-02-23,10.0747
2021-02-24,10.0893
2021-02-25,10.0668
2021-02-26,10.1388
2021-03-01,10.1833
2021-03-02,10.14
2021-03-03,10.125
2021-03-04,10.1595
2021-03-05,10.1863
2021-03-08,10.1803
2021-03-09,10.136
2021-03-10,10.1305
2021-03-11,10.1295
2021-03-12,10.1388
2021-03-15,10.185
2021-03-16,10.1388
2021-03-17,10.1355
2021-03-18,10.157
2021-03-19,10.1743
2021-03-22,10.158
2021-03-23,10.1813
2021-03-24,10.1635
2021-03-25,10.1935
2021-03-26,10.1905
2021-03-29,10.2205
2021-03-30,10.2473
2021-03-31,10.2383
2021-04-01,10.2753
2021-04-06,10.261
2021-04-07,10.236
2021-04-08,10.2073
2021-04-09,10.1725
2021-04-12,10.1975
2021-04-13,10.211
2021-04-14,10.1433
2021-04-15,10.1298
