Date,Hongkongse dollar
2019-02-01,9.0012
2019-02-04,8.98
2019-02-05,8.9623
2019-02-06,8.9398
2019-02-07,8.9019
2019-02-08,8.902
2019-02-11,8.875
2019-02-12,8.8656
2019-02-13,8.8728
2019-02-14,8.8426
2019-02-15,8.837
2019-02-18,8.8899
2019-02-19,8.8644
2019-02-20,8.9026
2019-02-21,8.9098
2019-02-22,8.8884
2019-02-25,8.9122
2019-02-26,8.9178
2019-02-27,8.9376
2019-02-28,8.9613
2019-03-01,8.9344
2019-03-04,8.8986
2019-03-05,8.8929
2019-03-06,8.8743
2019-03-07,8.8476
2019-03-08,8.8092
2019-03-11,8.8264
2019-03-12,8.8508
2019-03-13,8.8728
2019-03-14,8.8665
2019-03-15,8.8766
2019-03-18,8.9089
2019-03-19,8.9161
2019-03-20,8.9128
2019-03-21,8.9359
2019-03-22,8.8683
2019-03-25,8.8888
2019-03-26,8.8622
2019-03-27,8.8389
2019-03-28,8.8061
2019-03-29,8.8195
2019-04-01,8.8201
2019-04-02,8.7918
2019-04-03,8.8246
2019-04-04,8.8062
2019-04-05,8.8173
2019-04-08,8.8247
2019-04-09,8.844
2019-04-10,8.8405
2019-04-11,8.8354
2019-04-12,8.8788
2019-04-15,8.8685
2019-04-16,8.8665
2019-04-17,8.8656
2019-04-18,8.8265
2019-04-23,8.8211
2019-04-24,8.791
2019-04-25,8.7243
2019-04-26,8.7337
2019-04-29,8.746
2019-04-30,8.8007
2019-05-02,8.7958
2019-05-03,8.7512
2019-05-06,8.7871
2019-05-07,8.7781
2019-05-08,8.7922
2019-05-09,8.7844
2019-05-10,8.8135
2019-05-13,8.826
2019-05-14,8.8112
2019-05-15,8.7784
2019-05-16,8.7934
2019-05-17,8.7694
2019-05-20,8.7656
2019-05-21,8.7609
2019-05-22,8.7692
2019-05-23,8.7424
2019-05-24,8.7806
2019-05-27,8.7899
2019-05-28,8.7839
2019-05-29,8.757
2019-05-30,8.7386
2019-05-31,8.7457
2019-06-03,8.7645
2019-06-04,8.8143
2019-06-05,8.8257
2019-06-06,8.8333
2019-06-07,8.8396
2019-06-10,8.8634
2019-06-11,8.87
2019-06-12,8.857
2019-06-13,8.8375
2019-06-14,8.817
2019-06-17,8.7963
2019-06-18,8.7643
2019-06-19,8.7683
2019-06-20,8.8379
2019-06-21,8.8424
2019-06-24,8.9
2019-06-25,8.8915
2019-06-26,8.8724
2019-06-27,8.8836
2019-06-28,8.8866
2019-07-01,8.8639
2019-07-02,8.8194
2019-07-03,8.8054
2019-07-04,8.7899
2019-07-05,8.7758
2019-07-08,8.7482
2019-07-09,8.7508
2019-07-10,8.7692
2019-07-11,8.8264
2019-07-12,8.8033
2019-07-15,8.8201
2019-07-16,8.7736
2019-07-17,8.7636
2019-07-18,8.7654
2019-07-19,8.7621
2019-07-22,8.7585
2019-07-23,8.7266
2019-07-24,8.7038
2019-07-25,8.6851
2019-07-26,8.7078
2019-07-29,8.6937
2019-07-30,8.7259
2019-07-31,8.7289
