Date,Zuid-Koreaanse won
2017-07-14,1295.1
2017-07-17,1292.35
2017-07-18,1298.89
2017-07-19,1294.27
2017-07-20,1291.52
2017-07-21,1302.31
2017-07-24,1299.12
2017-07-25,1305.86
2017-07-26,1303.91
2017-07-27,1303.38
2017-07-28,1317.62
2017-07-31,1315.97
2017-08-01,1325.5
2017-08-02,1329.43
2017-08-03,1336.54
2017-08-04,1334.12
2017-08-07,1332.55
2017-08-08,1329.82
2017-08-09,1335.79
2017-08-10,1341.21
2017-08-11,1346.47
2017-08-14,1344.45
2017-08-15,1336.43
2017-08-16,1334.97
2017-08-17,1331.95
2017-08-18,1339.99
2017-08-21,1339.54
2017-08-22,1335.14
2017-08-23,1335.19
2017-08-24,1331.39
2017-08-25,1327.05
2017-08-28,1335.56
2017-08-29,1353.8
2017-08-30,1338.36
2017-08-31,1331.22
2017-09-01,1335.36
2017-09-04,1345.07
2017-09-05,1343.64
2017-09-06,1353.94
2017-09-07,1350.87
2017-09-08,1363.52
2017-09-11,1357.76
2017-09-12,1346.05
2017-09-13,1349.96
2017-09-14,1345.47
2017-09-15,1353.03
2017-09-18,1346.87
2017-09-19,1351.57
2017-09-20,1353.44
2017-09-21,1349.47
2017-09-22,1352.78
2017-09-25,1343.33
2017-09-26,1341.55
2017-09-27,1341.1
2017-09-28,1350.15
2017-09-29,1351.83
2017-10-02,1345.92
2017-10-03,1344.94
2017-10-04,1342.67
2017-10-05,1337.65
2017-10-06,1337.12
2017-10-09,1343.11
2017-10-10,1336.25
2017-10-11,1339.1
2017-10-12,1341.86
2017-10-13,1333.88
2017-10-16,1330.09
2017-10-17,1328.14
2017-10-18,1329.28
2017-10-19,1339.16
2017-10-20,1336.07
2017-10-23,1326.4
2017-10-24,1327.81
2017-10-25,1325.38
2017-10-26,1320.41
2017-10-27,1309.39
2017-10-30,1306.01
2017-10-31,1301.5
2017-11-01,1291.51
2017-11-02,1294.94
2017-11-03,1298.74
2017-11-06,1288.85
2017-11-07,1285.17
2017-11-08,1290.33
2017-11-09,1299.91
2017-11-10,1304.46
2017-11-13,1305.01
2017-11-14,1309.46
2017-11-15,1306.21
2017-11-16,1291.59
2017-11-17,1293.09
2017-11-20,1291.1
2017-11-21,1276.68
2017-11-22,1280.17
2017-11-23,1284.55
2017-11-24,1287.36
2017-11-27,1299.46
2017-11-28,1284.43
2017-11-29,1274.87
2017-11-30,1287.26
2017-12-01,1287.47
2017-12-04,1287.92
