Gemeente,NIS-code,Centrumstad?,Indicator,Item,Jaar,Ja (%),Nee (%)
 Boechout ,11004,nee,Duurzaamheid van de woning,Energiezuinig,2020,0.86,0.14
 Bonheiden ,12005,nee,Duurzaamheid van de woning,Energierecupererend,2017,0.44,0.56
 Bonheiden ,12005,nee,Duurzaamheid van de woning,Energierecupererend,2020,0.58,0.42
 Bonheiden ,12005,nee,Duurzaamheid van de woning,Energiezuinig,2017,0.52,0.48
 Bonheiden ,12005,nee,Duurzaamheid van de woning,Energiezuinig,2020,0.84,0.16
 Boom ,11005,nee,Duurzaamheid van de woning,Energierecupererend,2017,0.28,0.72
 Boom ,11005,nee,Duurzaamheid van de woning,Energierecupererend,2020,0.4,0.6
 Boom ,11005,nee,Duurzaamheid van de woning,Energiezuinig,2017,0.49,0.51
 Boom ,11005,nee,Duurzaamheid van de woning,Energiezuinig,2020,0.76,0.24
 Boortmeerbeek ,24014,nee,Duurzaamheid van de woning,Energierecupererend,2017,0.44,0.56
 Boortmeerbeek ,24014,nee,Duurzaamheid van de woning,Energierecupererend,2020,0.57,0.43
 Boortmeerbeek ,24014,nee,Duurzaamheid van de woning,Energiezuinig,2017,0.59,0.41
 Boortmeerbeek ,24014,nee,Duurzaamheid van de woning,Energiezuinig,2020,0.85,0.15
 Borgloon ,73009,nee,Duurzaamheid van de woning,Energierecupererend,2017,0.48,0.52
 Borgloon ,73009,nee,Duurzaamheid van de woning,Energierecupererend,2020,0.55,0.45
 Borgloon ,73009,nee,Duurzaamheid van de woning,Energiezuinig,2017,0.51,0.49
 Borgloon ,73009,nee,Duurzaamheid van de woning,Energiezuinig,2020,0.74,0.26
 Bornem ,12007,nee,Duurzaamheid van de woning,Energierecupererend,2017,0.38,0.62
 Bornem ,12007,nee,Duurzaamheid van de woning,Energierecupererend,2020,0.53,0.47
 Bornem ,12007,nee,Duurzaamheid van de woning,Energiezuinig,2017,0.62,0.38
 Bornem ,12007,nee,Duurzaamheid van de woning,Energiezuinig,2020,0.81,0.19
 Borsbeek ,11007,nee,Duurzaamheid van de woning,Energierecupererend,2017,0.24,0.76
 Borsbeek ,11007,nee,Duurzaamheid van de woning,Energierecupererend,2020,0.25,0.75
 Borsbeek ,11007,nee,Duurzaamheid van de woning,Energiezuinig,2017,0.53,0.47
 Borsbeek ,11007,nee,Duurzaamheid van de woning,Energiezuinig,2020,0.74,0.26
 Boutersem ,24016,nee,Duurzaamheid van de woning,Energierecupererend,2017,0.54,0.46
 Boutersem ,24016,nee,Duurzaamheid van de woning,Energierecupererend,2020,0.63,0.37
 Boutersem ,24016,nee,Duurzaamheid van de woning,Energiezuinig,2017,0.58,0.42
