Gemeente,NIS-code,Centrumstad?,Indicator,Item,Jaar,minder of gelijk aan 30% (%),meer dan 30% (%)
 Gent ,44021,ja,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.59,0.41
 Geraardsbergen ,41018,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.85,0.15
 Geraardsbergen ,41018,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.8,0.2
 Geraardsbergen ,41018,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.9,0.1
 Geraardsbergen ,41018,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.86,0.14
 Geraardsbergen ,41018,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.42,0.58
 Geraardsbergen ,41018,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.45,0.55
 Gingelom ,71017,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.84,0.16
 Gingelom ,71017,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.88,0.12
 Gingelom ,71017,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.86,0.14
 Gingelom ,71017,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.9,0.1
 Gingelom ,71017,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.42,0.58
 Gingelom ,71017,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.71,0.29
 Gistel ,35005,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.8,0.2
 Gistel ,35005,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.9,0.1
 Gistel ,35005,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.85,0.15
 Gistel ,35005,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.91,0.09
 Gistel ,35005,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.55,0.45
 Gistel ,35005,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.83,0.17
 Glabbeek ,24137,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.88,0.12
 Glabbeek ,24137,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.86,0.14
 Glabbeek ,24137,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.9,0.1
 Glabbeek ,24137,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.87,0.13
 Glabbeek ,24137,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.45,0.55
 Glabbeek ,24137,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.66,0.34
 Gooik ,23024,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.89,0.11
 Gooik ,23024,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.86,0.14
 Gooik ,23024,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.91,0.09
 Gooik ,23024,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.89,0.11
 Gooik ,23024,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.7,0.3
 Gooik ,23024,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.59,0.41
 Grimbergen ,23025,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.83,0.17
 Grimbergen ,23025,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.79,0.21
 Grimbergen ,23025,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.88,0.12
 Grimbergen ,23025,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.86,0.14
 Grimbergen ,23025,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.48,0.52
 Grimbergen ,23025,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.43,0.57
 Grobbendonk ,13010,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.84,0.16
 Grobbendonk ,13010,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.86,0.14
 Grobbendonk ,13010,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.9,0.1
 Grobbendonk ,13010,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.89,0.11
 Grobbendonk ,13010,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.26,0.74
 Grobbendonk ,13010,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.61,0.39
 Haacht ,24033,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.85,0.15
 Haacht ,24033,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.82,0.18
 Haacht ,24033,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.86,0.14
 Haacht ,24033,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.85,0.15
 Haacht ,24033,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.79,0.21
 Haacht ,24033,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.51,0.49
 Haaltert ,41024,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.93,0.07
 Haaltert ,41024,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.87,0.13
 Haaltert ,41024,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.96,0.04
 Haaltert ,41024,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.91,0.09
 Haaltert ,41024,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.56,0.44
 Haaltert ,41024,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.62,0.38
 Halen ,71020,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.86,0.14
 Halen ,71020,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.85,0.15
 Halen ,71020,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.89,0.11
 Halen ,71020,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.9,0.1
 Halen ,71020,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.5,0.5
 Halen ,71020,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.51,0.49
 Halle ,23027,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.81,0.19
 Halle ,23027,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.79,0.21
 Halle ,23027,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.85,0.15
 Halle ,23027,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.86,0.14
 Halle ,23027,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.44,0.56
 Halle ,23027,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.55,0.45
 Ham ,71069,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.85,0.15
 Ham ,71069,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.82,0.18
 Ham ,71069,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.88,0.12
 Ham ,71069,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.83,0.17
 Ham ,71069,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.58,0.42
 Ham ,71069,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.75,0.25
 Hamme ,42008,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.8,0.2
 Hamme ,42008,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.78,0.22
 Hamme ,42008,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.84,0.16
 Hamme ,42008,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.8,0.2
 Hamme ,42008,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.6,0.4
 Hamme ,42008,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.66,0.34
 Hamont-Achel ,72037,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.88,0.12
 Hamont-Achel ,72037,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.82,0.18
 Hamont-Achel ,72037,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.91,0.09
 Hamont-Achel ,72037,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.87,0.13
 Hamont-Achel ,72037,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.7,0.3
 Hamont-Achel ,72037,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.47,0.53
 Harelbeke ,34013,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.84,0.16
 Harelbeke ,34013,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.81,0.19
 Harelbeke ,34013,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.88,0.12
