Gemeente,NIS-code,Centrumstad?,Indicator,Item,Jaar,5 jaar of minder (%),6 tot en met 10 jaar (%),Meer dan 10 jaar (%)
 Balen ,13003,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.12,0.09,0.79
 Balen ,13003,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.12,0.09,0.78
 Beernem ,31003,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.21,0.1,0.69
 Beernem ,31003,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.26,0.13,0.61
 Beernem ,31003,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.12,0.07,0.81
 Beernem ,31003,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.16,0.07,0.76
 Beerse ,13004,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.23,0.13,0.64
 Beerse ,13004,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.25,0.14,0.61
 Beerse ,13004,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.14,0.08,0.79
 Beerse ,13004,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.14,0.08,0.79
 Beersel ,23003,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.27,0.14,0.58
 Beersel ,23003,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.26,0.11,0.63
 Beersel ,23003,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.22,0.1,0.68
 Beersel ,23003,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.17,0.08,0.75
 Begijnendijk ,24007,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.17,0.12,0.71
 Begijnendijk ,24007,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.19,0.11,0.7
 Begijnendijk ,24007,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.13,0.08,0.79
 Begijnendijk ,24007,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.15,0.08,0.77
 Bekkevoort ,24008,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.17,0.12,0.71
 Bekkevoort ,24008,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.22,0.14,0.64
 Bekkevoort ,24008,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.14,0.09,0.78
 Bekkevoort ,24008,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.17,0.12,0.71
 Beringen ,71004,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.23,0.14,0.62
 Beringen ,71004,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.28,0.11,0.61
 Beringen ,71004,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.12,0.08,0.8
 Beringen ,71004,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.12,0.07,0.81
 Berlaar ,12002,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.23,0.14,0.62
 Berlaar ,12002,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.25,0.14,0.61
