Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Eigenaar (%),Huurder (%)
 Essen ,11016,nee,Eigenaar/huurder van een woning,2017,0.9,0.1
 Essen ,11016,nee,Eigenaar/huurder van een woning,2020,0.85,0.15
 Evergem ,44019,nee,Eigenaar/huurder van een woning,2017,0.85,0.15
 Evergem ,44019,nee,Eigenaar/huurder van een woning,2020,0.83,0.17
 Galmaarden ,23023,nee,Eigenaar/huurder van een woning,2017,0.91,0.09
 Galmaarden ,23023,nee,Eigenaar/huurder van een woning,2020,0.89,0.11
 Gavere ,44020,nee,Eigenaar/huurder van een woning,2017,0.9,0.1
 Gavere ,44020,nee,Eigenaar/huurder van een woning,2020,0.86,0.14
 Geel ,13008,nee,Eigenaar/huurder van een woning,2017,0.8,0.2
 Geel ,13008,nee,Eigenaar/huurder van een woning,2020,0.83,0.17
 Geetbets ,24028,nee,Eigenaar/huurder van een woning,2017,0.94,0.06
 Geetbets ,24028,nee,Eigenaar/huurder van een woning,2020,0.9,0.1
 Genk ,71016,ja,Eigenaar/huurder van een woning,2008,0.81,0.19
 Genk ,71016,ja,Eigenaar/huurder van een woning,2011,0.78,0.22
 Genk ,71016,ja,Eigenaar/huurder van een woning,2014,0.77,0.23
 Genk ,71016,ja,Eigenaar/huurder van een woning,2017,0.8,0.2
 Genk ,71016,ja,Eigenaar/huurder van een woning,2020,0.78,0.22
 Gent ,44021,ja,Eigenaar/huurder van een woning,2008,0.64,0.36
 Gent ,44021,ja,Eigenaar/huurder van een woning,2011,0.67,0.33
 Gent ,44021,ja,Eigenaar/huurder van een woning,2014,0.65,0.35
 Gent ,44021,ja,Eigenaar/huurder van een woning,2017,0.66,0.34
 Gent ,44021,ja,Eigenaar/huurder van een woning,2020,0.67,0.33
 Geraardsbergen ,41018,nee,Eigenaar/huurder van een woning,2017,0.88,0.12
 Geraardsbergen ,41018,nee,Eigenaar/huurder van een woning,2020,0.85,0.15
 Gingelom ,71017,nee,Eigenaar/huurder van een woning,2017,0.95,0.05
 Gingelom ,71017,nee,Eigenaar/huurder van een woning,2020,0.92,0.08
 Gistel ,35005,nee,Eigenaar/huurder van een woning,2017,0.84,0.16
 Gistel ,35005,nee,Eigenaar/huurder van een woning,2020,0.86,0.14
 Glabbeek ,24137,nee,Eigenaar/huurder van een woning,2017,0.95,0.05
 Glabbeek ,24137,nee,Eigenaar/huurder van een woning,2020,0.93,0.07
 Gooik ,23024,nee,Eigenaar/huurder van een woning,2017,0.9,0.1
 Gooik ,23024,nee,Eigenaar/huurder van een woning,2020,0.87,0.13
 Grimbergen ,23025,nee,Eigenaar/huurder van een woning,2017,0.87,0.13
 Grimbergen ,23025,nee,Eigenaar/huurder van een woning,2020,0.79,0.21
 Grobbendonk ,13010,nee,Eigenaar/huurder van een woning,2017,0.89,0.11
 Grobbendonk ,13010,nee,Eigenaar/huurder van een woning,2020,0.87,0.13
 Haacht ,24033,nee,Eigenaar/huurder van een woning,2017,0.94,0.06
 Haacht ,24033,nee,Eigenaar/huurder van een woning,2020,0.9,0.1
 Haaltert ,41024,nee,Eigenaar/huurder van een woning,2017,0.91,0.09
 Haaltert ,41024,nee,Eigenaar/huurder van een woning,2020,0.84,0.16
 Halen ,71020,nee,Eigenaar/huurder van een woning,2017,0.91,0.09
 Halen ,71020,nee,Eigenaar/huurder van een woning,2020,0.88,0.12
 Halle ,23027,nee,Eigenaar/huurder van een woning,2017,0.87,0.13
 Halle ,23027,nee,Eigenaar/huurder van een woning,2020,0.77,0.23
 Ham ,71069,nee,Eigenaar/huurder van een woning,2017,0.88,0.12
 Ham ,71069,nee,Eigenaar/huurder van een woning,2020,0.86,0.14
 Hamme ,42008,nee,Eigenaar/huurder van een woning,2017,0.83,0.17
 Hamme ,42008,nee,Eigenaar/huurder van een woning,2020,0.83,0.17
 Hamont-Achel ,72037,nee,Eigenaar/huurder van een woning,2017,0.86,0.14
 Hamont-Achel ,72037,nee,Eigenaar/huurder van een woning,2020,0.87,0.13
 Harelbeke ,34013,nee,Eigenaar/huurder van een woning,2017,0.91,0.09
 Harelbeke ,34013,nee,Eigenaar/huurder van een woning,2020,0.86,0.14
 Hasselt ,71022,ja,Eigenaar/huurder van een woning,2008,0.79,0.21
 Hasselt ,71022,ja,Eigenaar/huurder van een woning,2011,0.81,0.19
 Hasselt ,71022,ja,Eigenaar/huurder van een woning,2014,0.81,0.19
 Hasselt ,71022,ja,Eigenaar/huurder van een woning,2017,0.81,0.19
 Hasselt ,71022,ja,Eigenaar/huurder van een woning,2020,0.79,0.21
 Hechtel-Eksel ,72038,nee,Eigenaar/huurder van een woning,2017,0.93,0.07
 Hechtel-Eksel ,72038,nee,Eigenaar/huurder van een woning,2020,0.89,0.11
 Heers ,73022,nee,Eigenaar/huurder van een woning,2017,0.91,0.09
 Heers ,73022,nee,Eigenaar/huurder van een woning,2020,0.89,0.11
 Heist-Op-Den-Berg ,12014,nee,Eigenaar/huurder van een woning,2017,0.85,0.15
 Heist-Op-Den-Berg ,12014,nee,Eigenaar/huurder van een woning,2020,0.84,0.16
 Hemiksem ,11018,nee,Eigenaar/huurder van een woning,2017,0.87,0.13
 Hemiksem ,11018,nee,Eigenaar/huurder van een woning,2020,0.87,0.13
 Herent ,24038,nee,Eigenaar/huurder van een woning,2017,0.87,0.13
 Herent ,24038,nee,Eigenaar/huurder van een woning,2020,0.85,0.15
 Herentals ,13011,nee,Eigenaar/huurder van een woning,2017,0.78,0.22
 Herentals ,13011,nee,Eigenaar/huurder van een woning,2020,0.78,0.22
 Herenthout ,13012,nee,Eigenaar/huurder van een woning,2017,0.85,0.15
 Herenthout ,13012,nee,Eigenaar/huurder van een woning,2020,0.81,0.19
 Herk-De-Stad ,71024,nee,Eigenaar/huurder van een woning,2017,0.91,0.09
 Herk-De-Stad ,71024,nee,Eigenaar/huurder van een woning,2020,0.87,0.13
 Herne ,23032,nee,Eigenaar/huurder van een woning,2017,0.91,0.09
 Herne ,23032,nee,Eigenaar/huurder van een woning,2020,0.91,0.09
 Herselt ,13013,nee,Eigenaar/huurder van een woning,2017,0.88,0.12
 Herselt ,13013,nee,Eigenaar/huurder van een woning,2020,0.89,0.11
 Herzele ,41027,nee,Eigenaar/huurder van een woning,2017,0.91,0.09
 Herzele ,41027,nee,Eigenaar/huurder van een woning,2020,0.88,0.12
 Heusden-Zolder ,71070,nee,Eigenaar/huurder van een woning,2017,0.87,0.13
 Heusden-Zolder ,71070,nee,Eigenaar/huurder van een woning,2020,0.8,0.2
 Heuvelland ,33039,nee,Eigenaar/huurder van een woning,2017,0.87,0.13
 Heuvelland ,33039,nee,Eigenaar/huurder van een woning,2020,0.89,0.11
 Hoegaarden ,24041,nee,Eigenaar/huurder van een woning,2017,0.9,0.1
 Hoegaarden ,24041,nee,Eigenaar/huurder van een woning,2020,0.89,0.11
 Hoeilaart ,23033,nee,Eigenaar/huurder van een woning,2017,0.82,0.18
 Hoeilaart ,23033,nee,Eigenaar/huurder van een woning,2020,0.8,0.2
