Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Ja (%),Nee (%)
 Boutersem ,24016,nee,Werken in eigen gemeente,2020,0.11,0.89
 Brakel ,45059,nee,Werken in eigen gemeente,2020,0.22,0.78
 Brasschaat ,11008,nee,Werken in eigen gemeente,2020,0.35,0.65
 Brecht ,11009,nee,Werken in eigen gemeente,2020,0.2,0.8
 Bredene ,35002,nee,Werken in eigen gemeente,2020,0.21,0.79
 Bree ,72004,nee,Werken in eigen gemeente,2020,0.42,0.58
 Brugge ,31005,ja,Werken in eigen gemeente,2020,0.57,0.43
 Buggenhout ,42004,nee,Werken in eigen gemeente,2020,0.25,0.75
 Damme ,31006,nee,Werken in eigen gemeente,2020,0.22,0.78
 De Haan ,35029,nee,Werken in eigen gemeente,2020,0.23,0.77
 De Panne ,38008,nee,Werken in eigen gemeente,2020,0.37,0.63
 De Pinte ,44012,nee,Werken in eigen gemeente,2020,0.15,0.85
 Deerlijk ,34009,nee,Werken in eigen gemeente,2020,0.25,0.75
 Deinze ,44083,nee,Werken in eigen gemeente,2020,0.27,0.73
 Denderleeuw ,41011,nee,Werken in eigen gemeente,2020,0.1,0.9
 Dendermonde ,42006,nee,Werken in eigen gemeente,2020,0.3,0.7
 Dentergem ,37002,nee,Werken in eigen gemeente,2020,0.17,0.83
 Dessel ,13006,nee,Werken in eigen gemeente,2020,0.23,0.77
 Destelbergen ,44013,nee,Werken in eigen gemeente,2020,0.12,0.88
 Diepenbeek ,71011,nee,Werken in eigen gemeente,2020,0.23,0.77
 Diest ,24020,nee,Werken in eigen gemeente,2020,0.3,0.7
 Diksmuide ,32003,nee,Werken in eigen gemeente,2020,0.36,0.64
 Dilbeek ,23016,nee,Werken in eigen gemeente,2020,0.24,0.76
 Dilsen-Stokkem ,72041,nee,Werken in eigen gemeente,2020,0.27,0.73
 Drogenbos ,23098,nee,Werken in eigen gemeente,2020,0.28,0.72
 Duffel ,12009,nee,Werken in eigen gemeente,2020,0.25,0.75
 Edegem ,11013,nee,Werken in eigen gemeente,2020,0.15,0.85
 Eeklo ,43005,nee,Werken in eigen gemeente,2020,0.36,0.64
 Erpe-Mere ,41082,nee,Werken in eigen gemeente,2020,0.23,0.77
 Essen ,11016,nee,Werken in eigen gemeente,2020,0.32,0.68
 Evergem ,44019,nee,Werken in eigen gemeente,2020,0.31,0.69
 Galmaarden ,23023,nee,Werken in eigen gemeente,2020,0.2,0.8
 Gavere ,44020,nee,Werken in eigen gemeente,2020,0.19,0.81
 Geel ,13008,nee,Werken in eigen gemeente,2020,0.35,0.65
 Geetbets ,24028,nee,Werken in eigen gemeente,2020,0.18,0.82
 Genk ,71016,ja,Werken in eigen gemeente,2020,0.48,0.52
 Gent ,44021,ja,Werken in eigen gemeente,2020,0.64,0.36
 Geraardsbergen ,41018,nee,Werken in eigen gemeente,2020,0.27,0.73
 Gingelom ,71017,nee,Werken in eigen gemeente,2020,0.14,0.86
 Gistel ,35005,nee,Werken in eigen gemeente,2020,0.22,0.78
 Glabbeek ,24137,nee,Werken in eigen gemeente,2020,0.16,0.84
 Gooik ,23024,nee,Werken in eigen gemeente,2020,0.09,0.91
 Grimbergen ,23025,nee,Werken in eigen gemeente,2020,0.21,0.79
 Grobbendonk ,13010,nee,Werken in eigen gemeente,2020,0.18,0.82
 Haacht ,24033,nee,Werken in eigen gemeente,2020,0.18,0.82
 Haaltert ,41024,nee,Werken in eigen gemeente,2020,0.17,0.83
