Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Aantal personen van 0 tot en met 59 jaar dat leeft in een gezin met zeer lage werkintensiteit,Aantal inwoners van 0 tot en met 59 jaar (KSZ-cijfers),Procent
Mechelen,12025,Ja,Personen in gezin met zeer lage werkintensiteit,2011,8682,63683,0.136332
Mechelen,12025,Ja,Personen in gezin met zeer lage werkintensiteit,2012,8400,63956,0.13134
Mechelen,12025,Ja,Personen in gezin met zeer lage werkintensiteit,2013,8338,64185,0.129906
Mechelen,12025,Ja,Personen in gezin met zeer lage werkintensiteit,2014,8536,64582,0.132173
Mechelen,12025,Ja,Personen in gezin met zeer lage werkintensiteit,2015,8473,64982,0.13039
Mechelen,12025,Ja,Personen in gezin met zeer lage werkintensiteit,2016,8382,65368,0.128228
Mechelen,12025,Ja,Personen in gezin met zeer lage werkintensiteit,2017,8120,66104,0.122837
Mechelen,12025,Ja,Personen in gezin met zeer lage werkintensiteit,2018,7923,66479,0.11918
Mechelen,12025,Ja,Personen in gezin met zeer lage werkintensiteit,2019,7764,66454,0.116833
Mechelen,12025,Ja,Personen in gezin met zeer lage werkintensiteit,2020,7352,66511,0.110538
Nijlen,12026,Nee,Personen in gezin met zeer lage werkintensiteit,2009,1127,16178,0.0696625
Nijlen,12026,Nee,Personen in gezin met zeer lage werkintensiteit,2010,1201,16267,0.0738305
Nijlen,12026,Nee,Personen in gezin met zeer lage werkintensiteit,2011,1149,16444,0.0698735
Nijlen,12026,Nee,Personen in gezin met zeer lage werkintensiteit,2012,1108,16506,0.0671271
Nijlen,12026,Nee,Personen in gezin met zeer lage werkintensiteit,2013,1109,16521,0.0671267
Nijlen,12026,Nee,Personen in gezin met zeer lage werkintensiteit,2014,1143,16571,0.0689759
Nijlen,12026,Nee,Personen in gezin met zeer lage werkintensiteit,2015,1139,16701,0.0681995
Nijlen,12026,Nee,Personen in gezin met zeer lage werkintensiteit,2016,1138,16670,0.0682663
Nijlen,12026,Nee,Personen in gezin met zeer lage werkintensiteit,2017,1084,16618,0.0652305
Nijlen,12026,Nee,Personen in gezin met zeer lage werkintensiteit,2018,1059,16639,0.0636457
Nijlen,12026,Nee,Personen in gezin met zeer lage werkintensiteit,2019,1018,16627,0.0612257
Nijlen,12026,Nee,Personen in gezin met zeer lage werkintensiteit,2020,930,16565,0.0561425
Putte,12029,Nee,Personen in gezin met zeer lage werkintensiteit,2009,786,12069,0.0651255
Putte,12029,Nee,Personen in gezin met zeer lage werkintensiteit,2010,862,12193,0.0706963
Putte,12029,Nee,Personen in gezin met zeer lage werkintensiteit,2011,904,12348,0.0732102
Putte,12029,Nee,Personen in gezin met zeer lage werkintensiteit,2012,886,12433,0.071262
Putte,12029,Nee,Personen in gezin met zeer lage werkintensiteit,2013,874,12493,0.0699592
Putte,12029,Nee,Personen in gezin met zeer lage werkintensiteit,2014,834,12605,0.0661642
Putte,12029,Nee,Personen in gezin met zeer lage werkintensiteit,2015,818,12545,0.0652053
Putte,12029,Nee,Personen in gezin met zeer lage werkintensiteit,2016,803,12443,0.0645343
Putte,12029,Nee,Personen in gezin met zeer lage werkintensiteit,2017,795,12511,0.0635441
Putte,12029,Nee,Personen in gezin met zeer lage werkintensiteit,2018,794,12617,0.062931
Putte,12029,Nee,Personen in gezin met zeer lage werkintensiteit,2019,738,12759,0.0578415
Putte,12029,Nee,Personen in gezin met zeer lage werkintensiteit,2020,692,12737,0.0543299
Sint-Katelijne-Waver,12035,Nee,Personen in gezin met zeer lage werkintensiteit,2009,754,15052,0.050093
Sint-Katelijne-Waver,12035,Nee,Personen in gezin met zeer lage werkintensiteit,2010,829,15096,0.0549152
Sint-Katelijne-Waver,12035,Nee,Personen in gezin met zeer lage werkintensiteit,2011,813,15211,0.0534482
Sint-Katelijne-Waver,12035,Nee,Personen in gezin met zeer lage werkintensiteit,2012,765,15202,0.0503223
Sint-Katelijne-Waver,12035,Nee,Personen in gezin met zeer lage werkintensiteit,2013,784,15156,0.0517287
Sint-Katelijne-Waver,12035,Nee,Personen in gezin met zeer lage werkintensiteit,2014,807,15062,0.0535785
Sint-Katelijne-Waver,12035,Nee,Personen in gezin met zeer lage werkintensiteit,2015,834,15011,0.0555593
Sint-Katelijne-Waver,12035,Nee,Personen in gezin met zeer lage werkintensiteit,2016,831,15099,0.0550368
Sint-Katelijne-Waver,12035,Nee,Personen in gezin met zeer lage werkintensiteit,2017,751,15057,0.0498771
Sint-Katelijne-Waver,12035,Nee,Personen in gezin met zeer lage werkintensiteit,2018,741,15094,0.0490924
