Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Aantal personen met een (equivalent) leefloon,Aantal inwoners,Procent
Borsbeek,11007,Nee,Personen met (equivalent) leefloon,2006,80,10257,0.00779955
Borsbeek,11007,Nee,Personen met (equivalent) leefloon,2007,77,10224,0.0075313
Borsbeek,11007,Nee,Personen met (equivalent) leefloon,2008,64,10125,0.00632099
Borsbeek,11007,Nee,Personen met (equivalent) leefloon,2009,64,10136,0.00631413
Borsbeek,11007,Nee,Personen met (equivalent) leefloon,2010,76,10125,0.00750617
Borsbeek,11007,Nee,Personen met (equivalent) leefloon,2011,63,10207,0.00617223
Borsbeek,11007,Nee,Personen met (equivalent) leefloon,2012,71,10233,0.00693834
Borsbeek,11007,Nee,Personen met (equivalent) leefloon,2013,67,10278,0.00651878
Borsbeek,11007,Nee,Personen met (equivalent) leefloon,2014,90,10451,0.00861162
Borsbeek,11007,Nee,Personen met (equivalent) leefloon,2015,59,10465,0.00563784
Borsbeek,11007,Nee,Personen met (equivalent) leefloon,2016,67,10540,0.00635674
Borsbeek,11007,Nee,Personen met (equivalent) leefloon,2017,79,10581,0.00746621
Borsbeek,11007,Nee,Personen met (equivalent) leefloon,2018,85,10685,0.00795508
Borsbeek,11007,Nee,Personen met (equivalent) leefloon,2019,107,10854,0.00985812
Borsbeek,11007,Nee,Personen met (equivalent) leefloon,2020,91,10949,0.00831126
Borsbeek,11007,Nee,Personen met (equivalent) leefloon,2021,106,11077,0.00956938
Borsbeek,11007,Nee,Personen met (equivalent) leefloon,2022,110,11226,0.00979868
Brasschaat,11008,Nee,Personen met (equivalent) leefloon,2003,270,37183,0.00726138
Brasschaat,11008,Nee,Personen met (equivalent) leefloon,2004,231,37165,0.00621553
Brasschaat,11008,Nee,Personen met (equivalent) leefloon,2005,218,37180,0.00586337
Brasschaat,11008,Nee,Personen met (equivalent) leefloon,2006,208,37282,0.0055791
Brasschaat,11008,Nee,Personen met (equivalent) leefloon,2007,206,37133,0.00554763
Brasschaat,11008,Nee,Personen met (equivalent) leefloon,2008,174,37180,0.00467994
Brasschaat,11008,Nee,Personen met (equivalent) leefloon,2009,132,37014,0.00356622
Brasschaat,11008,Nee,Personen met (equivalent) leefloon,2010,153,36949,0.00414084
Brasschaat,11008,Nee,Personen met (equivalent) leefloon,2011,112,37189,0.00301164
Brasschaat,11008,Nee,Personen met (equivalent) leefloon,2012,92,37301,0.00246642
Brasschaat,11008,Nee,Personen met (equivalent) leefloon,2013,103,37286,0.00276243
Brasschaat,11008,Nee,Personen met (equivalent) leefloon,2014,83,37502,0.00221322
Brasschaat,11008,Nee,Personen met (equivalent) leefloon,2015,94,37480,0.002508
Brasschaat,11008,Nee,Personen met (equivalent) leefloon,2016,105,37673,0.00278714
Brasschaat,11008,Nee,Personen met (equivalent) leefloon,2017,99,37792,0.0026196
Brasschaat,11008,Nee,Personen met (equivalent) leefloon,2018,121,37850,0.00319683
Brasschaat,11008,Nee,Personen met (equivalent) leefloon,2019,158,37946,0.00416381
Brasschaat,11008,Nee,Personen met (equivalent) leefloon,2020,153,38223,0.00400283
Brasschaat,11008,Nee,Personen met (equivalent) leefloon,2021,177,38211,0.00463217
Brasschaat,11008,Nee,Personen met (equivalent) leefloon,2022,163,38237,0.00426289
Brecht,11009,Nee,Personen met (equivalent) leefloon,2003,146,25607,0.00570157
Brecht,11009,Nee,Personen met (equivalent) leefloon,2004,124,25908,0.00478617
Brecht,11009,Nee,Personen met (equivalent) leefloon,2005,102,26029,0.00391871
Brecht,11009,Nee,Personen met (equivalent) leefloon,2006,81,26464,0.00306076
Brecht,11009,Nee,Personen met (equivalent) leefloon,2007,62,26730,0.00231949
Brecht,11009,Nee,Personen met (equivalent) leefloon,2008,55,27170,0.00202429
Brecht,11009,Nee,Personen met (equivalent) leefloon,2009,50,27406,0.00182442
Brecht,11009,Nee,Personen met (equivalent) leefloon,2010,38,27597,0.00137696
Brecht,11009,Nee,Personen met (equivalent) leefloon,2011,60,27801,0.0021582
Brecht,11009,Nee,Personen met (equivalent) leefloon,2012,40,27906,0.00143338
Brecht,11009,Nee,Personen met (equivalent) leefloon,2013,31,28016,0.00110651
Brecht,11009,Nee,Personen met (equivalent) leefloon,2014,47,28174,0.0016682
Brecht,11009,Nee,Personen met (equivalent) leefloon,2015,48,28248,0.00169924
Brecht,11009,Nee,Personen met (equivalent) leefloon,2016,46,28534,0.00161211
Brecht,11009,Nee,Personen met (equivalent) leefloon,2017,61,28786,0.00211909
Brecht,11009,Nee,Personen met (equivalent) leefloon,2018,69,29010,0.00237849
Brecht,11009,Nee,Personen met (equivalent) leefloon,2019,76,29268,0.00259669
Brecht,11009,Nee,Personen met (equivalent) leefloon,2020,67,29454,0.00227473
Brecht,11009,Nee,Personen met (equivalent) leefloon,2021,76,29809,0.00254957
Brecht,11009,Nee,Personen met (equivalent) leefloon,2022,49,30143,0.00162558
Edegem,11013,Nee,Personen met (equivalent) leefloon,2003,98,21964,0.00446185
Edegem,11013,Nee,Personen met (equivalent) leefloon,2004,106,21912,0.00483753
Edegem,11013,Nee,Personen met (equivalent) leefloon,2005,84,21866,0.00384158
Edegem,11013,Nee,Personen met (equivalent) leefloon,2006,76,21668,0.00350748
Edegem,11013,Nee,Personen met (equivalent) leefloon,2007,64,21616,0.00296077
Edegem,11013,Nee,Personen met (equivalent) leefloon,2008,60,21381,0.00280623
Edegem,11013,Nee,Personen met (equivalent) leefloon,2009,69,21222,0.00325134
Edegem,11013,Nee,Personen met (equivalent) leefloon,2010,80,21171,0.00377875
Edegem,11013,Nee,Personen met (equivalent) leefloon,2011,93,21103,0.00440696
Edegem,11013,Nee,Personen met (equivalent) leefloon,2012,86,21064,0.0040828
Edegem,11013,Nee,Personen met (equivalent) leefloon,2013,88,21159,0.00415899
Edegem,11013,Nee,Personen met (equivalent) leefloon,2014,89,21251,0.00418804
Edegem,11013,Nee,Personen met (equivalent) leefloon,2015,105,21291,0.00493166
Edegem,11013,Nee,Personen met (equivalent) leefloon,2016,117,21578,0.00542219
