Gemeente,NIS-code,Centrumstad,Indicator,Jaar,Aantal kinderen van 0 tot en met 17 jaar dat leeft in een gezin met zeer lage werkintensiteit,Aantal inwoners van 0 tot en met 17 jaar (KSZ-cijfers),Procent
Brasschaat,11008,Nee,Kinderen in gezin met zeer lage werkintensiteit,2010,653,6734,0.0969706
Brasschaat,11008,Nee,Kinderen in gezin met zeer lage werkintensiteit,2011,671,6768,0.099143
Brasschaat,11008,Nee,Kinderen in gezin met zeer lage werkintensiteit,2012,654,6762,0.0967169
Brasschaat,11008,Nee,Kinderen in gezin met zeer lage werkintensiteit,2013,641,6732,0.0952169
Brasschaat,11008,Nee,Kinderen in gezin met zeer lage werkintensiteit,2014,705,6762,0.104259
Brasschaat,11008,Nee,Kinderen in gezin met zeer lage werkintensiteit,2015,689,6704,0.102774
Brasschaat,11008,Nee,Kinderen in gezin met zeer lage werkintensiteit,2016,697,6691,0.10417
Brasschaat,11008,Nee,Kinderen in gezin met zeer lage werkintensiteit,2017,723,6703,0.107862
Brasschaat,11008,Nee,Kinderen in gezin met zeer lage werkintensiteit,2018,681,6690,0.101794
Brasschaat,11008,Nee,Kinderen in gezin met zeer lage werkintensiteit,2019,647,6751,0.0958377
Brasschaat,11008,Nee,Kinderen in gezin met zeer lage werkintensiteit,2020,656,6846,0.0958224
Brecht,11009,Nee,Kinderen in gezin met zeer lage werkintensiteit,2009,343,5757,0.0595796
Brecht,11009,Nee,Kinderen in gezin met zeer lage werkintensiteit,2010,362,5658,0.0639802
Brecht,11009,Nee,Kinderen in gezin met zeer lage werkintensiteit,2011,348,5637,0.061735
Brecht,11009,Nee,Kinderen in gezin met zeer lage werkintensiteit,2012,299,5504,0.0543241
Brecht,11009,Nee,Kinderen in gezin met zeer lage werkintensiteit,2013,303,5459,0.0555047
Brecht,11009,Nee,Kinderen in gezin met zeer lage werkintensiteit,2014,301,5469,0.0550375
Brecht,11009,Nee,Kinderen in gezin met zeer lage werkintensiteit,2015,300,5400,0.0555556
Brecht,11009,Nee,Kinderen in gezin met zeer lage werkintensiteit,2016,357,5423,0.0658307
Brecht,11009,Nee,Kinderen in gezin met zeer lage werkintensiteit,2017,313,5336,0.0586582
Brecht,11009,Nee,Kinderen in gezin met zeer lage werkintensiteit,2018,301,5328,0.056494
Brecht,11009,Nee,Kinderen in gezin met zeer lage werkintensiteit,2019,255,5304,0.0480769
Brecht,11009,Nee,Kinderen in gezin met zeer lage werkintensiteit,2020,250,5314,0.0470455
Edegem,11013,Nee,Kinderen in gezin met zeer lage werkintensiteit,2009,165,3772,0.0437434
Edegem,11013,Nee,Kinderen in gezin met zeer lage werkintensiteit,2010,210,3706,0.0566649
Edegem,11013,Nee,Kinderen in gezin met zeer lage werkintensiteit,2011,236,3700,0.0637838
Edegem,11013,Nee,Kinderen in gezin met zeer lage werkintensiteit,2012,258,3689,0.0699377
Edegem,11013,Nee,Kinderen in gezin met zeer lage werkintensiteit,2013,291,3739,0.0778283
Edegem,11013,Nee,Kinderen in gezin met zeer lage werkintensiteit,2014,316,3771,0.0837974
Edegem,11013,Nee,Kinderen in gezin met zeer lage werkintensiteit,2015,363,3830,0.0947781
Edegem,11013,Nee,Kinderen in gezin met zeer lage werkintensiteit,2016,339,3952,0.0857794
Edegem,11013,Nee,Kinderen in gezin met zeer lage werkintensiteit,2017,379,4022,0.0942317
Edegem,11013,Nee,Kinderen in gezin met zeer lage werkintensiteit,2018,378,4087,0.0924884
Edegem,11013,Nee,Kinderen in gezin met zeer lage werkintensiteit,2019,338,4189,0.0806875
Edegem,11013,Nee,Kinderen in gezin met zeer lage werkintensiteit,2020,327,4290,0.0762238
Essen,11016,Nee,Kinderen in gezin met zeer lage werkintensiteit,2009,633,3790,0.167018
Essen,11016,Nee,Kinderen in gezin met zeer lage werkintensiteit,2010,681,3799,0.179258
Essen,11016,Nee,Kinderen in gezin met zeer lage werkintensiteit,2011,692,3764,0.183847
Essen,11016,Nee,Kinderen in gezin met zeer lage werkintensiteit,2012,681,3783,0.180016
Essen,11016,Nee,Kinderen in gezin met zeer lage werkintensiteit,2013,639,3741,0.17081
Essen,11016,Nee,Kinderen in gezin met zeer lage werkintensiteit,2014,608,3776,0.161017
Essen,11016,Nee,Kinderen in gezin met zeer lage werkintensiteit,2015,625,3795,0.16469
Essen,11016,Nee,Kinderen in gezin met zeer lage werkintensiteit,2016,614,3816,0.160901
Essen,11016,Nee,Kinderen in gezin met zeer lage werkintensiteit,2017,638,3815,0.167235
Essen,11016,Nee,Kinderen in gezin met zeer lage werkintensiteit,2018,632,3898,0.162134
Essen,11016,Nee,Kinderen in gezin met zeer lage werkintensiteit,2019,597,3874,0.154104
Essen,11016,Nee,Kinderen in gezin met zeer lage werkintensiteit,2020,587,3887,0.151016
Hemiksem,11018,Nee,Kinderen in gezin met zeer lage werkintensiteit,2009,157,2114,0.0742668
Hemiksem,11018,Nee,Kinderen in gezin met zeer lage werkintensiteit,2010,182,2179,0.0835246
Hemiksem,11018,Nee,Kinderen in gezin met zeer lage werkintensiteit,2011,199,2213,0.0899232
Hemiksem,11018,Nee,Kinderen in gezin met zeer lage werkintensiteit,2012,186,2292,0.0811518
Hemiksem,11018,Nee,Kinderen in gezin met zeer lage werkintensiteit,2013,214,2375,0.0901053
Hemiksem,11018,Nee,Kinderen in gezin met zeer lage werkintensiteit,2014,215,2398,0.089658
Hemiksem,11018,Nee,Kinderen in gezin met zeer lage werkintensiteit,2015,239,2469,0.0968003
Hemiksem,11018,Nee,Kinderen in gezin met zeer lage werkintensiteit,2016,245,2487,0.0985123
Hemiksem,11018,Nee,Kinderen in gezin met zeer lage werkintensiteit,2017,208,2512,0.0828025
Hemiksem,11018,Nee,Kinderen in gezin met zeer lage werkintensiteit,2018,246,2533,0.097118
Hemiksem,11018,Nee,Kinderen in gezin met zeer lage werkintensiteit,2019,248,2622,0.0945843
Hemiksem,11018,Nee,Kinderen in gezin met zeer lage werkintensiteit,2020,238,2645,0.0899811
Hove,11021,Nee,Kinderen in gezin met zeer lage werkintensiteit,2009,44,1685,0.0261128
Hove,11021,Nee,Kinderen in gezin met zeer lage werkintensiteit,2010,53,1683,0.0314914
Hove,11021,Nee,Kinderen in gezin met zeer lage werkintensiteit,2011,40,1670,0.0239521
Hove,11021,Nee,Kinderen in gezin met zeer lage werkintensiteit,2012,61,1674,0.0364397
Hove,11021,Nee,Kinderen in gezin met zeer lage werkintensiteit,2013,59,1642,0.0359318
Hove,11021,Nee,Kinderen in gezin met zeer lage werkintensiteit,2014,63,1642,0.0383678
Hove,11021,Nee,Kinderen in gezin met zeer lage werkintensiteit,2015,80,1597,0.0500939
Hove,11021,Nee,Kinderen in gezin met zeer lage werkintensiteit,2016,92,1574,0.0584498
Hove,11021,Nee,Kinderen in gezin met zeer lage werkintensiteit,2017,88,1556,0.0565553
Hove,11021,Nee,Kinderen in gezin met zeer lage werkintensiteit,2018,76,1530,0.0496732
Hove,11021,Nee,Kinderen in gezin met zeer lage werkintensiteit,2019,77,1559,0.0493906
Hove,11021,Nee,Kinderen in gezin met zeer lage werkintensiteit,2020,76,1611,0.0471757
Kalmthout,11022,Nee,Kinderen in gezin met zeer lage werkintensiteit,2009,331,3708,0.0892665
Kalmthout,11022,Nee,Kinderen in gezin met zeer lage werkintensiteit,2010,331,3680,0.0899457
Kalmthout,11022,Nee,Kinderen in gezin met zeer lage werkintensiteit,2011,334,3684,0.0906623
Kalmthout,11022,Nee,Kinderen in gezin met zeer lage werkintensiteit,2012,338,3684,0.0917481
Kalmthout,11022,Nee,Kinderen in gezin met zeer lage werkintensiteit,2013,366,3658,0.100055
Kalmthout,11022,Nee,Kinderen in gezin met zeer lage werkintensiteit,2014,353,3652,0.0966594
Kalmthout,11022,Nee,Kinderen in gezin met zeer lage werkintensiteit,2015,332,3659,0.0907352
Kalmthout,11022,Nee,Kinderen in gezin met zeer lage werkintensiteit,2016,333,3635,0.0916094
Kalmthout,11022,Nee,Kinderen in gezin met zeer lage werkintensiteit,2017,324,3624,0.089404
Kalmthout,11022,Nee,Kinderen in gezin met zeer lage werkintensiteit,2018,287,3595,0.0798331
Kalmthout,11022,Nee,Kinderen in gezin met zeer lage werkintensiteit,2019,297,3624,0.0819536
Kalmthout,11022,Nee,Kinderen in gezin met zeer lage werkintensiteit,2020,273,3647,0.074856
Kapellen,11023,Nee,Kinderen in gezin met zeer lage werkintensiteit,2009,359,5073,0.0707668
Kapellen,11023,Nee,Kinderen in gezin met zeer lage werkintensiteit,2010,366,4977,0.0735383
Kapellen,11023,Nee,Kinderen in gezin met zeer lage werkintensiteit,2011,399,4893,0.0815451
Kapellen,11023,Nee,Kinderen in gezin met zeer lage werkintensiteit,2012,373,4850,0.0769072
Kapellen,11023,Nee,Kinderen in gezin met zeer lage werkintensiteit,2013,345,4842,0.0712515
Kapellen,11023,Nee,Kinderen in gezin met zeer lage werkintensiteit,2014,332,4822,0.0688511
Kapellen,11023,Nee,Kinderen in gezin met zeer lage werkintensiteit,2015,365,4854,0.0751957
Kapellen,11023,Nee,Kinderen in gezin met zeer lage werkintensiteit,2016,335,4861,0.0689159
Kapellen,11023,Nee,Kinderen in gezin met zeer lage werkintensiteit,2017,381,4875,0.0781538
Kapellen,11023,Nee,Kinderen in gezin met zeer lage werkintensiteit,2018,394,4903,0.080359
Kapellen,11023,Nee,Kinderen in gezin met zeer lage werkintensiteit,2019,377,4934,0.0764086
Kapellen,11023,Nee,Kinderen in gezin met zeer lage werkintensiteit,2020,327,4984,0.06561
Kontich,11024,Nee,Kinderen in gezin met zeer lage werkintensiteit,2009,147,4228,0.0347682
Kontich,11024,Nee,Kinderen in gezin met zeer lage werkintensiteit,2010,188,4210,0.0446556
Kontich,11024,Nee,Kinderen in gezin met zeer lage werkintensiteit,2011,238,4190,0.0568019
Kontich,11024,Nee,Kinderen in gezin met zeer lage werkintensiteit,2012,242,4178,0.0579225
Kontich,11024,Nee,Kinderen in gezin met zeer lage werkintensiteit,2013,235,4204,0.0558991
Kontich,11024,Nee,Kinderen in gezin met zeer lage werkintensiteit,2014,214,4160,0.0514423
Kontich,11024,Nee,Kinderen in gezin met zeer lage werkintensiteit,2015,210,4135,0.050786
Kontich,11024,Nee,Kinderen in gezin met zeer lage werkintensiteit,2016,218,4079,0.0534445
