Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,"Totaal netto belastbaar inkomen 
(in miljoen euro)","Aantal fiscale aangiften 
(zonder nulaangiften)","Gemiddeld inkomen, per aangifte 
(in euro)"
Brasschaat,11008,Nee,"Gemiddeld inkomen, per aangifte",2010,712.957,21496,33167.0
Brasschaat,11008,Nee,"Gemiddeld inkomen, per aangifte",2011,743.753,21357,34824.8
Brasschaat,11008,Nee,"Gemiddeld inkomen, per aangifte",2012,771.241,21084,36579.4
Brasschaat,11008,Nee,"Gemiddeld inkomen, per aangifte",2013,786.724,21307,36923.3
Brasschaat,11008,Nee,"Gemiddeld inkomen, per aangifte",2014,813.854,21402,38027.0
Brasschaat,11008,Nee,"Gemiddeld inkomen, per aangifte",2015,813.856,21611,37659.4
Brasschaat,11008,Nee,"Gemiddeld inkomen, per aangifte",2016,847.038,21695,39043.0
Brasschaat,11008,Nee,"Gemiddeld inkomen, per aangifte",2017,862.77,21776,39620.2
Brasschaat,11008,Nee,"Gemiddeld inkomen, per aangifte",2018,883.377,21761,40594.5
Brasschaat,11008,Nee,"Gemiddeld inkomen, per aangifte",2019,908.577,21807,41664.5
Brasschaat,11008,Nee,"Gemiddeld inkomen, per aangifte",2020,928.705,21708,42781.7
Brecht,11009,Nee,"Gemiddeld inkomen, per aangifte",1991,174.05,9054,19223.5
Brecht,11009,Nee,"Gemiddeld inkomen, per aangifte",1992,197.57,9995,19766.9
Brecht,11009,Nee,"Gemiddeld inkomen, per aangifte",1993,206.94,10172,20344.1
Brecht,11009,Nee,"Gemiddeld inkomen, per aangifte",1994,220.23,10446,21082.7
Brecht,11009,Nee,"Gemiddeld inkomen, per aangifte",1995,234.06,10931,21412.5
Brecht,11009,Nee,"Gemiddeld inkomen, per aangifte",1996,245.84,11355,21650.4
Brecht,11009,Nee,"Gemiddeld inkomen, per aangifte",1997,258.9,11775,21987.3
Brecht,11009,Nee,"Gemiddeld inkomen, per aangifte",1998,275.59,11910,23139.4
Brecht,11009,Nee,"Gemiddeld inkomen, per aangifte",1999,288.06,12449,23139.2
Brecht,11009,Nee,"Gemiddeld inkomen, per aangifte",2000,306.95,12693,24182.6
Brecht,11009,Nee,"Gemiddeld inkomen, per aangifte",2001,325.08,12804,25388.9
Brecht,11009,Nee,"Gemiddeld inkomen, per aangifte",2002,336.1,13270,25327.8
Brecht,11009,Nee,"Gemiddeld inkomen, per aangifte",2003,349.383,13695,25511.8
Brecht,11009,Nee,"Gemiddeld inkomen, per aangifte",2004,365.41,13850,26383.4
Brecht,11009,Nee,"Gemiddeld inkomen, per aangifte",2005,388.009,14278,27175.3
Brecht,11009,Nee,"Gemiddeld inkomen, per aangifte",2006,408.666,14687,27825.0
Brecht,11009,Nee,"Gemiddeld inkomen, per aangifte",2007,431.521,15031,28708.8
Brecht,11009,Nee,"Gemiddeld inkomen, per aangifte",2008,459.779,15230,30189.0
Brecht,11009,Nee,"Gemiddeld inkomen, per aangifte",2009,464.807,15225,30529.2
Brecht,11009,Nee,"Gemiddeld inkomen, per aangifte",2010,489.192,15494,31573.0
Brecht,11009,Nee,"Gemiddeld inkomen, per aangifte",2011,499.356,15439,32343.8
Brecht,11009,Nee,"Gemiddeld inkomen, per aangifte",2012,525.083,15456,33972.7
Brecht,11009,Nee,"Gemiddeld inkomen, per aangifte",2013,536.043,15593,34377.2
Brecht,11009,Nee,"Gemiddeld inkomen, per aangifte",2014,562.508,15758,35696.6
Brecht,11009,Nee,"Gemiddeld inkomen, per aangifte",2015,573.315,15954,35935.5
Brecht,11009,Nee,"Gemiddeld inkomen, per aangifte",2016,585.563,16218,36105.7
Brecht,11009,Nee,"Gemiddeld inkomen, per aangifte",2017,612.668,16377,37410.3
Brecht,11009,Nee,"Gemiddeld inkomen, per aangifte",2018,629.113,16550,38012.9
Brecht,11009,Nee,"Gemiddeld inkomen, per aangifte",2019,647.414,16557,39102.1
Brecht,11009,Nee,"Gemiddeld inkomen, per aangifte",2020,670.182,16667,40210.1
Edegem,11013,Nee,"Gemiddeld inkomen, per aangifte",1991,249.13,10560,23591.9
Edegem,11013,Nee,"Gemiddeld inkomen, per aangifte",1992,268.82,10273,26167.6
Edegem,11013,Nee,"Gemiddeld inkomen, per aangifte",1993,275.38,10223,26937.3
Edegem,11013,Nee,"Gemiddeld inkomen, per aangifte",1994,279.92,9977,28056.5
Edegem,11013,Nee,"Gemiddeld inkomen, per aangifte",1995,289.91,10422,27817.1
Edegem,11013,Nee,"Gemiddeld inkomen, per aangifte",1996,288.05,10462,27533.0
Edegem,11013,Nee,"Gemiddeld inkomen, per aangifte",1997,302.41,10460,28911.1
Edegem,11013,Nee,"Gemiddeld inkomen, per aangifte",1998,306.46,10643,28794.5
Edegem,11013,Nee,"Gemiddeld inkomen, per aangifte",1999,312.32,10765,29012.5
Edegem,11013,Nee,"Gemiddeld inkomen, per aangifte",2000,322.5,11050,29185.5
Edegem,11013,Nee,"Gemiddeld inkomen, per aangifte",2001,337.6,11133,30324.3
Edegem,11013,Nee,"Gemiddeld inkomen, per aangifte",2002,349.98,11500,30433.0
Edegem,11013,Nee,"Gemiddeld inkomen, per aangifte",2003,355.13,12415,28604.9
Edegem,11013,Nee,"Gemiddeld inkomen, per aangifte",2004,367.309,12527,29321.4
Edegem,11013,Nee,"Gemiddeld inkomen, per aangifte",2005,378.928,12537,30224.8
Edegem,11013,Nee,"Gemiddeld inkomen, per aangifte",2006,386.167,12657,30510.2
Edegem,11013,Nee,"Gemiddeld inkomen, per aangifte",2007,399.064,12637,31579.0
Edegem,11013,Nee,"Gemiddeld inkomen, per aangifte",2008,419.034,12652,33120.0
