Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,"Aantal personen met een (equivalent) leefloon, met een IGO of GIB, met een IVT en/of met een IT",Aantal inwoners,Procent
Edegem,11013,Nee,Personen met sociale bijstandsuitkering,2011,362,21103,0.017154
Edegem,11013,Nee,Personen met sociale bijstandsuitkering,2012,363,21064,0.0172332
Edegem,11013,Nee,Personen met sociale bijstandsuitkering,2013,376,21159,0.0177702
Edegem,11013,Nee,Personen met sociale bijstandsuitkering,2014,391,21251,0.0183991
Edegem,11013,Nee,Personen met sociale bijstandsuitkering,2015,402,21291,0.0188812
Edegem,11013,Nee,Personen met sociale bijstandsuitkering,2016,416,21578,0.0192789
Edegem,11013,Nee,Personen met sociale bijstandsuitkering,2017,425,21835,0.0194642
Edegem,11013,Nee,Personen met sociale bijstandsuitkering,2018,464,21947,0.0211418
Edegem,11013,Nee,Personen met sociale bijstandsuitkering,2019,477,22063,0.0216199
Edegem,11013,Nee,Personen met sociale bijstandsuitkering,2020,465,22261,0.0208885
Edegem,11013,Nee,Personen met sociale bijstandsuitkering,2021,479,22244,0.0215339
Edegem,11013,Nee,Personen met sociale bijstandsuitkering,2022,454,22386,0.0202805
Essen,11016,Nee,Personen met sociale bijstandsuitkering,2011,323,17919,0.0180256
Essen,11016,Nee,Personen met sociale bijstandsuitkering,2012,321,18075,0.0177593
Essen,11016,Nee,Personen met sociale bijstandsuitkering,2013,330,18066,0.0182664
Essen,11016,Nee,Personen met sociale bijstandsuitkering,2014,319,18256,0.0174737
Essen,11016,Nee,Personen met sociale bijstandsuitkering,2015,331,18427,0.0179628
Essen,11016,Nee,Personen met sociale bijstandsuitkering,2016,334,18615,0.0179425
Essen,11016,Nee,Personen met sociale bijstandsuitkering,2017,330,18792,0.0175607
Essen,11016,Nee,Personen met sociale bijstandsuitkering,2018,339,19079,0.0177682
Essen,11016,Nee,Personen met sociale bijstandsuitkering,2019,354,19038,0.0185944
Essen,11016,Nee,Personen met sociale bijstandsuitkering,2020,360,19162,0.0187872
Essen,11016,Nee,Personen met sociale bijstandsuitkering,2021,370,19196,0.0192748
Essen,11016,Nee,Personen met sociale bijstandsuitkering,2022,398,19341,0.020578
Hemiksem,11018,Nee,Personen met sociale bijstandsuitkering,2011,221,10318,0.0214189
Hemiksem,11018,Nee,Personen met sociale bijstandsuitkering,2012,206,10605,0.0194248
Hemiksem,11018,Nee,Personen met sociale bijstandsuitkering,2013,212,10765,0.0196935
Hemiksem,11018,Nee,Personen met sociale bijstandsuitkering,2014,210,10866,0.0193263
Hemiksem,11018,Nee,Personen met sociale bijstandsuitkering,2015,197,11040,0.0178442
Hemiksem,11018,Nee,Personen met sociale bijstandsuitkering,2016,187,11148,0.0167743
Hemiksem,11018,Nee,Personen met sociale bijstandsuitkering,2017,187,11233,0.0166474
Hemiksem,11018,Nee,Personen met sociale bijstandsuitkering,2018,186,11368,0.0163617
Hemiksem,11018,Nee,Personen met sociale bijstandsuitkering,2019,200,11559,0.0173025
Hemiksem,11018,Nee,Personen met sociale bijstandsuitkering,2020,201,11634,0.0172769
Hemiksem,11018,Nee,Personen met sociale bijstandsuitkering,2021,226,11722,0.01928
Hemiksem,11018,Nee,Personen met sociale bijstandsuitkering,2022,247,11812,0.0209109
Hove,11021,Nee,Personen met sociale bijstandsuitkering,2011,100,8190,0.01221
Hove,11021,Nee,Personen met sociale bijstandsuitkering,2012,95,8199,0.0115868
Hove,11021,Nee,Personen met sociale bijstandsuitkering,2013,101,8198,0.0123201
Hove,11021,Nee,Personen met sociale bijstandsuitkering,2014,108,8216,0.0131451
Hove,11021,Nee,Personen met sociale bijstandsuitkering,2015,97,8193,0.0118394
