Gemeente,NIS-code,Centrumstad,Indicator,Jaar,Procent
Borsbeek,11007,Nee,Kansarmoede-index Kind en Gezin,2001,0.06417
Borsbeek,11007,Nee,Kansarmoede-index Kind en Gezin,2002,0.06269
Borsbeek,11007,Nee,Kansarmoede-index Kind en Gezin,2003,0.05231
Borsbeek,11007,Nee,Kansarmoede-index Kind en Gezin,2004,0.06907
Borsbeek,11007,Nee,Kansarmoede-index Kind en Gezin,2005,0.07059
Borsbeek,11007,Nee,Kansarmoede-index Kind en Gezin,2006,0.07738
Borsbeek,11007,Nee,Kansarmoede-index Kind en Gezin,2007,0.09119
Borsbeek,11007,Nee,Kansarmoede-index Kind en Gezin,2008,0.09265
Borsbeek,11007,Nee,Kansarmoede-index Kind en Gezin,2009,0.07289
Borsbeek,11007,Nee,Kansarmoede-index Kind en Gezin,2010,0.07923
Borsbeek,11007,Nee,Kansarmoede-index Kind en Gezin,2011,0.07634
Borsbeek,11007,Nee,Kansarmoede-index Kind en Gezin,2012,0.10149
Borsbeek,11007,Nee,Kansarmoede-index Kind en Gezin,2013,0.11137
Borsbeek,11007,Nee,Kansarmoede-index Kind en Gezin,2014,0.10304
Borsbeek,11007,Nee,Kansarmoede-index Kind en Gezin,2015,0.1167
Borsbeek,11007,Nee,Kansarmoede-index Kind en Gezin,2016,0.11565
Borsbeek,11007,Nee,Kansarmoede-index Kind en Gezin,2017,0.11416
Borsbeek,11007,Nee,Kansarmoede-index Kind en Gezin,2018,0.14023
Borsbeek,11007,Nee,Kansarmoede-index Kind en Gezin,2019,0.1895
Borsbeek,11007,Nee,Kansarmoede-index Kind en Gezin,2020,0.21064
Borsbeek,11007,Nee,Kansarmoede-index Kind en Gezin,2021,0.2
Brasschaat,11008,Nee,Kansarmoede-index Kind en Gezin,2001,0.02053
Brasschaat,11008,Nee,Kansarmoede-index Kind en Gezin,2002,0.03303
Brasschaat,11008,Nee,Kansarmoede-index Kind en Gezin,2003,0.02761
Brasschaat,11008,Nee,Kansarmoede-index Kind en Gezin,2004,0.02671
Brasschaat,11008,Nee,Kansarmoede-index Kind en Gezin,2005,0.027
Brasschaat,11008,Nee,Kansarmoede-index Kind en Gezin,2006,0.0287
Brasschaat,11008,Nee,Kansarmoede-index Kind en Gezin,2007,0.03408
Brasschaat,11008,Nee,Kansarmoede-index Kind en Gezin,2008,0.03233
Brasschaat,11008,Nee,Kansarmoede-index Kind en Gezin,2009,0.03811
Brasschaat,11008,Nee,Kansarmoede-index Kind en Gezin,2010,0.03333
Brasschaat,11008,Nee,Kansarmoede-index Kind en Gezin,2011,0.03947
Brasschaat,11008,Nee,Kansarmoede-index Kind en Gezin,2012,0.04522
Brasschaat,11008,Nee,Kansarmoede-index Kind en Gezin,2013,0.04985
Brasschaat,11008,Nee,Kansarmoede-index Kind en Gezin,2014,0.0462
Brasschaat,11008,Nee,Kansarmoede-index Kind en Gezin,2015,0.05196
Brasschaat,11008,Nee,Kansarmoede-index Kind en Gezin,2016,0.06431
Brasschaat,11008,Nee,Kansarmoede-index Kind en Gezin,2017,0.07969
Brasschaat,11008,Nee,Kansarmoede-index Kind en Gezin,2018,0.07447
Brasschaat,11008,Nee,Kansarmoede-index Kind en Gezin,2019,0.06674
Brasschaat,11008,Nee,Kansarmoede-index Kind en Gezin,2020,0.04762
Brasschaat,11008,Nee,Kansarmoede-index Kind en Gezin,2021,0.03897
Brecht,11009,Nee,Kansarmoede-index Kind en Gezin,2001,0.01566
Brecht,11009,Nee,Kansarmoede-index Kind en Gezin,2002,0.0225
Brecht,11009,Nee,Kansarmoede-index Kind en Gezin,2003,0.02057
Brecht,11009,Nee,Kansarmoede-index Kind en Gezin,2004,0.0285
Brecht,11009,Nee,Kansarmoede-index Kind en Gezin,2005,0.02682
Brecht,11009,Nee,Kansarmoede-index Kind en Gezin,2006,0.01567
Brecht,11009,Nee,Kansarmoede-index Kind en Gezin,2007,0.01119
Brecht,11009,Nee,Kansarmoede-index Kind en Gezin,2008,0.01215
Brecht,11009,Nee,Kansarmoede-index Kind en Gezin,2009,0.01954
Brecht,11009,Nee,Kansarmoede-index Kind en Gezin,2010,0.02706
Brecht,11009,Nee,Kansarmoede-index Kind en Gezin,2011,0.03285
Brecht,11009,Nee,Kansarmoede-index Kind en Gezin,2012,0.02503
Brecht,11009,Nee,Kansarmoede-index Kind en Gezin,2013,0.03077
Brecht,11009,Nee,Kansarmoede-index Kind en Gezin,2014,0.02252
Brecht,11009,Nee,Kansarmoede-index Kind en Gezin,2015,0.01861
Brecht,11009,Nee,Kansarmoede-index Kind en Gezin,2016,0.01726
Brecht,11009,Nee,Kansarmoede-index Kind en Gezin,2017,0.03302
Brecht,11009,Nee,Kansarmoede-index Kind en Gezin,2018,0.06705
Brecht,11009,Nee,Kansarmoede-index Kind en Gezin,2019,0.07412
Brecht,11009,Nee,Kansarmoede-index Kind en Gezin,2020,0.08619
Brecht,11009,Nee,Kansarmoede-index Kind en Gezin,2021,0.08391
Edegem,11013,Nee,Kansarmoede-index Kind en Gezin,2001,0.01053
Edegem,11013,Nee,Kansarmoede-index Kind en Gezin,2002,0.01795
Edegem,11013,Nee,Kansarmoede-index Kind en Gezin,2003,0.01789
Edegem,11013,Nee,Kansarmoede-index Kind en Gezin,2004,0.02128
Edegem,11013,Nee,Kansarmoede-index Kind en Gezin,2005,0.02135
Edegem,11013,Nee,Kansarmoede-index Kind en Gezin,2006,0.02542
Edegem,11013,Nee,Kansarmoede-index Kind en Gezin,2007,0.01678
Edegem,11013,Nee,Kansarmoede-index Kind en Gezin,2008,0.0203
Edegem,11013,Nee,Kansarmoede-index Kind en Gezin,2009,0.02572
Edegem,11013,Nee,Kansarmoede-index Kind en Gezin,2010,0.03206
Edegem,11013,Nee,Kansarmoede-index Kind en Gezin,2011,0.05615
Edegem,11013,Nee,Kansarmoede-index Kind en Gezin,2012,0.08571
Edegem,11013,Nee,Kansarmoede-index Kind en Gezin,2013,0.09077
Edegem,11013,Nee,Kansarmoede-index Kind en Gezin,2014,0.09668
Edegem,11013,Nee,Kansarmoede-index Kind en Gezin,2015,0.09724
Edegem,11013,Nee,Kansarmoede-index Kind en Gezin,2016,0.10028
Edegem,11013,Nee,Kansarmoede-index Kind en Gezin,2017,0.08777
Edegem,11013,Nee,Kansarmoede-index Kind en Gezin,2018,0.0654
Edegem,11013,Nee,Kansarmoede-index Kind en Gezin,2019,0.08172
Edegem,11013,Nee,Kansarmoede-index Kind en Gezin,2020,0.08552
Edegem,11013,Nee,Kansarmoede-index Kind en Gezin,2021,0.08437
Essen,11016,Nee,Kansarmoede-index Kind en Gezin,2001,0.00748
Essen,11016,Nee,Kansarmoede-index Kind en Gezin,2002,0.00839
Essen,11016,Nee,Kansarmoede-index Kind en Gezin,2003,0.00795
Essen,11016,Nee,Kansarmoede-index Kind en Gezin,2004,0.01394
Essen,11016,Nee,Kansarmoede-index Kind en Gezin,2005,0.01912
Essen,11016,Nee,Kansarmoede-index Kind en Gezin,2006,0.02136
Essen,11016,Nee,Kansarmoede-index Kind en Gezin,2007,0.02444
Essen,11016,Nee,Kansarmoede-index Kind en Gezin,2008,0.01961
Essen,11016,Nee,Kansarmoede-index Kind en Gezin,2009,0.02044
Essen,11016,Nee,Kansarmoede-index Kind en Gezin,2010,0.01182
Essen,11016,Nee,Kansarmoede-index Kind en Gezin,2011,0.01637
Essen,11016,Nee,Kansarmoede-index Kind en Gezin,2012,0.01587
Essen,11016,Nee,Kansarmoede-index Kind en Gezin,2013,0.02534
Essen,11016,Nee,Kansarmoede-index Kind en Gezin,2014,0.01488
Essen,11016,Nee,Kansarmoede-index Kind en Gezin,2015,0.02744
Essen,11016,Nee,Kansarmoede-index Kind en Gezin,2016,0.04831
Essen,11016,Nee,Kansarmoede-index Kind en Gezin,2017,0.06919
Essen,11016,Nee,Kansarmoede-index Kind en Gezin,2018,0.05482
Essen,11016,Nee,Kansarmoede-index Kind en Gezin,2019,0.03541
Essen,11016,Nee,Kansarmoede-index Kind en Gezin,2020,0.02911
Essen,11016,Nee,Kansarmoede-index Kind en Gezin,2021,0.0327
Hemiksem,11018,Nee,Kansarmoede-index Kind en Gezin,2001,0.02878
Hemiksem,11018,Nee,Kansarmoede-index Kind en Gezin,2002,0.03125
Hemiksem,11018,Nee,Kansarmoede-index Kind en Gezin,2003,0.02786
Hemiksem,11018,Nee,Kansarmoede-index Kind en Gezin,2004,0.01802
Hemiksem,11018,Nee,Kansarmoede-index Kind en Gezin,2005,0.01453
Hemiksem,11018,Nee,Kansarmoede-index Kind en Gezin,2006,0.03429
Hemiksem,11018,Nee,Kansarmoede-index Kind en Gezin,2007,0.04474
Hemiksem,11018,Nee,Kansarmoede-index Kind en Gezin,2008,0.03095
Hemiksem,11018,Nee,Kansarmoede-index Kind en Gezin,2009,0.03059
Hemiksem,11018,Nee,Kansarmoede-index Kind en Gezin,2010,0.04206
Hemiksem,11018,Nee,Kansarmoede-index Kind en Gezin,2011,0.03659
Hemiksem,11018,Nee,Kansarmoede-index Kind en Gezin,2012,0.04455
Hemiksem,11018,Nee,Kansarmoede-index Kind en Gezin,2013,0.05502
Hemiksem,11018,Nee,Kansarmoede-index Kind en Gezin,2014,0.08
Hemiksem,11018,Nee,Kansarmoede-index Kind en Gezin,2015,0.08333
Hemiksem,11018,Nee,Kansarmoede-index Kind en Gezin,2016,0.09499
Hemiksem,11018,Nee,Kansarmoede-index Kind en Gezin,2017,0.09275
Hemiksem,11018,Nee,Kansarmoede-index Kind en Gezin,2018,0.10221
Hemiksem,11018,Nee,Kansarmoede-index Kind en Gezin,2019,0.11497
Hemiksem,11018,Nee,Kansarmoede-index Kind en Gezin,2020,0.125
Hemiksem,11018,Nee,Kansarmoede-index Kind en Gezin,2021,0.11899
Hove,11021,Nee,Kansarmoede-index Kind en Gezin,2001,0.00518
Hove,11021,Nee,Kansarmoede-index Kind en Gezin,2002,0.00549
Hove,11021,Nee,Kansarmoede-index Kind en Gezin,2003,0.01
Hove,11021,Nee,Kansarmoede-index Kind en Gezin,2004,0.01515
Hove,11021,Nee,Kansarmoede-index Kind en Gezin,2005,0.00481
Hove,11021,Nee,Kansarmoede-index Kind en Gezin,2006,0.0
Hove,11021,Nee,Kansarmoede-index Kind en Gezin,2007,0.00478
Hove,11021,Nee,Kansarmoede-index Kind en Gezin,2008,0.00971
Hove,11021,Nee,Kansarmoede-index Kind en Gezin,2009,0.01389
Hove,11021,Nee,Kansarmoede-index Kind en Gezin,2010,0.01402
