Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Aantal personen met een IGO of GIB,Aantal inwoners van 65 jaar en ouder,Procent
Brecht,11009,Nee,Personen met inkomensgarantie voor ouderen,2012,164,4439,0.0369453
Brecht,11009,Nee,Personen met inkomensgarantie voor ouderen,2013,164,4602,0.0356367
Brecht,11009,Nee,Personen met inkomensgarantie voor ouderen,2014,165,4742,0.0347954
Brecht,11009,Nee,Personen met inkomensgarantie voor ouderen,2015,162,4855,0.0333677
Brecht,11009,Nee,Personen met inkomensgarantie voor ouderen,2016,155,5027,0.0308335
Brecht,11009,Nee,Personen met inkomensgarantie voor ouderen,2017,142,5186,0.0273814
Brecht,11009,Nee,Personen met inkomensgarantie voor ouderen,2018,145,5402,0.0268419
Brecht,11009,Nee,Personen met inkomensgarantie voor ouderen,2019,142,5613,0.0252984
Brecht,11009,Nee,Personen met inkomensgarantie voor ouderen,2020,145,5764,0.0251561
Brecht,11009,Nee,Personen met inkomensgarantie voor ouderen,2021,143,5940,0.0240741
Brecht,11009,Nee,Personen met inkomensgarantie voor ouderen,2022,141,6135,0.0229829
Edegem,11013,Nee,Personen met inkomensgarantie voor ouderen,2002,86,4479,0.0192007
Edegem,11013,Nee,Personen met inkomensgarantie voor ouderen,2003,87,4491,0.0193721
Edegem,11013,Nee,Personen met inkomensgarantie voor ouderen,2004,82,4606,0.0178029
Edegem,11013,Nee,Personen met inkomensgarantie voor ouderen,2005,84,4698,0.0178799
Edegem,11013,Nee,Personen met inkomensgarantie voor ouderen,2006,81,4694,0.0172561
Edegem,11013,Nee,Personen met inkomensgarantie voor ouderen,2007,79,4704,0.0167942
Edegem,11013,Nee,Personen met inkomensgarantie voor ouderen,2008,78,4720,0.0165254
Edegem,11013,Nee,Personen met inkomensgarantie voor ouderen,2009,94,4751,0.0197853
Edegem,11013,Nee,Personen met inkomensgarantie voor ouderen,2010,100,4844,0.0206441
Edegem,11013,Nee,Personen met inkomensgarantie voor ouderen,2011,110,4869,0.0225919
Edegem,11013,Nee,Personen met inkomensgarantie voor ouderen,2012,115,4912,0.0234121
Edegem,11013,Nee,Personen met inkomensgarantie voor ouderen,2013,125,4998,0.02501
Edegem,11013,Nee,Personen met inkomensgarantie voor ouderen,2014,140,5039,0.0277833
Edegem,11013,Nee,Personen met inkomensgarantie voor ouderen,2015,140,5079,0.0275645
Edegem,11013,Nee,Personen met inkomensgarantie voor ouderen,2016,136,5128,0.0265211
Edegem,11013,Nee,Personen met inkomensgarantie voor ouderen,2017,135,5217,0.0258769
Edegem,11013,Nee,Personen met inkomensgarantie voor ouderen,2018,143,5204,0.0274789
Edegem,11013,Nee,Personen met inkomensgarantie voor ouderen,2019,146,5262,0.0277461
Edegem,11013,Nee,Personen met inkomensgarantie voor ouderen,2020,143,5323,0.0268646
Edegem,11013,Nee,Personen met inkomensgarantie voor ouderen,2021,144,5329,0.027022
Edegem,11013,Nee,Personen met inkomensgarantie voor ouderen,2022,134,5448,0.0245962
Essen,11016,Nee,Personen met inkomensgarantie voor ouderen,2002,84,2243,0.0374498
Essen,11016,Nee,Personen met inkomensgarantie voor ouderen,2003,82,2310,0.0354978
Essen,11016,Nee,Personen met inkomensgarantie voor ouderen,2004,76,2371,0.032054
Essen,11016,Nee,Personen met inkomensgarantie voor ouderen,2005,71,2432,0.0291941
Essen,11016,Nee,Personen met inkomensgarantie voor ouderen,2006,69,2493,0.0276775
Essen,11016,Nee,Personen met inkomensgarantie voor ouderen,2007,65,2502,0.0259792
Essen,11016,Nee,Personen met inkomensgarantie voor ouderen,2008,66,2589,0.0254925
Essen,11016,Nee,Personen met inkomensgarantie voor ouderen,2009,65,2663,0.0244086
Essen,11016,Nee,Personen met inkomensgarantie voor ouderen,2010,61,2720,0.0224265
Essen,11016,Nee,Personen met inkomensgarantie voor ouderen,2011,80,2815,0.0284192
Essen,11016,Nee,Personen met inkomensgarantie voor ouderen,2012,82,2932,0.0279673
Essen,11016,Nee,Personen met inkomensgarantie voor ouderen,2013,90,2990,0.0301003
Essen,11016,Nee,Personen met inkomensgarantie voor ouderen,2014,98,3110,0.0315113
Essen,11016,Nee,Personen met inkomensgarantie voor ouderen,2015,96,3209,0.0299159
Essen,11016,Nee,Personen met inkomensgarantie voor ouderen,2016,86,3301,0.0260527
Essen,11016,Nee,Personen met inkomensgarantie voor ouderen,2017,87,3379,0.0257473
Essen,11016,Nee,Personen met inkomensgarantie voor ouderen,2018,82,3447,0.0237888
Essen,11016,Nee,Personen met inkomensgarantie voor ouderen,2019,86,3510,0.0245014
Essen,11016,Nee,Personen met inkomensgarantie voor ouderen,2020,93,3631,0.0256128
Essen,11016,Nee,Personen met inkomensgarantie voor ouderen,2021,94,3750,0.0250667
Essen,11016,Nee,Personen met inkomensgarantie voor ouderen,2022,91,3852,0.0236241
Hemiksem,11018,Nee,Personen met inkomensgarantie voor ouderen,2002,33,1740,0.0189655
Hemiksem,11018,Nee,Personen met inkomensgarantie voor ouderen,2003,35,1723,0.0203134
Hemiksem,11018,Nee,Personen met inkomensgarantie voor ouderen,2004,35,1749,0.0200114
Hemiksem,11018,Nee,Personen met inkomensgarantie voor ouderen,2005,31,1770,0.0175141
Hemiksem,11018,Nee,Personen met inkomensgarantie voor ouderen,2006,34,1773,0.0191765
Hemiksem,11018,Nee,Personen met inkomensgarantie voor ouderen,2007,42,1764,0.0238095
Hemiksem,11018,Nee,Personen met inkomensgarantie voor ouderen,2008,51,1739,0.0293272
Hemiksem,11018,Nee,Personen met inkomensgarantie voor ouderen,2009,55,1732,0.0317552
Hemiksem,11018,Nee,Personen met inkomensgarantie voor ouderen,2010,50,1749,0.0285878
Hemiksem,11018,Nee,Personen met inkomensgarantie voor ouderen,2011,53,1754,0.0302166
Hemiksem,11018,Nee,Personen met inkomensgarantie voor ouderen,2012,55,1827,0.030104
Hemiksem,11018,Nee,Personen met inkomensgarantie voor ouderen,2013,60,1865,0.0321716
Hemiksem,11018,Nee,Personen met inkomensgarantie voor ouderen,2014,57,1885,0.0302387
Hemiksem,11018,Nee,Personen met inkomensgarantie voor ouderen,2015,56,1927,0.0290607
Hemiksem,11018,Nee,Personen met inkomensgarantie voor ouderen,2016,46,1949,0.0236018
Hemiksem,11018,Nee,Personen met inkomensgarantie voor ouderen,2017,40,1961,0.0203978
Hemiksem,11018,Nee,Personen met inkomensgarantie voor ouderen,2018,38,1948,0.0195072
Hemiksem,11018,Nee,Personen met inkomensgarantie voor ouderen,2019,41,1948,0.0210472
Hemiksem,11018,Nee,Personen met inkomensgarantie voor ouderen,2020,39,1990,0.019598
Hemiksem,11018,Nee,Personen met inkomensgarantie voor ouderen,2021,40,2004,0.0199601
Hemiksem,11018,Nee,Personen met inkomensgarantie voor ouderen,2022,38,2044,0.018591
Hove,11021,Nee,Personen met inkomensgarantie voor ouderen,2002,25,1384,0.0180636
Hove,11021,Nee,Personen met inkomensgarantie voor ouderen,2003,20,1407,0.0142146
Hove,11021,Nee,Personen met inkomensgarantie voor ouderen,2004,19,1448,0.0131215
Hove,11021,Nee,Personen met inkomensgarantie voor ouderen,2005,20,1481,0.0135044
Hove,11021,Nee,Personen met inkomensgarantie voor ouderen,2006,18,1510,0.0119205
Hove,11021,Nee,Personen met inkomensgarantie voor ouderen,2007,21,1547,0.0135747
Hove,11021,Nee,Personen met inkomensgarantie voor ouderen,2008,21,1579,0.0132996
Hove,11021,Nee,Personen met inkomensgarantie voor ouderen,2009,30,1598,0.0187735
Hove,11021,Nee,Personen met inkomensgarantie voor ouderen,2010,28,1603,0.0174672
Hove,11021,Nee,Personen met inkomensgarantie voor ouderen,2011,31,1649,0.0187993
Hove,11021,Nee,Personen met inkomensgarantie voor ouderen,2012,31,1680,0.0184524
Hove,11021,Nee,Personen met inkomensgarantie voor ouderen,2013,34,1720,0.0197674
Hove,11021,Nee,Personen met inkomensgarantie voor ouderen,2014,36,1749,0.0205832
Hove,11021,Nee,Personen met inkomensgarantie voor ouderen,2015,35,1786,0.0195969
Hove,11021,Nee,Personen met inkomensgarantie voor ouderen,2016,36,1839,0.0195759
Hove,11021,Nee,Personen met inkomensgarantie voor ouderen,2017,33,1884,0.0175159
Hove,11021,Nee,Personen met inkomensgarantie voor ouderen,2018,33,1921,0.0171786
Hove,11021,Nee,Personen met inkomensgarantie voor ouderen,2019,38,1928,0.0197095
Hove,11021,Nee,Personen met inkomensgarantie voor ouderen,2020,33,1978,0.0166835
Hove,11021,Nee,Personen met inkomensgarantie voor ouderen,2021,31,2041,0.0151886
Hove,11021,Nee,Personen met inkomensgarantie voor ouderen,2022,33,2096,0.0157443
Kalmthout,11022,Nee,Personen met inkomensgarantie voor ouderen,2002,79,2750,0.0287273
Kalmthout,11022,Nee,Personen met inkomensgarantie voor ouderen,2003,77,2766,0.027838
Kalmthout,11022,Nee,Personen met inkomensgarantie voor ouderen,2004,76,2796,0.0271817
Kalmthout,11022,Nee,Personen met inkomensgarantie voor ouderen,2005,70,2851,0.0245528
Kalmthout,11022,Nee,Personen met inkomensgarantie voor ouderen,2006,69,2914,0.0236788
Kalmthout,11022,Nee,Personen met inkomensgarantie voor ouderen,2007,70,2946,0.023761
Kalmthout,11022,Nee,Personen met inkomensgarantie voor ouderen,2008,69,3006,0.0229541
Kalmthout,11022,Nee,Personen met inkomensgarantie voor ouderen,2009,68,3082,0.0220636
Kalmthout,11022,Nee,Personen met inkomensgarantie voor ouderen,2010,65,3156,0.0205957
Kalmthout,11022,Nee,Personen met inkomensgarantie voor ouderen,2011,74,3234,0.0228819
Kalmthout,11022,Nee,Personen met inkomensgarantie voor ouderen,2012,75,3370,0.0222552
Kalmthout,11022,Nee,Personen met inkomensgarantie voor ouderen,2013,88,3459,0.0254409
Kalmthout,11022,Nee,Personen met inkomensgarantie voor ouderen,2014,89,3518,0.0252985
Kalmthout,11022,Nee,Personen met inkomensgarantie voor ouderen,2015,86,3628,0.0237045
Kalmthout,11022,Nee,Personen met inkomensgarantie voor ouderen,2016,85,3732,0.022776
Kalmthout,11022,Nee,Personen met inkomensgarantie voor ouderen,2017,78,3845,0.0202861
Kalmthout,11022,Nee,Personen met inkomensgarantie voor ouderen,2018,81,3974,0.0203825
Kalmthout,11022,Nee,Personen met inkomensgarantie voor ouderen,2019,91,4079,0.0223094
Kalmthout,11022,Nee,Personen met inkomensgarantie voor ouderen,2020,98,4222,0.0232117
Kalmthout,11022,Nee,Personen met inkomensgarantie voor ouderen,2021,101,4314,0.0234121
Kalmthout,11022,Nee,Personen met inkomensgarantie voor ouderen,2022,96,4393,0.0218529
Kapellen,11023,Nee,Personen met inkomensgarantie voor ouderen,2002,114,4565,0.0249726
Kapellen,11023,Nee,Personen met inkomensgarantie voor ouderen,2003,116,4666,0.0248607
Kapellen,11023,Nee,Personen met inkomensgarantie voor ouderen,2004,116,4767,0.024334
Kapellen,11023,Nee,Personen met inkomensgarantie voor ouderen,2005,111,4853,0.0228725
Kapellen,11023,Nee,Personen met inkomensgarantie voor ouderen,2006,101,4962,0.0203547
Kapellen,11023,Nee,Personen met inkomensgarantie voor ouderen,2007,96,5040,0.0190476
Kapellen,11023,Nee,Personen met inkomensgarantie voor ouderen,2008,95,5164,0.0183966
Kapellen,11023,Nee,Personen met inkomensgarantie voor ouderen,2009,97,5310,0.0182674
Kapellen,11023,Nee,Personen met inkomensgarantie voor ouderen,2010,100,5492,0.0182083
Kapellen,11023,Nee,Personen met inkomensgarantie voor ouderen,2011,101,5572,0.0181263
Kapellen,11023,Nee,Personen met inkomensgarantie voor ouderen,2012,106,5729,0.0185024
Kapellen,11023,Nee,Personen met inkomensgarantie voor ouderen,2013,118,5815,0.0202923
Kapellen,11023,Nee,Personen met inkomensgarantie voor ouderen,2014,135,5918,0.0228118
Kapellen,11023,Nee,Personen met inkomensgarantie voor ouderen,2015,124,6001,0.0206632
Kapellen,11023,Nee,Personen met inkomensgarantie voor ouderen,2016,118,6049,0.0195074
Kapellen,11023,Nee,Personen met inkomensgarantie voor ouderen,2017,109,6080,0.0179276
Kapellen,11023,Nee,Personen met inkomensgarantie voor ouderen,2018,115,6135,0.0187449
Kapellen,11023,Nee,Personen met inkomensgarantie voor ouderen,2019,119,6255,0.0190248
Kapellen,11023,Nee,Personen met inkomensgarantie voor ouderen,2020,118,6342,0.0186061
Kapellen,11023,Nee,Personen met inkomensgarantie voor ouderen,2021,112,6394,0.0175164
Kapellen,11023,Nee,Personen met inkomensgarantie voor ouderen,2022,103,6563,0.015694
Kontich,11024,Nee,Personen met inkomensgarantie voor ouderen,2002,99,3023,0.0327489
Kontich,11024,Nee,Personen met inkomensgarantie voor ouderen,2003,96,3129,0.0306807
Kontich,11024,Nee,Personen met inkomensgarantie voor ouderen,2004,94,3235,0.0290572
Kontich,11024,Nee,Personen met inkomensgarantie voor ouderen,2005,92,3331,0.0276193
Kontich,11024,Nee,Personen met inkomensgarantie voor ouderen,2006,86,3409,0.0252273
