Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,"Aantal leerlingenkenmerken waaraan leerlingen van gewoon lager onderwijs voldoen, gesommeerd over alle leerlingen, naar woonplaats","Aantal leerlingen van gewoon lager onderwijs, naar woonplaats",OKI
Borsbeek,11007,Nee,Onderwijskansarmoede-indicator (OKI),2013,409,561,0.729055
Borsbeek,11007,Nee,Onderwijskansarmoede-indicator (OKI),2014,439,590,0.744068
Borsbeek,11007,Nee,Onderwijskansarmoede-indicator (OKI),2015,413,580,0.712069
Borsbeek,11007,Nee,Onderwijskansarmoede-indicator (OKI),2016,496,634,0.782334
Borsbeek,11007,Nee,Onderwijskansarmoede-indicator (OKI),2017,544,675,0.805926
Borsbeek,11007,Nee,Onderwijskansarmoede-indicator (OKI),2018,567,688,0.824128
Borsbeek,11007,Nee,Onderwijskansarmoede-indicator (OKI),2019,911,722,1.26177
Borsbeek,11007,Nee,Onderwijskansarmoede-indicator (OKI),2020,1080,776,1.39175
Borsbeek,11007,Nee,Onderwijskansarmoede-indicator (OKI),2021,1163,814,1.42875
Brasschaat,11008,Nee,Onderwijskansarmoede-indicator (OKI),2009,972,2167,0.448546
Brasschaat,11008,Nee,Onderwijskansarmoede-indicator (OKI),2010,909,2086,0.435762
Brasschaat,11008,Nee,Onderwijskansarmoede-indicator (OKI),2011,754,2059,0.366197
Brasschaat,11008,Nee,Onderwijskansarmoede-indicator (OKI),2012,712,2058,0.345967
Brasschaat,11008,Nee,Onderwijskansarmoede-indicator (OKI),2013,668,2006,0.333001
Brasschaat,11008,Nee,Onderwijskansarmoede-indicator (OKI),2014,714,2050,0.348293
Brasschaat,11008,Nee,Onderwijskansarmoede-indicator (OKI),2015,764,2087,0.366076
Brasschaat,11008,Nee,Onderwijskansarmoede-indicator (OKI),2016,806,2120,0.380189
Brasschaat,11008,Nee,Onderwijskansarmoede-indicator (OKI),2017,808,2157,0.374594
Brasschaat,11008,Nee,Onderwijskansarmoede-indicator (OKI),2018,901,2222,0.405491
Brasschaat,11008,Nee,Onderwijskansarmoede-indicator (OKI),2019,946,2267,0.417292
Brasschaat,11008,Nee,Onderwijskansarmoede-indicator (OKI),2020,1276,2296,0.555749
Brasschaat,11008,Nee,Onderwijskansarmoede-indicator (OKI),2021,1266,2304,0.549479
Brecht,11009,Nee,Onderwijskansarmoede-indicator (OKI),2009,609,1816,0.335352
Brecht,11009,Nee,Onderwijskansarmoede-indicator (OKI),2010,689,1799,0.382991
Brecht,11009,Nee,Onderwijskansarmoede-indicator (OKI),2011,571,1786,0.319709
Brecht,11009,Nee,Onderwijskansarmoede-indicator (OKI),2012,508,1736,0.292627
Brecht,11009,Nee,Onderwijskansarmoede-indicator (OKI),2013,478,1677,0.285033
Brecht,11009,Nee,Onderwijskansarmoede-indicator (OKI),2014,503,1723,0.291933
Brecht,11009,Nee,Onderwijskansarmoede-indicator (OKI),2015,532,1702,0.312573
Brecht,11009,Nee,Onderwijskansarmoede-indicator (OKI),2016,547,1685,0.324629
Brecht,11009,Nee,Onderwijskansarmoede-indicator (OKI),2017,518,1724,0.300464
Brecht,11009,Nee,Onderwijskansarmoede-indicator (OKI),2018,539,1735,0.310663
Brecht,11009,Nee,Onderwijskansarmoede-indicator (OKI),2019,561,1714,0.327305
Brecht,11009,Nee,Onderwijskansarmoede-indicator (OKI),2020,767,1696,0.452241
Brecht,11009,Nee,Onderwijskansarmoede-indicator (OKI),2021,816,1712,0.476636
Edegem,11013,Nee,Onderwijskansarmoede-indicator (OKI),2009,752,1118,0.67263
Edegem,11013,Nee,Onderwijskansarmoede-indicator (OKI),2010,547,1104,0.495471
Edegem,11013,Nee,Onderwijskansarmoede-indicator (OKI),2011,443,1056,0.419508
Edegem,11013,Nee,Onderwijskansarmoede-indicator (OKI),2012,449,1038,0.432563
Edegem,11013,Nee,Onderwijskansarmoede-indicator (OKI),2013,484,1077,0.449396
Edegem,11013,Nee,Onderwijskansarmoede-indicator (OKI),2014,673,1122,0.599822
Edegem,11013,Nee,Onderwijskansarmoede-indicator (OKI),2015,714,1168,0.611301
Edegem,11013,Nee,Onderwijskansarmoede-indicator (OKI),2016,722,1201,0.601166
Edegem,11013,Nee,Onderwijskansarmoede-indicator (OKI),2017,720,1266,0.56872
Edegem,11013,Nee,Onderwijskansarmoede-indicator (OKI),2018,848,1321,0.641938
Edegem,11013,Nee,Onderwijskansarmoede-indicator (OKI),2019,901,1412,0.638102
Edegem,11013,Nee,Onderwijskansarmoede-indicator (OKI),2020,1152,1474,0.781547
Edegem,11013,Nee,Onderwijskansarmoede-indicator (OKI),2021,1174,1495,0.785284
Essen,11016,Nee,Onderwijskansarmoede-indicator (OKI),2009,525,1156,0.454152
Essen,11016,Nee,Onderwijskansarmoede-indicator (OKI),2010,566,1171,0.483348
Essen,11016,Nee,Onderwijskansarmoede-indicator (OKI),2011,547,1134,0.482363
Essen,11016,Nee,Onderwijskansarmoede-indicator (OKI),2012,446,1110,0.401802
Essen,11016,Nee,Onderwijskansarmoede-indicator (OKI),2013,402,1102,0.364791
Essen,11016,Nee,Onderwijskansarmoede-indicator (OKI),2014,489,1112,0.439748
Essen,11016,Nee,Onderwijskansarmoede-indicator (OKI),2015,459,1137,0.403694
Essen,11016,Nee,Onderwijskansarmoede-indicator (OKI),2016,507,1164,0.435567
Essen,11016,Nee,Onderwijskansarmoede-indicator (OKI),2017,524,1214,0.431631
Essen,11016,Nee,Onderwijskansarmoede-indicator (OKI),2018,595,1261,0.471848
Essen,11016,Nee,Onderwijskansarmoede-indicator (OKI),2019,640,1263,0.50673
Essen,11016,Nee,Onderwijskansarmoede-indicator (OKI),2020,828,1322,0.626324
Essen,11016,Nee,Onderwijskansarmoede-indicator (OKI),2021,828,1324,0.625378
Hemiksem,11018,Nee,Onderwijskansarmoede-indicator (OKI),2009,658,616,1.06818
Hemiksem,11018,Nee,Onderwijskansarmoede-indicator (OKI),2010,579,636,0.910377
Hemiksem,11018,Nee,Onderwijskansarmoede-indicator (OKI),2011,483,681,0.709251
Hemiksem,11018,Nee,Onderwijskansarmoede-indicator (OKI),2012,446,671,0.66468
Hemiksem,11018,Nee,Onderwijskansarmoede-indicator (OKI),2013,532,732,0.726776
Hemiksem,11018,Nee,Onderwijskansarmoede-indicator (OKI),2014,571,764,0.747382
Hemiksem,11018,Nee,Onderwijskansarmoede-indicator (OKI),2015,664,811,0.818742
Hemiksem,11018,Nee,Onderwijskansarmoede-indicator (OKI),2016,704,830,0.848193
Hemiksem,11018,Nee,Onderwijskansarmoede-indicator (OKI),2017,777,866,0.897229
Hemiksem,11018,Nee,Onderwijskansarmoede-indicator (OKI),2018,878,918,0.956427
Hemiksem,11018,Nee,Onderwijskansarmoede-indicator (OKI),2019,773,910,0.849451
Hemiksem,11018,Nee,Onderwijskansarmoede-indicator (OKI),2020,825,918,0.898693
Hemiksem,11018,Nee,Onderwijskansarmoede-indicator (OKI),2021,841,906,0.928256
Hove,11021,Nee,Onderwijskansarmoede-indicator (OKI),2009,109,535,0.203738
Hove,11021,Nee,Onderwijskansarmoede-indicator (OKI),2010,120,531,0.225989
Hove,11021,Nee,Onderwijskansarmoede-indicator (OKI),2011,111,500,0.222
Hove,11021,Nee,Onderwijskansarmoede-indicator (OKI),2012,112,497,0.225352
Hove,11021,Nee,Onderwijskansarmoede-indicator (OKI),2013,121,494,0.244939
Hove,11021,Nee,Onderwijskansarmoede-indicator (OKI),2014,105,511,0.205479
Hove,11021,Nee,Onderwijskansarmoede-indicator (OKI),2015,109,521,0.209213
Hove,11021,Nee,Onderwijskansarmoede-indicator (OKI),2016,138,540,0.255556
Hove,11021,Nee,Onderwijskansarmoede-indicator (OKI),2017,132,549,0.240437
Hove,11021,Nee,Onderwijskansarmoede-indicator (OKI),2018,136,550,0.247273
Hove,11021,Nee,Onderwijskansarmoede-indicator (OKI),2019,144,548,0.262774
Hove,11021,Nee,Onderwijskansarmoede-indicator (OKI),2020,202,560,0.360714
Hove,11021,Nee,Onderwijskansarmoede-indicator (OKI),2021,224,576,0.388889
Kalmthout,11022,Nee,Onderwijskansarmoede-indicator (OKI),2009,468,1211,0.386457
Kalmthout,11022,Nee,Onderwijskansarmoede-indicator (OKI),2010,448,1171,0.382579
Kalmthout,11022,Nee,Onderwijskansarmoede-indicator (OKI),2011,408,1133,0.360106
Kalmthout,11022,Nee,Onderwijskansarmoede-indicator (OKI),2012,336,1138,0.295255
Kalmthout,11022,Nee,Onderwijskansarmoede-indicator (OKI),2013,388,1159,0.334771
Kalmthout,11022,Nee,Onderwijskansarmoede-indicator (OKI),2014,369,1144,0.322552
Kalmthout,11022,Nee,Onderwijskansarmoede-indicator (OKI),2015,361,1142,0.316112
Kalmthout,11022,Nee,Onderwijskansarmoede-indicator (OKI),2016,425,1206,0.352405
Kalmthout,11022,Nee,Onderwijskansarmoede-indicator (OKI),2017,418,1209,0.34574
Kalmthout,11022,Nee,Onderwijskansarmoede-indicator (OKI),2018,404,1203,0.335827
Kalmthout,11022,Nee,Onderwijskansarmoede-indicator (OKI),2019,397,1211,0.327828
Kalmthout,11022,Nee,Onderwijskansarmoede-indicator (OKI),2020,570,1218,0.46798
Kalmthout,11022,Nee,Onderwijskansarmoede-indicator (OKI),2021,532,1250,0.4256
Kapellen,11023,Nee,Onderwijskansarmoede-indicator (OKI),2009,919,1634,0.562424
Kapellen,11023,Nee,Onderwijskansarmoede-indicator (OKI),2010,763,1596,0.47807
Kapellen,11023,Nee,Onderwijskansarmoede-indicator (OKI),2011,719,1498,0.479973
Kapellen,11023,Nee,Onderwijskansarmoede-indicator (OKI),2012,631,1533,0.411611
Kapellen,11023,Nee,Onderwijskansarmoede-indicator (OKI),2013,667,1538,0.43368
Kapellen,11023,Nee,Onderwijskansarmoede-indicator (OKI),2014,744,1558,0.477535
Kapellen,11023,Nee,Onderwijskansarmoede-indicator (OKI),2015,528,1568,0.336735
Kapellen,11023,Nee,Onderwijskansarmoede-indicator (OKI),2016,566,1633,0.346601
Kapellen,11023,Nee,Onderwijskansarmoede-indicator (OKI),2017,523,1656,0.315821
Kapellen,11023,Nee,Onderwijskansarmoede-indicator (OKI),2018,625,1625,0.384615
Kapellen,11023,Nee,Onderwijskansarmoede-indicator (OKI),2019,696,1704,0.408451
Kapellen,11023,Nee,Onderwijskansarmoede-indicator (OKI),2020,918,1693,0.542233
Kapellen,11023,Nee,Onderwijskansarmoede-indicator (OKI),2021,903,1688,0.534953
Kontich,11024,Nee,Onderwijskansarmoede-indicator (OKI),2009,460,1374,0.334789
Kontich,11024,Nee,Onderwijskansarmoede-indicator (OKI),2010,450,1364,0.329912
Kontich,11024,Nee,Onderwijskansarmoede-indicator (OKI),2011,460,1323,0.347695
Kontich,11024,Nee,Onderwijskansarmoede-indicator (OKI),2012,438,1319,0.33207
Kontich,11024,Nee,Onderwijskansarmoede-indicator (OKI),2013,493,1307,0.3772
Kontich,11024,Nee,Onderwijskansarmoede-indicator (OKI),2014,446,1318,0.338392
Kontich,11024,Nee,Onderwijskansarmoede-indicator (OKI),2015,480,1294,0.370943
Kontich,11024,Nee,Onderwijskansarmoede-indicator (OKI),2016,501,1320,0.379545
Kontich,11024,Nee,Onderwijskansarmoede-indicator (OKI),2017,469,1333,0.351838
Kontich,11024,Nee,Onderwijskansarmoede-indicator (OKI),2018,507,1365,0.371429
Kontich,11024,Nee,Onderwijskansarmoede-indicator (OKI),2019,560,1394,0.401722
Kontich,11024,Nee,Onderwijskansarmoede-indicator (OKI),2020,680,1349,0.504077
Kontich,11024,Nee,Onderwijskansarmoede-indicator (OKI),2021,672,1359,0.494481
Lint,11025,Nee,Onderwijskansarmoede-indicator (OKI),2009,176,545,0.322936
Lint,11025,Nee,Onderwijskansarmoede-indicator (OKI),2010,166,535,0.31028
Lint,11025,Nee,Onderwijskansarmoede-indicator (OKI),2011,186,557,0.333932
Lint,11025,Nee,Onderwijskansarmoede-indicator (OKI),2012,158,556,0.284173
Lint,11025,Nee,Onderwijskansarmoede-indicator (OKI),2013,157,561,0.279857
Lint,11025,Nee,Onderwijskansarmoede-indicator (OKI),2014,197,587,0.335605
Lint,11025,Nee,Onderwijskansarmoede-indicator (OKI),2015,226,612,0.369281
Lint,11025,Nee,Onderwijskansarmoede-indicator (OKI),2016,212,588,0.360544
Lint,11025,Nee,Onderwijskansarmoede-indicator (OKI),2017,228,611,0.373159
Lint,11025,Nee,Onderwijskansarmoede-indicator (OKI),2018,269,630,0.426984
Lint,11025,Nee,Onderwijskansarmoede-indicator (OKI),2019,223,591,0.377327
Lint,11025,Nee,Onderwijskansarmoede-indicator (OKI),2020,310,597,0.519263
Lint,11025,Nee,Onderwijskansarmoede-indicator (OKI),2021,295,589,0.500849
Mortsel,11029,Nee,Onderwijskansarmoede-indicator (OKI),2009,894,1489,0.600403
Mortsel,11029,Nee,Onderwijskansarmoede-indicator (OKI),2010,809,1469,0.550715
Mortsel,11029,Nee,Onderwijskansarmoede-indicator (OKI),2011,885,1499,0.590394
Mortsel,11029,Nee,Onderwijskansarmoede-indicator (OKI),2012,967,1539,0.62833
Mortsel,11029,Nee,Onderwijskansarmoede-indicator (OKI),2013,987,1568,0.629464
Mortsel,11029,Nee,Onderwijskansarmoede-indicator (OKI),2014,1253,1577,0.794547
Mortsel,11029,Nee,Onderwijskansarmoede-indicator (OKI),2015,1256,1614,0.778191
Mortsel,11029,Nee,Onderwijskansarmoede-indicator (OKI),2016,1050,1663,0.631389
Mortsel,11029,Nee,Onderwijskansarmoede-indicator (OKI),2017,1046,1701,0.614932
Mortsel,11029,Nee,Onderwijskansarmoede-indicator (OKI),2018,1330,1693,0.785588
Mortsel,11029,Nee,Onderwijskansarmoede-indicator (OKI),2019,1405,1741,0.807007
Mortsel,11029,Nee,Onderwijskansarmoede-indicator (OKI),2020,1597,1725,0.925797
Mortsel,11029,Nee,Onderwijskansarmoede-indicator (OKI),2021,1542,1715,0.899125
Niel,11030,Nee,Onderwijskansarmoede-indicator (OKI),2009,525,597,0.879397
Niel,11030,Nee,Onderwijskansarmoede-indicator (OKI),2010,540,615,0.878049
Niel,11030,Nee,Onderwijskansarmoede-indicator (OKI),2011,534,603,0.885572
Niel,11030,Nee,Onderwijskansarmoede-indicator (OKI),2012,545,623,0.874799
Niel,11030,Nee,Onderwijskansarmoede-indicator (OKI),2013,468,633,0.739336
Niel,11030,Nee,Onderwijskansarmoede-indicator (OKI),2014,509,667,0.763118
Niel,11030,Nee,Onderwijskansarmoede-indicator (OKI),2015,544,696,0.781609
Niel,11030,Nee,Onderwijskansarmoede-indicator (OKI),2016,593,726,0.816804
Niel,11030,Nee,Onderwijskansarmoede-indicator (OKI),2017,461,750,0.614667
Niel,11030,Nee,Onderwijskansarmoede-indicator (OKI),2018,502,793,0.633039
Niel,11030,Nee,Onderwijskansarmoede-indicator (OKI),2019,516,778,0.663239
Niel,11030,Nee,Onderwijskansarmoede-indicator (OKI),2020,589,792,0.743687
Niel,11030,Nee,Onderwijskansarmoede-indicator (OKI),2021,613,781,0.784891
Ranst,11035,Nee,Onderwijskansarmoede-indicator (OKI),2009,351,1186,0.295953
Ranst,11035,Nee,Onderwijskansarmoede-indicator (OKI),2010,346,1148,0.301394
Ranst,11035,Nee,Onderwijskansarmoede-indicator (OKI),2011,447,1157,0.386344
Ranst,11035,Nee,Onderwijskansarmoede-indicator (OKI),2012,310,1158,0.267703
Ranst,11035,Nee,Onderwijskansarmoede-indicator (OKI),2013,353,1143,0.308836
Ranst,11035,Nee,Onderwijskansarmoede-indicator (OKI),2014,276,1120,0.246429
Ranst,11035,Nee,Onderwijskansarmoede-indicator (OKI),2015,287,1156,0.24827
Ranst,11035,Nee,Onderwijskansarmoede-indicator (OKI),2016,298,1159,0.257118
Ranst,11035,Nee,Onderwijskansarmoede-indicator (OKI),2017,280,1185,0.236287
Ranst,11035,Nee,Onderwijskansarmoede-indicator (OKI),2018,334,1179,0.283291
Ranst,11035,Nee,Onderwijskansarmoede-indicator (OKI),2019,343,1181,0.290432
Ranst,11035,Nee,Onderwijskansarmoede-indicator (OKI),2020,502,1197,0.419382
Ranst,11035,Nee,Onderwijskansarmoede-indicator (OKI),2021,495,1206,0.410448
Rumst,11037,Nee,Onderwijskansarmoede-indicator (OKI),2009,346,923,0.374865
Rumst,11037,Nee,Onderwijskansarmoede-indicator (OKI),2010,376,918,0.409586
Rumst,11037,Nee,Onderwijskansarmoede-indicator (OKI),2011,407,909,0.447745
Rumst,11037,Nee,Onderwijskansarmoede-indicator (OKI),2012,415,917,0.452563
Rumst,11037,Nee,Onderwijskansarmoede-indicator (OKI),2013,331,899,0.368187
Rumst,11037,Nee,Onderwijskansarmoede-indicator (OKI),2014,349,921,0.378936
Rumst,11037,Nee,Onderwijskansarmoede-indicator (OKI),2015,382,947,0.403379
Rumst,11037,Nee,Onderwijskansarmoede-indicator (OKI),2016,404,978,0.413088
Rumst,11037,Nee,Onderwijskansarmoede-indicator (OKI),2017,414,1017,0.40708
Rumst,11037,Nee,Onderwijskansarmoede-indicator (OKI),2018,447,1023,0.43695
Rumst,11037,Nee,Onderwijskansarmoede-indicator (OKI),2019,444,1021,0.434868
Rumst,11037,Nee,Onderwijskansarmoede-indicator (OKI),2020,577,1028,0.561284
Rumst,11037,Nee,Onderwijskansarmoede-indicator (OKI),2021,564,997,0.565697
Schelle,11038,Nee,Onderwijskansarmoede-indicator (OKI),2009,287,549,0.522769
Schelle,11038,Nee,Onderwijskansarmoede-indicator (OKI),2010,220,536,0.410448
Schelle,11038,Nee,Onderwijskansarmoede-indicator (OKI),2011,188,522,0.360153
Schelle,11038,Nee,Onderwijskansarmoede-indicator (OKI),2012,189,520,0.363462
Schelle,11038,Nee,Onderwijskansarmoede-indicator (OKI),2013,180,504,0.357143
Schelle,11038,Nee,Onderwijskansarmoede-indicator (OKI),2014,202,553,0.36528
Schelle,11038,Nee,Onderwijskansarmoede-indicator (OKI),2015,208,568,0.366197
Schelle,11038,Nee,Onderwijskansarmoede-indicator (OKI),2016,212,580,0.365517
Schelle,11038,Nee,Onderwijskansarmoede-indicator (OKI),2017,223,592,0.376689
Schelle,11038,Nee,Onderwijskansarmoede-indicator (OKI),2018,233,571,0.408056
Schelle,11038,Nee,Onderwijskansarmoede-indicator (OKI),2019,360,567,0.634921
Schelle,11038,Nee,Onderwijskansarmoede-indicator (OKI),2020,326,538,0.605948
Schelle,11038,Nee,Onderwijskansarmoede-indicator (OKI),2021,336,546,0.615385
Schilde,11039,Nee,Onderwijskansarmoede-indicator (OKI),2009,447,1205,0.370954
Schilde,11039,Nee,Onderwijskansarmoede-indicator (OKI),2010,401,1195,0.335565
Schilde,11039,Nee,Onderwijskansarmoede-indicator (OKI),2011,280,1144,0.244755
Schilde,11039,Nee,Onderwijskansarmoede-indicator (OKI),2012,210,1094,0.191956
Schilde,11039,Nee,Onderwijskansarmoede-indicator (OKI),2013,217,1114,0.194794
Schilde,11039,Nee,Onderwijskansarmoede-indicator (OKI),2014,248,1103,0.224841
Schilde,11039,Nee,Onderwijskansarmoede-indicator (OKI),2015,226,1134,0.199295
Schilde,11039,Nee,Onderwijskansarmoede-indicator (OKI),2016,229,1131,0.202476
Schilde,11039,Nee,Onderwijskansarmoede-indicator (OKI),2017,239,1122,0.213012
Schilde,11039,Nee,Onderwijskansarmoede-indicator (OKI),2018,289,1155,0.250216
Schilde,11039,Nee,Onderwijskansarmoede-indicator (OKI),2019,318,1172,0.271331
Schilde,11039,Nee,Onderwijskansarmoede-indicator (OKI),2020,468,1174,0.398637
Schilde,11039,Nee,Onderwijskansarmoede-indicator (OKI),2021,561,1191,0.471033
Schoten,11040,Nee,Onderwijskansarmoede-indicator (OKI),2009,1298,2120,0.612264
Schoten,11040,Nee,Onderwijskansarmoede-indicator (OKI),2010,1167,2089,0.55864
Schoten,11040,Nee,Onderwijskansarmoede-indicator (OKI),2011,1241,2042,0.607738
Schoten,11040,Nee,Onderwijskansarmoede-indicator (OKI),2012,1231,2022,0.608803
Schoten,11040,Nee,Onderwijskansarmoede-indicator (OKI),2013,1162,1958,0.593463
Schoten,11040,Nee,Onderwijskansarmoede-indicator (OKI),2014,925,1934,0.478283
Schoten,11040,Nee,Onderwijskansarmoede-indicator (OKI),2015,950,1974,0.481256
Schoten,11040,Nee,Onderwijskansarmoede-indicator (OKI),2016,1129,1955,0.577494
Schoten,11040,Nee,Onderwijskansarmoede-indicator (OKI),2017,1152,2023,0.569451
Schoten,11040,Nee,Onderwijskansarmoede-indicator (OKI),2018,1076,2103,0.51165
Schoten,11040,Nee,Onderwijskansarmoede-indicator (OKI),2019,1322,2132,0.620075
Schoten,11040,Nee,Onderwijskansarmoede-indicator (OKI),2020,1504,2143,0.70182
Schoten,11040,Nee,Onderwijskansarmoede-indicator (OKI),2021,1597,2116,0.754726
Stabroek,11044,Nee,Onderwijskansarmoede-indicator (OKI),2009,762,1138,0.669596
Stabroek,11044,Nee,Onderwijskansarmoede-indicator (OKI),2010,481,1094,0.439671
Stabroek,11044,Nee,Onderwijskansarmoede-indicator (OKI),2011,582,1102,0.528131
