Gemeente,NIS-code,Centrumstad?,Indicator,Item,Jaar,Aantal actieve budgetmeters elektriciteit en aardgas,Aantal toegangspunten elektricteit en aardgas,Verhouding per 1000 toegangspunten
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,18,3539,5.08618
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,18,5320,3.38346
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,18,8905,2.02134
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,18,9915,1.81543
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,18,14420,1.24827
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,18,14865,1.2109
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,18,14927,1.20587
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,18,15413,1.16785
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,18,15524,1.15949
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,18,16144,1.11497
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,18,17583,1.02372
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,18,19196,0.937695
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,18,29005,0.620583
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,61,532,114.662
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,61,3539,17.2365
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,61,5320,11.4662
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,61,8905,6.85008
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,61,9915,6.15229
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,61,14420,4.23024
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,61,14865,4.1036
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,61,14927,4.08655
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,61,15413,3.9577
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,61,15524,3.9294
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,61,16144,3.77849
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,61,17583,3.46926
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,61,19196,3.17775
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,61,29005,2.10309
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,104,532,195.489
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,104,3539,29.3868
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,104,5320,19.5489
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,104,8905,11.6788
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,104,9915,10.4892
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,104,14420,7.21221
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,104,14865,6.9963
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,104,14927,6.96724
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,104,15413,6.74755
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,104,15524,6.6993
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,104,16144,6.44202
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,104,17583,5.9148
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,104,19196,5.4178
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,104,29005,3.58559
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,161,532,302.632
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,161,3539,45.4931
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,161,5320,30.2632
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,161,8905,18.0797
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,161,9915,16.238
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,161,14420,11.165
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,161,14865,10.8308
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,161,14927,10.7858
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,161,15413,10.4457
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,161,15524,10.371
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,161,16144,9.97275
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,161,17583,9.15657
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,161,19196,8.38716
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,161,29005,5.55077
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,196,532,368.421
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,196,3539,55.3829
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,196,5320,36.8421
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,196,8905,22.0101
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,196,9915,19.768
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,196,14420,13.5922
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,196,14865,13.1853
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,196,14927,13.1306
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,196,15413,12.7165
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,196,15524,12.6256
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,196,16144,12.1407
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,196,17583,11.1471
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,196,19196,10.2105
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,196,29005,6.75746
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,201,532,377.82
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,201,3539,56.7957
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,201,5320,37.782
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,201,8905,22.5716
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,201,9915,20.2723
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,201,14420,13.939
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,201,14865,13.5217
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,201,14927,13.4655
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,201,15413,13.0409
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,201,15524,12.9477
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,201,16144,12.4504
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,201,17583,11.4315
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,201,19196,10.4709
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,201,29005,6.92984
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,230,532,432.331
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,230,3539,64.9901
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,230,5320,43.2331
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,230,8905,25.8282
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,230,9915,23.1972
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,230,14420,15.9501
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,230,14865,15.4726
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,230,14927,15.4083
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,230,15413,14.9225
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,230,15524,14.8158
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,230,16144,14.2468
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,230,17583,13.0808
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,230,19196,11.9817
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,230,29005,7.92967
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,266,532,500.0
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,266,3539,75.1625
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,266,5320,50.0
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,266,8905,29.8709
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,266,9915,26.828
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,266,14420,18.4466
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,266,14865,17.8944
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,266,14927,17.8201
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,266,15413,17.2582
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,266,15524,17.1348
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,266,16144,16.4767
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,266,17583,15.1282
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,266,19196,13.8571
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,266,29005,9.17083
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,294,532,552.632
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,294,3539,83.0743
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,294,5320,55.2632
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,294,8905,33.0152
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,294,9915,29.652
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,294,14420,20.3883
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,294,14865,19.778
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,294,14927,19.6959
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,294,15413,19.0748
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,294,15524,18.9384
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,294,16144,18.2111
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,294,17583,16.7207
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,294,19196,15.3157
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,294,29005,10.1362
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,303,532,569.549
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,303,3539,85.6174
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,303,5320,56.9549
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,303,8905,34.0258
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,303,9915,30.5598
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,303,14420,21.0125
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,303,14865,20.3835
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,303,14927,20.2988
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,303,15413,19.6587
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,303,15524,19.5182
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,303,16144,18.7686
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,303,17583,17.2326
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,303,19196,15.7845
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,303,29005,10.4465
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,304,532,571.429
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,304,3539,85.9
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,304,5320,57.1429
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,304,8905,34.1381
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,304,9915,30.6606
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,304,14420,21.0818
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,304,14865,20.4507
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,304,14927,20.3658
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,304,15413,19.7236
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,304,15524,19.5826
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,304,16144,18.8305
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,304,17583,17.2894
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,304,19196,15.8366
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,304,29005,10.481
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,487,532,915.414
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,487,3539,137.609
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,487,5320,91.5414
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,487,8905,54.6884
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,487,9915,49.1175
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,487,14420,33.7725
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,487,14865,32.7615
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,487,14927,32.6254
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,487,15413,31.5967
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,487,15524,31.3708
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,487,16144,30.166
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,487,17583,27.6972
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,487,19196,25.3699
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,487,29005,16.7902
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,612,532,1150.38
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,612,3539,172.93
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,612,5320,115.038
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,612,8905,68.7254
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,612,9915,61.7247
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,612,14420,42.4411
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,612,14865,41.1705
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,612,14927,40.9995
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,612,15413,39.7067
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,612,15524,39.4228
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,612,16144,37.9088
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,612,17583,34.8063
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,612,19196,31.8816
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters aardgas,2021,612,29005,21.0998
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters elektriciteit,2021,73,2475,29.4949
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters elektriciteit,2021,73,4060,17.9803
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters elektriciteit,2021,73,7880,9.26396
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters elektriciteit,2021,73,12013,6.07675
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters elektriciteit,2021,73,12079,6.04355
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters elektriciteit,2021,73,16652,4.38386
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters elektriciteit,2021,73,19108,3.82039
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters elektriciteit,2021,73,19717,3.70239
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters elektriciteit,2021,73,19968,3.65585
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters elektriciteit,2021,73,20040,3.64271
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters elektriciteit,2021,73,21094,3.4607
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters elektriciteit,2021,73,25789,2.83066
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters elektriciteit,2021,73,26878,2.71598
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters elektriciteit,2021,73,36416,2.00461
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters elektriciteit,2021,99,2475,40.0
Antwerpen,11002,Ja,Energie-armoede huishoudens,Budgetmeters elektriciteit,2021,99,4060,24.3842
