Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Geslacht,Type vergoeding,Aantal personen met een inkomensvervangende tegemoetkoming voor personen met een handicap ,Aantal inwoners,Procent
Houthalen-Helchteren,72039,Nee,Personen met inkomensvervangende tegemoetkoming,2020,Mannen,Inkomensverv. tegemoetkoming,17.0,30550,0.000556465
Houthalen-Helchteren,72039,Nee,Personen met inkomensvervangende tegemoetkoming,2020,Mannen,Integratietegemoetkoming,71.0,30550,0.00232406
Houthalen-Helchteren,72039,Nee,Personen met inkomensvervangende tegemoetkoming,2020,Mannen,IVT en IT,127.0,30550,0.00415712
Houthalen-Helchteren,72039,Nee,Personen met inkomensvervangende tegemoetkoming,2020,Vrouwen,Inkomensverv. tegemoetkoming,22.0,30550,0.000720131
Houthalen-Helchteren,72039,Nee,Personen met inkomensvervangende tegemoetkoming,2020,Vrouwen,Integratietegemoetkoming,130.0,30550,0.00425532
Houthalen-Helchteren,72039,Nee,Personen met inkomensvervangende tegemoetkoming,2020,Vrouwen,IVT en IT,108.0,30550,0.00353519
Houthalen-Helchteren,72039,Nee,Personen met inkomensvervangende tegemoetkoming,2021,Totaal,Inkomensverv. tegemoetkoming,35.0,30498,0.00114762
Houthalen-Helchteren,72039,Nee,Personen met inkomensvervangende tegemoetkoming,2021,Totaal,Integratietegemoetkoming,218.0,30498,0.00714801
Houthalen-Helchteren,72039,Nee,Personen met inkomensvervangende tegemoetkoming,2021,Totaal,IVT en IT,232.0,30498,0.00760706
Houthalen-Helchteren,72039,Nee,Personen met inkomensvervangende tegemoetkoming,2021,Mannen,Inkomensverv. tegemoetkoming,17.0,30498,0.000557414
Houthalen-Helchteren,72039,Nee,Personen met inkomensvervangende tegemoetkoming,2021,Mannen,Integratietegemoetkoming,73.0,30498,0.0023936
Houthalen-Helchteren,72039,Nee,Personen met inkomensvervangende tegemoetkoming,2021,Mannen,IVT en IT,124.0,30498,0.00406584
Houthalen-Helchteren,72039,Nee,Personen met inkomensvervangende tegemoetkoming,2021,Vrouwen,Inkomensverv. tegemoetkoming,18.0,30498,0.000590203
Houthalen-Helchteren,72039,Nee,Personen met inkomensvervangende tegemoetkoming,2021,Vrouwen,Integratietegemoetkoming,145.0,30498,0.00475441
Houthalen-Helchteren,72039,Nee,Personen met inkomensvervangende tegemoetkoming,2021,Vrouwen,IVT en IT,108.0,30498,0.00354122
Dilsen-Stokkem,72041,Nee,Personen met inkomensvervangende tegemoetkoming,2010,Totaal,Inkomensverv. tegemoetkoming,21.0,19663,0.001068
Dilsen-Stokkem,72041,Nee,Personen met inkomensvervangende tegemoetkoming,2010,Totaal,Integratietegemoetkoming,122.0,19663,0.00620455
Dilsen-Stokkem,72041,Nee,Personen met inkomensvervangende tegemoetkoming,2010,Totaal,IVT en IT,138.0,19663,0.00701826
