Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Totaal netto belastbaar inkomen (in miljoen euro),Aantal inwoners,"Gemiddeld inkomen (in euro), per inwoner"
Borsbeek,11007,Nee,"Gemiddeld inkomen, per inwoner",2006,162.042,10257,15798.2
Borsbeek,11007,Nee,"Gemiddeld inkomen, per inwoner",2007,166.692,10224,16304.0
Borsbeek,11007,Nee,"Gemiddeld inkomen, per inwoner",2008,173.696,10125,17155.2
Borsbeek,11007,Nee,"Gemiddeld inkomen, per inwoner",2009,177.506,10136,17512.4
Borsbeek,11007,Nee,"Gemiddeld inkomen, per inwoner",2010,176.664,10125,17448.3
Borsbeek,11007,Nee,"Gemiddeld inkomen, per inwoner",2011,181.125,10207,17745.1
Borsbeek,11007,Nee,"Gemiddeld inkomen, per inwoner",2012,186.363,10233,18211.9
Borsbeek,11007,Nee,"Gemiddeld inkomen, per inwoner",2013,189.059,10278,18394.6
Borsbeek,11007,Nee,"Gemiddeld inkomen, per inwoner",2014,196.17,10451,18770.5
Borsbeek,11007,Nee,"Gemiddeld inkomen, per inwoner",2015,201.609,10465,19265.1
Borsbeek,11007,Nee,"Gemiddeld inkomen, per inwoner",2016,197.908,10540,18776.8
Borsbeek,11007,Nee,"Gemiddeld inkomen, per inwoner",2017,201.62,10581,19054.9
Borsbeek,11007,Nee,"Gemiddeld inkomen, per inwoner",2018,204.409,10685,19130.4
Borsbeek,11007,Nee,"Gemiddeld inkomen, per inwoner",2019,208.378,10854,19198.2
Borsbeek,11007,Nee,"Gemiddeld inkomen, per inwoner",2020,214.791,10949,19617.4
Brasschaat,11008,Nee,"Gemiddeld inkomen, per inwoner",1997,458.48,37065,12369.6
Brasschaat,11008,Nee,"Gemiddeld inkomen, per inwoner",1998,472.43,37136,12721.6
Brasschaat,11008,Nee,"Gemiddeld inkomen, per inwoner",1999,490.33,37223,13172.8
Brasschaat,11008,Nee,"Gemiddeld inkomen, per inwoner",2000,497.37,37138,13392.5
Brasschaat,11008,Nee,"Gemiddeld inkomen, per inwoner",2001,533.37,37151,14356.8
Brasschaat,11008,Nee,"Gemiddeld inkomen, per inwoner",2002,554.61,37249,14889.3
Brasschaat,11008,Nee,"Gemiddeld inkomen, per inwoner",2003,582.575,37183,15667.8
Brasschaat,11008,Nee,"Gemiddeld inkomen, per inwoner",2004,594.528,37165,15997.0
Brasschaat,11008,Nee,"Gemiddeld inkomen, per inwoner",2005,630.735,37180,16964.4
Brasschaat,11008,Nee,"Gemiddeld inkomen, per inwoner",2006,646.112,37282,17330.4
Brasschaat,11008,Nee,"Gemiddeld inkomen, per inwoner",2007,666.774,37133,17956.4
Brasschaat,11008,Nee,"Gemiddeld inkomen, per inwoner",2008,701.411,37180,18865.3
Brasschaat,11008,Nee,"Gemiddeld inkomen, per inwoner",2009,696.635,37014,18820.8
Brasschaat,11008,Nee,"Gemiddeld inkomen, per inwoner",2010,712.957,36949,19295.7
Brasschaat,11008,Nee,"Gemiddeld inkomen, per inwoner",2011,743.753,37189,19999.3
Brasschaat,11008,Nee,"Gemiddeld inkomen, per inwoner",2012,771.241,37301,20676.1
Brasschaat,11008,Nee,"Gemiddeld inkomen, per inwoner",2013,786.724,37286,21099.7
Brasschaat,11008,Nee,"Gemiddeld inkomen, per inwoner",2014,813.854,37502,21701.6
Brasschaat,11008,Nee,"Gemiddeld inkomen, per inwoner",2015,813.856,37480,21714.4
Brasschaat,11008,Nee,"Gemiddeld inkomen, per inwoner",2016,847.038,37673,22484.0
Brasschaat,11008,Nee,"Gemiddeld inkomen, per inwoner",2017,862.77,37792,22829.4
Brasschaat,11008,Nee,"Gemiddeld inkomen, per inwoner",2018,883.377,37850,23338.9
Brasschaat,11008,Nee,"Gemiddeld inkomen, per inwoner",2019,908.577,37946,23943.9
Brasschaat,11008,Nee,"Gemiddeld inkomen, per inwoner",2020,928.705,38223,24297.0
Brecht,11009,Nee,"Gemiddeld inkomen, per inwoner",1997,258.9,24085,10749.4
Brecht,11009,Nee,"Gemiddeld inkomen, per inwoner",1998,275.59,24452,11270.7
Brecht,11009,Nee,"Gemiddeld inkomen, per inwoner",1999,288.06,24750,11638.8
Brecht,11009,Nee,"Gemiddeld inkomen, per inwoner",2000,306.95,25091,12233.5
Brecht,11009,Nee,"Gemiddeld inkomen, per inwoner",2001,325.08,25329,12834.3
Brecht,11009,Nee,"Gemiddeld inkomen, per inwoner",2002,336.1,25451,13205.8
Brecht,11009,Nee,"Gemiddeld inkomen, per inwoner",2003,349.383,25607,13644.1
Brecht,11009,Nee,"Gemiddeld inkomen, per inwoner",2004,365.41,25908,14104.1
Brecht,11009,Nee,"Gemiddeld inkomen, per inwoner",2005,388.009,26029,14906.8
Brecht,11009,Nee,"Gemiddeld inkomen, per inwoner",2006,408.666,26464,15442.3
Brecht,11009,Nee,"Gemiddeld inkomen, per inwoner",2007,431.521,26730,16143.7
Brecht,11009,Nee,"Gemiddeld inkomen, per inwoner",2008,459.779,27170,16922.3
Brecht,11009,Nee,"Gemiddeld inkomen, per inwoner",2009,464.807,27406,16960.0
Brecht,11009,Nee,"Gemiddeld inkomen, per inwoner",2010,489.192,27597,17726.3
Brecht,11009,Nee,"Gemiddeld inkomen, per inwoner",2011,499.356,27801,17961.8
Brecht,11009,Nee,"Gemiddeld inkomen, per inwoner",2012,525.083,27906,18816.1
Brecht,11009,Nee,"Gemiddeld inkomen, per inwoner",2013,536.043,28016,19133.5
Brecht,11009,Nee,"Gemiddeld inkomen, per inwoner",2014,562.508,28174,19965.5
Brecht,11009,Nee,"Gemiddeld inkomen, per inwoner",2015,573.315,28248,20295.8
Brecht,11009,Nee,"Gemiddeld inkomen, per inwoner",2016,585.563,28534,20521.6
Brecht,11009,Nee,"Gemiddeld inkomen, per inwoner",2017,612.668,28786,21283.5
