Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Ja (%),Nee (%)
 Heers ,73022,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.78,0.22
 Heers ,73022,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.77,0.23
 Heist-Op-Den-Berg ,12014,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.78,0.22
 Heist-Op-Den-Berg ,12014,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.77,0.23
 Hemiksem ,11018,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.69,0.31
 Hemiksem ,11018,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.62,0.38
 Herent ,24038,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.7,0.3
 Herent ,24038,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.69,0.31
 Herentals ,13011,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.78,0.22
 Herentals ,13011,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.78,0.22
 Herenthout ,13012,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.84,0.16
 Herenthout ,13012,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.82,0.18
 Herk-De-Stad ,71024,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.79,0.21
 Herk-De-Stad ,71024,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.74,0.26
 Herne ,23032,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.78,0.22
 Herne ,23032,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.73,0.27
 Herselt ,13013,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.81,0.19
 Herselt ,13013,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.76,0.24
 Herzele ,41027,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.79,0.21
 Herzele ,41027,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.76,0.24
 Heusden-Zolder ,71070,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.79,0.21
 Heusden-Zolder ,71070,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.77,0.23
 Heuvelland ,33039,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.79,0.21
 Heuvelland ,33039,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.76,0.24
 Hoegaarden ,24041,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.63,0.37
 Hoegaarden ,24041,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.73,0.27
 Hoeilaart ,23033,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.69,0.31
 Hoeilaart ,23033,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.68,0.32
 Hoeselt ,73032,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.73,0.27
 Hoeselt ,73032,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.84,0.16
 Holsbeek ,24043,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.78,0.22
 Holsbeek ,24043,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.74,0.26
 Hooglede ,36006,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.81,0.19
 Hooglede ,36006,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.78,0.22
 Hoogstraten ,13014,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.78,0.22
 Hoogstraten ,13014,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.81,0.19
 Horebeke ,45062,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.77,0.23
 Horebeke ,45062,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.71,0.29
 Houthalen-Helchteren ,72039,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.83,0.17
 Houthalen-Helchteren ,72039,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.86,0.14
 Houthulst ,32006,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.74,0.26
 Houthulst ,32006,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.76,0.24
 Hove ,11021,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.72,0.28
 Hove ,11021,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.71,0.29
 Huldenberg ,24045,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.7,0.3
 Huldenberg ,24045,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.76,0.24
 Hulshout ,13016,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.74,0.26
 Hulshout ,13016,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.72,0.28
 Ichtegem ,35006,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.75,0.25
 Ichtegem ,35006,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.78,0.22
 Ieper ,33011,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.81,0.19
 Ieper ,33011,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.81,0.19
 Ingelmunster ,36007,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.78,0.22
 Ingelmunster ,36007,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.76,0.24
 Izegem ,36008,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.78,0.22
 Izegem ,36008,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.78,0.22
 Jabbeke ,31012,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.78,0.22
 Jabbeke ,31012,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.79,0.21
 Kalmthout ,11022,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.75,0.25
 Kalmthout ,11022,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.75,0.25
 Kampenhout ,23038,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.73,0.27
 Kampenhout ,23038,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.71,0.29
 Kapellen ,11023,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.71,0.29
 Kapellen ,11023,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.71,0.29
 Kapelle-Op-Den-Bos ,23039,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.72,0.28
 Kapelle-Op-Den-Bos ,23039,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.75,0.25
 Kaprijke ,43007,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.75,0.25
 Kaprijke ,43007,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.81,0.19
 Kasterlee ,13017,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.83,0.17
 Kasterlee ,13017,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.82,0.18
 Keerbergen ,24048,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.74,0.26
 Keerbergen ,24048,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.75,0.25
 Kinrooi ,72018,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.84,0.16
 Kinrooi ,72018,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.9,0.1
