Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Weinig (%),Neutraal (%),Veel (%)
 Leuven ,24062,ja,Vertrouwen in politie ,2014,0.17,0.4,0.43
 Leuven ,24062,ja,Vertrouwen in politie ,2017,0.12,0.36,0.52
 Leuven ,24062,ja,Vertrouwen in politie ,2020,0.12,0.35,0.53
 Lichtervelde ,36011,nee,Vertrouwen in politie ,2017,0.15,0.4,0.45
 Lichtervelde ,36011,nee,Vertrouwen in politie ,2020,0.11,0.38,0.51
 Liedekerke ,23044,nee,Vertrouwen in politie ,2017,0.14,0.35,0.52
 Liedekerke ,23044,nee,Vertrouwen in politie ,2020,0.15,0.36,0.5
 Lier ,12021,nee,Vertrouwen in politie ,2017,0.13,0.4,0.46
 Lier ,12021,nee,Vertrouwen in politie ,2020,0.14,0.36,0.5
 Lierde ,45063,nee,Vertrouwen in politie ,2017,0.1,0.34,0.57
 Lierde ,45063,nee,Vertrouwen in politie ,2020,0.16,0.36,0.48
 Lievegem ,44085,nee,Vertrouwen in politie ,2020,0.13,0.39,0.48
 Lille ,13019,nee,Vertrouwen in politie ,2017,0.11,0.4,0.5
 Lille ,13019,nee,Vertrouwen in politie ,2020,0.13,0.45,0.42
 Linkebeek ,23100,nee,Vertrouwen in politie ,2017,0.09,0.27,0.64
 Linkebeek ,23100,nee,Vertrouwen in politie ,2020,0.16,0.45,0.4
 Lint ,11025,nee,Vertrouwen in politie ,2017,0.15,0.36,0.48
 Lint ,11025,nee,Vertrouwen in politie ,2020,0.12,0.41,0.47
 Linter ,24133,nee,Vertrouwen in politie ,2017,0.18,0.41,0.4
 Linter ,24133,nee,Vertrouwen in politie ,2020,0.17,0.36,0.48
 Lochristi ,44034,nee,Vertrouwen in politie ,2017,0.07,0.34,0.59
 Lochristi ,44034,nee,Vertrouwen in politie ,2020,0.08,0.33,0.58
 Lokeren ,46014,nee,Vertrouwen in politie ,2017,0.17,0.36,0.47
 Lokeren ,46014,nee,Vertrouwen in politie ,2020,0.15,0.44,0.41
 Lommel ,72020,nee,Vertrouwen in politie ,2017,0.16,0.4,0.44
 Lommel ,72020,nee,Vertrouwen in politie ,2020,0.17,0.37,0.46
 Londerzeel ,23045,nee,Vertrouwen in politie ,2017,0.13,0.37,0.5
 Londerzeel ,23045,nee,Vertrouwen in politie ,2020,0.15,0.41,0.44
 Lo-Reninge ,32030,nee,Vertrouwen in politie ,2017,0.15,0.41,0.44
 Lo-Reninge ,32030,nee,Vertrouwen in politie ,2020,0.14,0.43,0.43
 Lovendegem ,44036,nee,Vertrouwen in politie ,2017,0.16,0.42,0.42
 Lubbeek ,24066,nee,Vertrouwen in politie ,2017,0.13,0.4,0.47
 Lubbeek ,24066,nee,Vertrouwen in politie ,2020,0.16,0.37,0.48
 Lummen ,71037,nee,Vertrouwen in politie ,2017,0.13,0.4,0.47
 Lummen ,71037,nee,Vertrouwen in politie ,2020,0.14,0.38,0.48
 Maarkedal ,45064,nee,Vertrouwen in politie ,2017,0.12,0.37,0.51
 Maarkedal ,45064,nee,Vertrouwen in politie ,2020,0.1,0.43,0.48
 Maaseik ,72021,nee,Vertrouwen in politie ,2017,0.13,0.44,0.43
 Maaseik ,72021,nee,Vertrouwen in politie ,2020,0.15,0.41,0.43
 Maasmechelen ,73107,nee,Vertrouwen in politie ,2017,0.22,0.44,0.34
 Maasmechelen ,73107,nee,Vertrouwen in politie ,2020,0.25,0.4,0.35
 Machelen ,23047,nee,Vertrouwen in politie ,2017,0.13,0.38,0.49
 Machelen ,23047,nee,Vertrouwen in politie ,2020,0.17,0.39,0.43
 Maldegem ,43010,nee,Vertrouwen in politie ,2017,0.16,0.38,0.46
 Maldegem ,43010,nee,Vertrouwen in politie ,2020,0.2,0.41,0.4
 Malle ,11057,nee,Vertrouwen in politie ,2017,0.06,0.45,0.49
 Malle ,11057,nee,Vertrouwen in politie ,2020,0.09,0.41,0.5
 Mechelen ,12025,ja,Vertrouwen in politie ,2008,0.28,0.39,0.33
 Mechelen ,12025,ja,Vertrouwen in politie ,2011,0.24,0.41,0.35
 Mechelen ,12025,ja,Vertrouwen in politie ,2014,0.2,0.42,0.38
 Mechelen ,12025,ja,Vertrouwen in politie ,2017,0.16,0.35,0.49
 Mechelen ,12025,ja,Vertrouwen in politie ,2020,0.16,0.37,0.47
 Meerhout ,13021,nee,Vertrouwen in politie ,2017,0.15,0.42,0.43
 Meerhout ,13021,nee,Vertrouwen in politie ,2020,0.15,0.42,0.42
 Meeuwen-Gruitrode ,72040,nee,Vertrouwen in politie ,2017,0.11,0.39,0.51
 Meise ,23050,nee,Vertrouwen in politie ,2017,0.15,0.38,0.48
 Meise ,23050,nee,Vertrouwen in politie ,2020,0.14,0.41,0.45
 Melle ,44040,nee,Vertrouwen in politie ,2017,0.12,0.32,0.56
 Melle ,44040,nee,Vertrouwen in politie ,2020,0.13,0.34,0.52
 Menen ,34027,nee,Vertrouwen in politie ,2017,0.14,0.38,0.49
 Menen ,34027,nee,Vertrouwen in politie ,2020,0.18,0.35,0.47
 Merchtem ,23052,nee,Vertrouwen in politie ,2017,0.11,0.35,0.54
 Merchtem ,23052,nee,Vertrouwen in politie ,2020,0.14,0.43,0.43
 Merelbeke ,44043,nee,Vertrouwen in politie ,2017,0.1,0.36,0.54
 Merelbeke ,44043,nee,Vertrouwen in politie ,2020,0.08,0.42,0.5
 Merksplas ,13023,nee,Vertrouwen in politie ,2017,0.12,0.36,0.52
 Merksplas ,13023,nee,Vertrouwen in politie ,2020,0.15,0.36,0.49
 Mesen ,33016,nee,Vertrouwen in politie ,2017,0.1,0.35,0.55
 Mesen ,33016,nee,Vertrouwen in politie ,2020,0.14,0.35,0.5
 Meulebeke ,37007,nee,Vertrouwen in politie ,2017,0.16,0.41,0.43
 Meulebeke ,37007,nee,Vertrouwen in politie ,2020,0.15,0.4,0.44
 Middelkerke ,35011,nee,Vertrouwen in politie ,2017,0.14,0.33,0.53
 Middelkerke ,35011,nee,Vertrouwen in politie ,2020,0.13,0.38,0.49
 Moerbeke ,44045,nee,Vertrouwen in politie ,2017,0.17,0.38,0.45
 Moerbeke ,44045,nee,Vertrouwen in politie ,2020,0.2,0.43,0.37
 Mol ,13025,nee,Vertrouwen in politie ,2017,0.15,0.38,0.47
 Mol ,13025,nee,Vertrouwen in politie ,2020,0.12,0.38,0.49
 Moorslede ,36012,nee,Vertrouwen in politie ,2017,0.17,0.42,0.4
 Moorslede ,36012,nee,Vertrouwen in politie ,2020,0.15,0.43,0.42
 Mortsel ,11029,nee,Vertrouwen in politie ,2017,0.15,0.35,0.5
 Mortsel ,11029,nee,Vertrouwen in politie ,2020,0.17,0.38,0.46
 Nazareth ,44048,nee,Vertrouwen in politie ,2017,0.12,0.38,0.5
 Nazareth ,44048,nee,Vertrouwen in politie ,2020,0.12,0.39,0.49
 Neerpelt ,72025,nee,Vertrouwen in politie ,2017,0.11,0.39,0.5
 Nevele ,44049,nee,Vertrouwen in politie ,2017,0.12,0.4,0.48
 Niel ,11030,nee,Vertrouwen in politie ,2017,0.2,0.4,0.39
 Niel ,11030,nee,Vertrouwen in politie ,2020,0.19,0.38,0.43
 Nieuwerkerken ,71045,nee,Vertrouwen in politie ,2017,0.15,0.36,0.49
 Nieuwerkerken ,71045,nee,Vertrouwen in politie ,2020,0.18,0.36,0.46
 Nieuwpoort ,38016,nee,Vertrouwen in politie ,2017,0.15,0.32,0.53
 Nieuwpoort ,38016,nee,Vertrouwen in politie ,2020,0.16,0.36,0.48
 Nijlen ,12026,nee,Vertrouwen in politie ,2017,0.11,0.38,0.51
 Nijlen ,12026,nee,Vertrouwen in politie ,2020,0.16,0.38,0.46
 Ninove ,41048,nee,Vertrouwen in politie ,2017,0.2,0.37,0.44
 Ninove ,41048,nee,Vertrouwen in politie ,2020,0.19,0.37,0.44
 Olen ,13029,nee,Vertrouwen in politie ,2017,0.09,0.38,0.53
 Olen ,13029,nee,Vertrouwen in politie ,2020,0.15,0.39,0.46
 Oostende ,35013,ja,Vertrouwen in politie ,2008,0.24,0.41,0.35
 Oostende ,35013,ja,Vertrouwen in politie ,2011,0.24,0.43,0.33
 Oostende ,35013,ja,Vertrouwen in politie ,2014,0.2,0.45,0.36
 Oostende ,35013,ja,Vertrouwen in politie ,2017,0.2,0.4,0.4
 Oostende ,35013,ja,Vertrouwen in politie ,2020,0.18,0.37,0.45
 Oosterzele ,44052,nee,Vertrouwen in politie ,2017,0.1,0.37,0.53
 Oosterzele ,44052,nee,Vertrouwen in politie ,2020,0.12,0.4,0.48
 Oostkamp ,31022,nee,Vertrouwen in politie ,2017,0.13,0.31,0.55
 Oostkamp ,31022,nee,Vertrouwen in politie ,2020,0.09,0.36,0.55
 Oostrozebeke ,37010,nee,Vertrouwen in politie ,2017,0.19,0.38,0.43
 Oostrozebeke ,37010,nee,Vertrouwen in politie ,2020,0.17,0.4,0.43
 Opglabbeek ,71047,nee,Vertrouwen in politie ,2017,0.13,0.37,0.49
 Opwijk ,23060,nee,Vertrouwen in politie ,2017,0.11,0.39,0.5
 Opwijk ,23060,nee,Vertrouwen in politie ,2020,0.14,0.39,0.47
 Oudenaarde ,45035,nee,Vertrouwen in politie ,2017,0.15,0.34,0.51
 Oudenaarde ,45035,nee,Vertrouwen in politie ,2020,0.18,0.37,0.45
 Oudenburg ,35014,nee,Vertrouwen in politie ,2017,0.14,0.39,0.47
 Oudenburg ,35014,nee,Vertrouwen in politie ,2020,0.18,0.39,0.44
 Oud-Heverlee ,24086,nee,Vertrouwen in politie ,2017,0.09,0.32,0.59
 Oud-Heverlee ,24086,nee,Vertrouwen in politie ,2020,0.11,0.38,0.51
 Oudsbergen ,72042,nee,Vertrouwen in politie ,2020,0.16,0.38,0.45
 Oud-Turnhout ,13031,nee,Vertrouwen in politie ,2017,0.1,0.4,0.5
 Oud-Turnhout ,13031,nee,Vertrouwen in politie ,2020,0.12,0.36,0.52
 Overijse ,23062,nee,Vertrouwen in politie ,2017,0.1,0.3,0.6
 Overijse ,23062,nee,Vertrouwen in politie ,2020,0.1,0.36,0.54
 Overpelt ,72029,nee,Vertrouwen in politie ,2017,0.14,0.39,0.47
 Peer ,72030,nee,Vertrouwen in politie ,2017,0.15,0.39,0.46
 Peer ,72030,nee,Vertrouwen in politie ,2020,0.11,0.37,0.53
 Pelt ,72043,nee,Vertrouwen in politie ,2020,0.14,0.38,0.48
 Pepingen ,23064,nee,Vertrouwen in politie ,2017,0.09,0.42,0.49
 Pepingen ,23064,nee,Vertrouwen in politie ,2020,0.12,0.37,0.51
 Pittem ,37011,nee,Vertrouwen in politie ,2017,0.14,0.42,0.44
 Pittem ,37011,nee,Vertrouwen in politie ,2020,0.15,0.42,0.43
 Poperinge ,33021,nee,Vertrouwen in politie ,2017,0.16,0.41,0.43
 Poperinge ,33021,nee,Vertrouwen in politie ,2020,0.14,0.43,0.43
 Putte ,12029,nee,Vertrouwen in politie ,2017,0.17,0.34,0.49
 Putte ,12029,nee,Vertrouwen in politie ,2020,0.16,0.38,0.46
 Puurs ,12030,nee,Vertrouwen in politie ,2017,0.13,0.35,0.52
 Puurs - Sint-Amands ,12041,nee,Vertrouwen in politie ,2020,0.14,0.4,0.47
 Ranst ,11035,nee,Vertrouwen in politie ,2017,0.12,0.36,0.52
 Ranst ,11035,nee,Vertrouwen in politie ,2020,0.13,0.39,0.48
 Ravels ,13035,nee,Vertrouwen in politie ,2017,0.11,0.39,0.5
 Ravels ,13035,nee,Vertrouwen in politie ,2020,0.12,0.38,0.49
 Retie ,13036,nee,Vertrouwen in politie ,2017,0.11,0.43,0.46
 Retie ,13036,nee,Vertrouwen in politie ,2020,0.09,0.46,0.45
 Riemst ,73066,nee,Vertrouwen in politie ,2017,0.12,0.4,0.48
 Riemst ,73066,nee,Vertrouwen in politie ,2020,0.13,0.39,0.48
 Rijkevorsel ,13037,nee,Vertrouwen in politie ,2017,0.09,0.39,0.52
 Rijkevorsel ,13037,nee,Vertrouwen in politie ,2020,0.13,0.36,0.51
 Roeselare ,36015,ja,Vertrouwen in politie ,2008,0.25,0.41,0.35
 Roeselare ,36015,ja,Vertrouwen in politie ,2011,0.26,0.42,0.32
 Roeselare ,36015,ja,Vertrouwen in politie ,2014,0.21,0.45,0.34
 Roeselare ,36015,ja,Vertrouwen in politie ,2017,0.18,0.41,0.41
 Roeselare ,36015,ja,Vertrouwen in politie ,2020,0.14,0.35,0.5
 Ronse ,45041,nee,Vertrouwen in politie ,2017,0.18,0.4,0.42
 Ronse ,45041,nee,Vertrouwen in politie ,2020,0.25,0.33,0.42
 Roosdaal ,23097,nee,Vertrouwen in politie ,2017,0.15,0.37,0.49
 Roosdaal ,23097,nee,Vertrouwen in politie ,2020,0.15,0.4,0.45
 Rotselaar ,24094,nee,Vertrouwen in politie ,2017,0.12,0.39,0.49
 Rotselaar ,24094,nee,Vertrouwen in politie ,2020,0.14,0.37,0.49
 Ruiselede ,37012,nee,Vertrouwen in politie ,2017,0.14,0.4,0.45
 Ruiselede ,37012,nee,Vertrouwen in politie ,2020,0.14,0.38,0.48
 Rumst ,11037,nee,Vertrouwen in politie ,2017,0.14,0.36,0.49
 Rumst ,11037,nee,Vertrouwen in politie ,2020,0.18,0.35,0.46
 Schelle ,11038,nee,Vertrouwen in politie ,2017,0.15,0.44,0.41
 Schelle ,11038,nee,Vertrouwen in politie ,2020,0.15,0.39,0.47
 Scherpenheuvel-Zichem ,24134,nee,Vertrouwen in politie ,2017,0.16,0.38,0.46
 Scherpenheuvel-Zichem ,24134,nee,Vertrouwen in politie ,2020,0.18,0.46,0.36
 Schilde ,11039,nee,Vertrouwen in politie ,2017,0.11,0.36,0.53
 Schilde ,11039,nee,Vertrouwen in politie ,2020,0.14,0.37,0.49
 Schoten ,11040,nee,Vertrouwen in politie ,2017,0.14,0.36,0.49
 Schoten ,11040,nee,Vertrouwen in politie ,2020,0.11,0.39,0.51
 Sint-Amands ,12034,nee,Vertrouwen in politie ,2017,0.13,0.37,0.5
 Sint-Genesius-Rode ,23101,nee,Vertrouwen in politie ,2017,0.11,0.32,0.57
 Sint-Genesius-Rode ,23101,nee,Vertrouwen in politie ,2020,0.13,0.35,0.53
 Sint-Gillis-Waas ,46020,nee,Vertrouwen in politie ,2017,0.13,0.39,0.47
 Sint-Gillis-Waas ,46020,nee,Vertrouwen in politie ,2020,0.16,0.41,0.44
 Sint-Katelijne-Waver ,12035,nee,Vertrouwen in politie ,2017,0.14,0.38,0.49
 Sint-Katelijne-Waver ,12035,nee,Vertrouwen in politie ,2020,0.14,0.38,0.49
 Sint-Laureins ,43014,nee,Vertrouwen in politie ,2017,0.13,0.47,0.4
 Sint-Laureins ,43014,nee,Vertrouwen in politie ,2020,0.1,0.43,0.46
 Sint-Lievens-Houtem ,41063,nee,Vertrouwen in politie ,2017,0.13,0.4,0.47
 Sint-Lievens-Houtem ,41063,nee,Vertrouwen in politie ,2020,0.14,0.4,0.46
 Sint-Martens-Latem ,44064,nee,Vertrouwen in politie ,2017,0.08,0.3,0.62
 Sint-Martens-Latem ,44064,nee,Vertrouwen in politie ,2020,0.11,0.28,0.61
 Sint-Niklaas ,46021,ja,Vertrouwen in politie ,2008,0.21,0.44,0.35
 Sint-Niklaas ,46021,ja,Vertrouwen in politie ,2011,0.22,0.43,0.35
 Sint-Niklaas ,46021,ja,Vertrouwen in politie ,2014,0.21,0.43,0.36
 Sint-Niklaas ,46021,ja,Vertrouwen in politie ,2017,0.18,0.41,0.42
 Sint-Niklaas ,46021,ja,Vertrouwen in politie ,2020,0.15,0.38,0.48
 Sint-Pieters-Leeuw ,23077,nee,Vertrouwen in politie ,2017,0.11,0.34,0.55
 Sint-Pieters-Leeuw ,23077,nee,Vertrouwen in politie ,2020,0.17,0.38,0.45
 Sint-Truiden ,71053,nee,Vertrouwen in politie ,2017,0.19,0.37,0.44
 Sint-Truiden ,71053,nee,Vertrouwen in politie ,2020,0.21,0.36,0.43
 Spiere-Helkijn ,34043,nee,Vertrouwen in politie ,2017,0.17,0.4,0.42
 Spiere-Helkijn ,34043,nee,Vertrouwen in politie ,2020,0.14,0.44,0.42
 Stabroek ,11044,nee,Vertrouwen in politie ,2017,0.14,0.34,0.52
 Stabroek ,11044,nee,Vertrouwen in politie ,2020,0.15,0.43,0.42
 Staden ,36019,nee,Vertrouwen in politie ,2017,0.16,0.37,0.46
 Staden ,36019,nee,Vertrouwen in politie ,2020,0.18,0.35,0.46
 Steenokkerzeel ,23081,nee,Vertrouwen in politie ,2017,0.08,0.35,0.57
 Steenokkerzeel ,23081,nee,Vertrouwen in politie ,2020,0.11,0.36,0.53
 Stekene ,46024,nee,Vertrouwen in politie ,2017,0.17,0.39,0.43
 Stekene ,46024,nee,Vertrouwen in politie ,2020,0.15,0.38,0.47
 Temse ,46025,nee,Vertrouwen in politie ,2017,0.18,0.4,0.42
 Temse ,46025,nee,Vertrouwen in politie ,2020,0.19,0.38,0.43
 Ternat ,23086,nee,Vertrouwen in politie ,2017,0.15,0.41,0.44
 Ternat ,23086,nee,Vertrouwen in politie ,2020,0.17,0.35,0.49
 Tervuren ,24104,nee,Vertrouwen in politie ,2017,0.13,0.26,0.61
 Tervuren ,24104,nee,Vertrouwen in politie ,2020,0.15,0.29,0.55
 Tessenderlo ,71057,nee,Vertrouwen in politie ,2017,0.15,0.36,0.49
 Tessenderlo ,71057,nee,Vertrouwen in politie ,2020,0.09,0.41,0.5
 Tielt ,37015,nee,Vertrouwen in politie ,2017,0.11,0.4,0.49
 Tielt ,37015,nee,Vertrouwen in politie ,2020,0.14,0.42,0.45
 Tielt-Winge ,24135,nee,Vertrouwen in politie ,2017,0.13,0.43,0.44
 Tielt-Winge ,24135,nee,Vertrouwen in politie ,2020,0.13,0.33,0.54
 Tienen ,24107,nee,Vertrouwen in politie ,2017,0.18,0.39,0.43
 Tienen ,24107,nee,Vertrouwen in politie ,2020,0.2,0.4,0.4
 Tongeren ,73083,nee,Vertrouwen in politie ,2017,0.16,0.42,0.42
 Tongeren ,73083,nee,Vertrouwen in politie ,2020,0.16,0.4,0.44
 Torhout ,31033,nee,Vertrouwen in politie ,2017,0.15,0.39,0.46
 Torhout ,31033,nee,Vertrouwen in politie ,2020,0.15,0.39,0.46
 Tremelo ,24109,nee,Vertrouwen in politie ,2017,0.15,0.43,0.42
 Tremelo ,24109,nee,Vertrouwen in politie ,2020,0.19,0.43,0.38
 Turnhout ,13040,ja,Vertrouwen in politie ,2008,0.23,0.42,0.35
 Turnhout ,13040,ja,Vertrouwen in politie ,2011,0.24,0.44,0.33
 Turnhout ,13040,ja,Vertrouwen in politie ,2014,0.25,0.41,0.34
 Turnhout ,13040,ja,Vertrouwen in politie ,2017,0.18,0.4,0.42
 Turnhout ,13040,ja,Vertrouwen in politie ,2020,0.18,0.39,0.43
 Veurne ,38025,nee,Vertrouwen in politie ,2017,0.15,0.37,0.47
 Veurne ,38025,nee,Vertrouwen in politie ,2020,0.16,0.35,0.49
 Vilvoorde ,23088,nee,Vertrouwen in politie ,2017,0.16,0.35,0.5
 Vilvoorde ,23088,nee,Vertrouwen in politie ,2020,0.2,0.39,0.41
 Vleteren ,33041,nee,Vertrouwen in politie ,2017,0.17,0.43,0.4
 Vleteren ,33041,nee,Vertrouwen in politie ,2020,0.14,0.42,0.44
 Voeren ,73109,nee,Vertrouwen in politie ,2017,0.12,0.32,0.56
 Voeren ,73109,nee,Vertrouwen in politie ,2020,0.12,0.31,0.57
 Vorselaar ,13044,nee,Vertrouwen in politie ,2017,0.08,0.36,0.56
 Vorselaar ,13044,nee,Vertrouwen in politie ,2020,0.14,0.33,0.54
 Vosselaar ,13046,nee,Vertrouwen in politie ,2017,0.11,0.34,0.54
 Vosselaar ,13046,nee,Vertrouwen in politie ,2020,0.12,0.38,0.49
 Waarschoot ,44072,nee,Vertrouwen in politie ,2017,0.14,0.43,0.43
 Waasmunster ,42023,nee,Vertrouwen in politie ,2017,0.13,0.33,0.54
 Waasmunster ,42023,nee,Vertrouwen in politie ,2020,0.12,0.41,0.47
 Wachtebeke ,44073,nee,Vertrouwen in politie ,2017,0.15,0.37,0.48
 Wachtebeke ,44073,nee,Vertrouwen in politie ,2020,0.14,0.37,0.49
 Waregem ,34040,nee,Vertrouwen in politie ,2017,0.14,0.37,0.49
 Waregem ,34040,nee,Vertrouwen in politie ,2020,0.11,0.4,0.49
 Wellen ,73098,nee,Vertrouwen in politie ,2017,0.15,0.4,0.46
 Wellen ,73098,nee,Vertrouwen in politie ,2020,0.18,0.39,0.43
 Wemmel ,23102,nee,Vertrouwen in politie ,2017,0.17,0.37,0.45
 Wemmel ,23102,nee,Vertrouwen in politie ,2020,0.19,0.32,0.5
 Wervik ,33029,nee,Vertrouwen in politie ,2017,0.21,0.44,0.35
 Wervik ,33029,nee,Vertrouwen in politie ,2020,0.16,0.47,0.37
 Westerlo ,13049,nee,Vertrouwen in politie ,2017,0.13,0.33,0.54
 Westerlo ,13049,nee,Vertrouwen in politie ,2020,0.13,0.33,0.53
 Wetteren ,42025,nee,Vertrouwen in politie ,2017,0.15,0.37,0.48
 Wetteren ,42025,nee,Vertrouwen in politie ,2020,0.1,0.37,0.53
 Wevelgem ,34041,nee,Vertrouwen in politie ,2017,0.14,0.35,0.51
 Wevelgem ,34041,nee,Vertrouwen in politie ,2020,0.14,0.36,0.5
 Wezembeek-Oppem ,23103,nee,Vertrouwen in politie ,2017,0.08,0.27,0.64
 Wezembeek-Oppem ,23103,nee,Vertrouwen in politie ,2020,0.09,0.27,0.64
 Wichelen ,42026,nee,Vertrouwen in politie ,2017,0.15,0.32,0.53
 Wichelen ,42026,nee,Vertrouwen in politie ,2020,0.12,0.43,0.45
 Wielsbeke ,37017,nee,Vertrouwen in politie ,2017,0.18,0.41,0.41
 Wielsbeke ,37017,nee,Vertrouwen in politie ,2020,0.17,0.43,0.4
 Wijnegem ,11050,nee,Vertrouwen in politie ,2017,0.14,0.4,0.45
 Wijnegem ,11050,nee,Vertrouwen in politie ,2020,0.2,0.39,0.41
 Willebroek ,12040,nee,Vertrouwen in politie ,2017,0.19,0.34,0.47
 Willebroek ,12040,nee,Vertrouwen in politie ,2020,0.17,0.37,0.46
 Wingene ,37018,nee,Vertrouwen in politie ,2017,0.1,0.41,0.49
 Wingene ,37018,nee,Vertrouwen in politie ,2020,0.14,0.38,0.48
 Wommelgem ,11052,nee,Vertrouwen in politie ,2017,0.1,0.32,0.57
 Wommelgem ,11052,nee,Vertrouwen in politie ,2020,0.15,0.43,0.42
 Wortegem-Petegem ,45061,nee,Vertrouwen in politie ,2017,0.1,0.39,0.51
 Wortegem-Petegem ,45061,nee,Vertrouwen in politie ,2020,0.13,0.39,0.47
 Wuustwezel ,11053,nee,Vertrouwen in politie ,2017,0.12,0.38,0.51
 Wuustwezel ,11053,nee,Vertrouwen in politie ,2020,0.12,0.39,0.49
 Zandhoven ,11054,nee,Vertrouwen in politie ,2017,0.12,0.36,0.52
 Zandhoven ,11054,nee,Vertrouwen in politie ,2020,0.11,0.36,0.52
 Zaventem ,23094,nee,Vertrouwen in politie ,2017,0.12,0.36,0.52
 Zaventem ,23094,nee,Vertrouwen in politie ,2020,0.17,0.3,0.53
 Zedelgem ,31040,nee,Vertrouwen in politie ,2017,0.1,0.35,0.55
 Zedelgem ,31040,nee,Vertrouwen in politie ,2020,0.1,0.36,0.54
 Zele ,42028,nee,Vertrouwen in politie ,2017,0.2,0.36,0.44
 Zele ,42028,nee,Vertrouwen in politie ,2020,0.18,0.41,0.41
 Zelzate ,43018,nee,Vertrouwen in politie ,2017,0.17,0.39,0.44
 Zelzate ,43018,nee,Vertrouwen in politie ,2020,0.24,0.36,0.4
 Zemst ,23096,nee,Vertrouwen in politie ,2017,0.1,0.36,0.54
 Zemst ,23096,nee,Vertrouwen in politie ,2020,0.11,0.38,0.51
 Zingem ,45057,nee,Vertrouwen in politie ,2017,0.13,0.37,0.5
 Zoersel ,11055,nee,Vertrouwen in politie ,2017,0.08,0.35,0.57
 Zoersel ,11055,nee,Vertrouwen in politie ,2020,0.08,0.39,0.53
 Zomergem ,44080,nee,Vertrouwen in politie ,2017,0.1,0.36,0.54
 Zonhoven ,71066,nee,Vertrouwen in politie ,2017,0.12,0.38,0.49
 Zonhoven ,71066,nee,Vertrouwen in politie ,2020,0.15,0.39,0.46
 Zonnebeke ,33037,nee,Vertrouwen in politie ,2017,0.15,0.39,0.47
 Zonnebeke ,33037,nee,Vertrouwen in politie ,2020,0.15,0.4,0.44
 Zottegem ,41081,nee,Vertrouwen in politie ,2017,0.18,0.42,0.4
 Zottegem ,41081,nee,Vertrouwen in politie ,2020,0.2,0.41,0.4
 Zoutleeuw ,24130,nee,Vertrouwen in politie ,2017,0.2,0.42,0.37
 Zoutleeuw ,24130,nee,Vertrouwen in politie ,2020,0.12,0.44,0.44
 Zuienkerke ,31042,nee,Vertrouwen in politie ,2017,0.14,0.39,0.48
 Zuienkerke ,31042,nee,Vertrouwen in politie ,2020,0.15,0.32,0.53
 Zulte ,44081,nee,Vertrouwen in politie ,2017,0.13,0.38,0.49
 Zulte ,44081,nee,Vertrouwen in politie ,2020,0.09,0.39,0.52
 Zutendaal ,71067,nee,Vertrouwen in politie ,2017,0.13,0.42,0.45
 Zutendaal ,71067,nee,Vertrouwen in politie ,2020,0.15,0.38,0.47
 Zwalm ,45065,nee,Vertrouwen in politie ,2017,0.18,0.4,0.42
 Zwalm ,45065,nee,Vertrouwen in politie ,2020,0.15,0.42,0.43
 Zwevegem ,34042,nee,Vertrouwen in politie ,2017,0.13,0.41,0.46
 Zwevegem ,34042,nee,Vertrouwen in politie ,2020,0.16,0.38,0.46
 Zwijndrecht ,11056,nee,Vertrouwen in politie ,2017,0.11,0.38,0.51
 Zwijndrecht ,11056,nee,Vertrouwen in politie ,2020,0.14,0.34,0.51
13 centrumsteden,/,/,Vertrouwen in politie ,2008,0.24,0.4,0.36
13 centrumsteden,/,/,Vertrouwen in politie ,2011,0.23,0.43,0.34
13 centrumsteden,/,/,Vertrouwen in politie ,2014,0.22,0.41,0.37
13 centrumsteden,/,/,Vertrouwen in politie ,2017,0.18,0.39,0.43
13 centrumsteden,/,/,Vertrouwen in politie ,2020,0.17,0.37,0.46
Gemeenten groter dan 50.000 inw.,/,/,Vertrouwen in politie ,2017,0.18,0.39,0.43
Gemeenten groter dan 50.000 inw.,/,/,Vertrouwen in politie ,2020,0.17,0.37,0.46
Gemeenten kleiner dan 10.000 inw.,/,/,Vertrouwen in politie ,2017,0.14,0.38,0.48
Gemeenten kleiner dan 10.000 inw.,/,/,Vertrouwen in politie ,2020,0.15,0.38,0.47
Gemeenten van 10.000 tot 20.000 inw.,/,/,Vertrouwen in politie ,2017,0.13,0.38,0.49
Gemeenten van 10.000 tot 20.000 inw.,/,/,Vertrouwen in politie ,2020,0.14,0.39,0.47
Gemeenten van 20.000 tot 30.000 inw.,/,/,Vertrouwen in politie ,2017,0.14,0.37,0.5
Gemeenten van 20.000 tot 30.000 inw.,/,/,Vertrouwen in politie ,2020,0.15,0.38,0.47
Gemeenten van 30.000 tot 50.000 inw.,/,/,Vertrouwen in politie ,2017,0.15,0.38,0.47
Gemeenten van 30.000 tot 50.000 inw.,/,/,Vertrouwen in politie ,2020,0.16,0.38,0.45
Vlaams Gewest,/,/,Vertrouwen in politie ,2017,0.15,0.38,0.47
Vlaams Gewest,/,/,Vertrouwen in politie ,2020,0.15,0.38,0.47
