Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Weinig (%),Neutraal (%),Veel (%)
 Bonheiden ,12005,nee,Vertrouwen in politie ,2020,0.11,0.34,0.55
 Boom ,11005,nee,Vertrouwen in politie ,2017,0.22,0.37,0.41
 Boom ,11005,nee,Vertrouwen in politie ,2020,0.2,0.43,0.37
 Boortmeerbeek ,24014,nee,Vertrouwen in politie ,2017,0.12,0.35,0.53
 Boortmeerbeek ,24014,nee,Vertrouwen in politie ,2020,0.17,0.39,0.44
 Borgloon ,73009,nee,Vertrouwen in politie ,2017,0.16,0.41,0.43
 Borgloon ,73009,nee,Vertrouwen in politie ,2020,0.18,0.41,0.42
 Bornem ,12007,nee,Vertrouwen in politie ,2017,0.14,0.34,0.52
 Bornem ,12007,nee,Vertrouwen in politie ,2020,0.2,0.43,0.36
 Borsbeek ,11007,nee,Vertrouwen in politie ,2017,0.15,0.38,0.47
 Borsbeek ,11007,nee,Vertrouwen in politie ,2020,0.13,0.36,0.5
 Boutersem ,24016,nee,Vertrouwen in politie ,2017,0.17,0.37,0.46
 Boutersem ,24016,nee,Vertrouwen in politie ,2020,0.16,0.44,0.4
 Brakel ,45059,nee,Vertrouwen in politie ,2017,0.14,0.34,0.52
 Brakel ,45059,nee,Vertrouwen in politie ,2020,0.2,0.36,0.44
 Brasschaat ,11008,nee,Vertrouwen in politie ,2017,0.1,0.36,0.54
 Brasschaat ,11008,nee,Vertrouwen in politie ,2020,0.13,0.38,0.5
 Brecht ,11009,nee,Vertrouwen in politie ,2017,0.1,0.41,0.49
 Brecht ,11009,nee,Vertrouwen in politie ,2020,0.16,0.38,0.45
 Bredene ,35002,nee,Vertrouwen in politie ,2017,0.09,0.39,0.53
 Bredene ,35002,nee,Vertrouwen in politie ,2020,0.15,0.34,0.5
 Bree ,72004,nee,Vertrouwen in politie ,2017,0.13,0.38,0.48
 Bree ,72004,nee,Vertrouwen in politie ,2020,0.15,0.34,0.5
 Brugge ,31005,ja,Vertrouwen in politie ,2008,0.25,0.39,0.36
 Brugge ,31005,ja,Vertrouwen in politie ,2011,0.2,0.48,0.32
 Brugge ,31005,ja,Vertrouwen in politie ,2014,0.23,0.4,0.36
 Brugge ,31005,ja,Vertrouwen in politie ,2017,0.17,0.4,0.42
 Brugge ,31005,ja,Vertrouwen in politie ,2020,0.14,0.36,0.5
 Buggenhout ,42004,nee,Vertrouwen in politie ,2017,0.18,0.35,0.48
 Buggenhout ,42004,nee,Vertrouwen in politie ,2020,0.13,0.38,0.48
 Damme ,31006,nee,Vertrouwen in politie ,2017,0.14,0.32,0.54
 Damme ,31006,nee,Vertrouwen in politie ,2020,0.15,0.36,0.49
 De Haan ,35029,nee,Vertrouwen in politie ,2017,0.12,0.37,0.51
 De Haan ,35029,nee,Vertrouwen in politie ,2020,0.14,0.38,0.48
 De Panne ,38008,nee,Vertrouwen in politie ,2017,0.14,0.31,0.55
 De Panne ,38008,nee,Vertrouwen in politie ,2020,0.14,0.31,0.54
 De Pinte ,44012,nee,Vertrouwen in politie ,2017,0.07,0.31,0.61
