Gemeente,NIS-code,Centrumstad?,Indicator,Item,Jaar,Oneens (%),Neutraal (%),Eens (%)
 Affligem ,23105,nee,Voldoende informatie door gemeente (detail),Activiteiten,2017,0.07,0.12,0.81
 Affligem ,23105,nee,Voldoende informatie door gemeente (detail),Activiteiten,2020,0.09,0.13,0.77
 Affligem ,23105,nee,Voldoende informatie door gemeente (detail),Beslissingen van het gemeente-/stadsbestuur,2017,0.24,0.23,0.53
 Affligem ,23105,nee,Voldoende informatie door gemeente (detail),Beslissingen van het gemeente-/stadsbestuur,2020,0.3,0.3,0.4
 Affligem ,23105,nee,Voldoende informatie door gemeente (detail),Nieuwe ingrepen en plannen in gemeente/stad,2017,0.16,0.2,0.64
 Affligem ,23105,nee,Voldoende informatie door gemeente (detail),Nieuwe ingrepen en plannen in gemeente/stad,2020,0.24,0.24,0.52
 Affligem ,23105,nee,Voldoende informatie door gemeente (detail),Voorzieningen,2020,0.11,0.17,0.72
 Alken ,73001,nee,Voldoende informatie door gemeente (detail),Activiteiten,2017,0.06,0.13,0.81
 Alken ,73001,nee,Voldoende informatie door gemeente (detail),Activiteiten,2020,0.07,0.1,0.83
 Alken ,73001,nee,Voldoende informatie door gemeente (detail),Beslissingen van het gemeente-/stadsbestuur,2017,0.14,0.22,0.65
 Alken ,73001,nee,Voldoende informatie door gemeente (detail),Beslissingen van het gemeente-/stadsbestuur,2020,0.21,0.24,0.55
 Alken ,73001,nee,Voldoende informatie door gemeente (detail),Nieuwe ingrepen en plannen in gemeente/stad,2017,0.08,0.16,0.76
 Alken ,73001,nee,Voldoende informatie door gemeente (detail),Nieuwe ingrepen en plannen in gemeente/stad,2020,0.13,0.17,0.7
 Alken ,73001,nee,Voldoende informatie door gemeente (detail),Voorzieningen,2020,0.07,0.13,0.81
 Alveringem ,38002,nee,Voldoende informatie door gemeente (detail),Activiteiten,2017,0.11,0.14,0.75
 Alveringem ,38002,nee,Voldoende informatie door gemeente (detail),Activiteiten,2020,0.1,0.18,0.72
 Alveringem ,38002,nee,Voldoende informatie door gemeente (detail),Beslissingen van het gemeente-/stadsbestuur,2017,0.21,0.2,0.58
 Alveringem ,38002,nee,Voldoende informatie door gemeente (detail),Beslissingen van het gemeente-/stadsbestuur,2020,0.22,0.26,0.52
 Alveringem ,38002,nee,Voldoende informatie door gemeente (detail),Nieuwe ingrepen en plannen in gemeente/stad,2017,0.22,0.17,0.61
 Alveringem ,38002,nee,Voldoende informatie door gemeente (detail),Nieuwe ingrepen en plannen in gemeente/stad,2020,0.19,0.25,0.56
 Alveringem ,38002,nee,Voldoende informatie door gemeente (detail),Voorzieningen,2020,0.1,0.26,0.63
 Antwerpen ,11002,ja,Voldoende informatie door gemeente (detail),Activiteiten,2008,0.15,0.16,0.69
 Antwerpen ,11002,ja,Voldoende informatie door gemeente (detail),Activiteiten,2011,0.11,0.16,0.73
 Antwerpen ,11002,ja,Voldoende informatie door gemeente (detail),Activiteiten,2014,0.15,0.17,0.68
 Antwerpen ,11002,ja,Voldoende informatie door gemeente (detail),Activiteiten,2017,0.16,0.2,0.64
 Antwerpen ,11002,ja,Voldoende informatie door gemeente (detail),Activiteiten,2020,0.21,0.22,0.57
 Antwerpen ,11002,ja,Voldoende informatie door gemeente (detail),Beslissingen van het gemeente-/stadsbestuur,2008,0.43,0.29,0.28
 Antwerpen ,11002,ja,Voldoende informatie door gemeente (detail),Beslissingen van het gemeente-/stadsbestuur,2011,0.39,0.3,0.31
 Antwerpen ,11002,ja,Voldoende informatie door gemeente (detail),Beslissingen van het gemeente-/stadsbestuur,2014,0.37,0.29,0.33
 Antwerpen ,11002,ja,Voldoende informatie door gemeente (detail),Beslissingen van het gemeente-/stadsbestuur,2017,0.37,0.31,0.32
 Antwerpen ,11002,ja,Voldoende informatie door gemeente (detail),Beslissingen van het gemeente-/stadsbestuur,2020,0.44,0.26,0.3
 Antwerpen ,11002,ja,Voldoende informatie door gemeente (detail),Nieuwe ingrepen en plannen in gemeente/stad,2008,0.24,0.23,0.53
 Antwerpen ,11002,ja,Voldoende informatie door gemeente (detail),Nieuwe ingrepen en plannen in gemeente/stad,2011,0.22,0.23,0.55
 Antwerpen ,11002,ja,Voldoende informatie door gemeente (detail),Nieuwe ingrepen en plannen in gemeente/stad,2014,0.22,0.2,0.58
 Antwerpen ,11002,ja,Voldoende informatie door gemeente (detail),Nieuwe ingrepen en plannen in gemeente/stad,2017,0.19,0.2,0.6
 Antwerpen ,11002,ja,Voldoende informatie door gemeente (detail),Nieuwe ingrepen en plannen in gemeente/stad,2020,0.26,0.22,0.52
 Antwerpen ,11002,ja,Voldoende informatie door gemeente (detail),Voorzieningen,2008,0.21,0.24,0.55
 Antwerpen ,11002,ja,Voldoende informatie door gemeente (detail),Voorzieningen,2011,0.19,0.26,0.55
 Antwerpen ,11002,ja,Voldoende informatie door gemeente (detail),Voorzieningen,2014,0.22,0.25,0.54
 Antwerpen ,11002,ja,Voldoende informatie door gemeente (detail),Voorzieningen,2017,0.19,0.29,0.52
 Antwerpen ,11002,ja,Voldoende informatie door gemeente (detail),Voorzieningen,2020,0.24,0.27,0.49
 Anzegem ,34002,nee,Voldoende informatie door gemeente (detail),Activiteiten,2017,0.07,0.09,0.84
 Anzegem ,34002,nee,Voldoende informatie door gemeente (detail),Activiteiten,2020,0.07,0.09,0.85
 Anzegem ,34002,nee,Voldoende informatie door gemeente (detail),Beslissingen van het gemeente-/stadsbestuur,2017,0.16,0.22,0.61
 Anzegem ,34002,nee,Voldoende informatie door gemeente (detail),Beslissingen van het gemeente-/stadsbestuur,2020,0.27,0.28,0.45
 Anzegem ,34002,nee,Voldoende informatie door gemeente (detail),Nieuwe ingrepen en plannen in gemeente/stad,2017,0.13,0.15,0.72
 Anzegem ,34002,nee,Voldoende informatie door gemeente (detail),Nieuwe ingrepen en plannen in gemeente/stad,2020,0.18,0.21,0.6
 Anzegem ,34002,nee,Voldoende informatie door gemeente (detail),Voorzieningen,2020,0.08,0.16,0.76
 Ardooie ,37020,nee,Voldoende informatie door gemeente (detail),Activiteiten,2017,0.07,0.09,0.83
 Ardooie ,37020,nee,Voldoende informatie door gemeente (detail),Activiteiten,2020,0.03,0.09,0.89
 Ardooie ,37020,nee,Voldoende informatie door gemeente (detail),Beslissingen van het gemeente-/stadsbestuur,2017,0.23,0.26,0.52
 Ardooie ,37020,nee,Voldoende informatie door gemeente (detail),Beslissingen van het gemeente-/stadsbestuur,2020,0.23,0.23,0.54
 Ardooie ,37020,nee,Voldoende informatie door gemeente (detail),Nieuwe ingrepen en plannen in gemeente/stad,2017,0.15,0.18,0.67
 Ardooie ,37020,nee,Voldoende informatie door gemeente (detail),Nieuwe ingrepen en plannen in gemeente/stad,2020,0.13,0.19,0.67
 Ardooie ,37020,nee,Voldoende informatie door gemeente (detail),Voorzieningen,2020,0.05,0.1,0.85
 Arendonk ,13001,nee,Voldoende informatie door gemeente (detail),Activiteiten,2017,0.05,0.14,0.81
 Arendonk ,13001,nee,Voldoende informatie door gemeente (detail),Activiteiten,2020,0.08,0.13,0.79
 Arendonk ,13001,nee,Voldoende informatie door gemeente (detail),Beslissingen van het gemeente-/stadsbestuur,2017,0.18,0.21,0.62
 Arendonk ,13001,nee,Voldoende informatie door gemeente (detail),Beslissingen van het gemeente-/stadsbestuur,2020,0.19,0.24,0.57
 Arendonk ,13001,nee,Voldoende informatie door gemeente (detail),Nieuwe ingrepen en plannen in gemeente/stad,2017,0.13,0.22,0.65
 Arendonk ,13001,nee,Voldoende informatie door gemeente (detail),Nieuwe ingrepen en plannen in gemeente/stad,2020,0.14,0.18,0.68
 Arendonk ,13001,nee,Voldoende informatie door gemeente (detail),Voorzieningen,2020,0.08,0.18,0.74
 As ,71002,nee,Voldoende informatie door gemeente (detail),Activiteiten,2017,0.04,0.09,0.87
 As ,71002,nee,Voldoende informatie door gemeente (detail),Activiteiten,2020,0.03,0.09,0.88
 As ,71002,nee,Voldoende informatie door gemeente (detail),Beslissingen van het gemeente-/stadsbestuur,2017,0.17,0.18,0.64
 As ,71002,nee,Voldoende informatie door gemeente (detail),Beslissingen van het gemeente-/stadsbestuur,2020,0.2,0.27,0.53
 As ,71002,nee,Voldoende informatie door gemeente (detail),Nieuwe ingrepen en plannen in gemeente/stad,2017,0.13,0.13,0.74
 As ,71002,nee,Voldoende informatie door gemeente (detail),Nieuwe ingrepen en plannen in gemeente/stad,2020,0.1,0.18,0.73
 As ,71002,nee,Voldoende informatie door gemeente (detail),Voorzieningen,2020,0.05,0.1,0.85
 Asse ,23002,nee,Voldoende informatie door gemeente (detail),Activiteiten,2017,0.11,0.18,0.71
 Asse ,23002,nee,Voldoende informatie door gemeente (detail),Activiteiten,2020,0.16,0.18,0.66
 Asse ,23002,nee,Voldoende informatie door gemeente (detail),Beslissingen van het gemeente-/stadsbestuur,2017,0.39,0.24,0.36
 Asse ,23002,nee,Voldoende informatie door gemeente (detail),Beslissingen van het gemeente-/stadsbestuur,2020,0.4,0.28,0.32
 Asse ,23002,nee,Voldoende informatie door gemeente (detail),Nieuwe ingrepen en plannen in gemeente/stad,2017,0.27,0.23,0.49
 Asse ,23002,nee,Voldoende informatie door gemeente (detail),Nieuwe ingrepen en plannen in gemeente/stad,2020,0.24,0.21,0.55
 Asse ,23002,nee,Voldoende informatie door gemeente (detail),Voorzieningen,2020,0.2,0.25,0.55
 Assenede ,43002,nee,Voldoende informatie door gemeente (detail),Activiteiten,2017,0.08,0.17,0.75
 Assenede ,43002,nee,Voldoende informatie door gemeente (detail),Activiteiten,2020,0.11,0.16,0.74
 Assenede ,43002,nee,Voldoende informatie door gemeente (detail),Beslissingen van het gemeente-/stadsbestuur,2017,0.27,0.29,0.45
 Assenede ,43002,nee,Voldoende informatie door gemeente (detail),Beslissingen van het gemeente-/stadsbestuur,2020,0.35,0.27,0.38
 Assenede ,43002,nee,Voldoende informatie door gemeente (detail),Nieuwe ingrepen en plannen in gemeente/stad,2017,0.16,0.2,0.64
 Assenede ,43002,nee,Voldoende informatie door gemeente (detail),Nieuwe ingrepen en plannen in gemeente/stad,2020,0.23,0.23,0.54
 Assenede ,43002,nee,Voldoende informatie door gemeente (detail),Voorzieningen,2020,0.11,0.23,0.66
 Avelgem ,34003,nee,Voldoende informatie door gemeente (detail),Activiteiten,2017,0.05,0.14,0.81
 Avelgem ,34003,nee,Voldoende informatie door gemeente (detail),Activiteiten,2020,0.09,0.13,0.78
 Avelgem ,34003,nee,Voldoende informatie door gemeente (detail),Beslissingen van het gemeente-/stadsbestuur,2017,0.22,0.31,0.47
 Avelgem ,34003,nee,Voldoende informatie door gemeente (detail),Beslissingen van het gemeente-/stadsbestuur,2020,0.25,0.25,0.49
 Avelgem ,34003,nee,Voldoende informatie door gemeente (detail),Nieuwe ingrepen en plannen in gemeente/stad,2017,0.14,0.16,0.7
 Avelgem ,34003,nee,Voldoende informatie door gemeente (detail),Nieuwe ingrepen en plannen in gemeente/stad,2020,0.2,0.19,0.6
 Avelgem ,34003,nee,Voldoende informatie door gemeente (detail),Voorzieningen,2020,0.12,0.17,0.7
 Baarle-Hertog ,13002,nee,Voldoende informatie door gemeente (detail),Activiteiten,2017,0.15,0.22,0.63
 Baarle-Hertog ,13002,nee,Voldoende informatie door gemeente (detail),Activiteiten,2020,0.17,0.22,0.6
 Baarle-Hertog ,13002,nee,Voldoende informatie door gemeente (detail),Beslissingen van het gemeente-/stadsbestuur,2017,0.31,0.25,0.43
 Baarle-Hertog ,13002,nee,Voldoende informatie door gemeente (detail),Beslissingen van het gemeente-/stadsbestuur,2020,0.31,0.29,0.4
 Baarle-Hertog ,13002,nee,Voldoende informatie door gemeente (detail),Nieuwe ingrepen en plannen in gemeente/stad,2017,0.27,0.25,0.48
 Baarle-Hertog ,13002,nee,Voldoende informatie door gemeente (detail),Nieuwe ingrepen en plannen in gemeente/stad,2020,0.26,0.32,0.43
 Baarle-Hertog ,13002,nee,Voldoende informatie door gemeente (detail),Voorzieningen,2020,0.19,0.28,0.52
 Balen ,13003,nee,Voldoende informatie door gemeente (detail),Activiteiten,2017,0.03,0.1,0.87
 Balen ,13003,nee,Voldoende informatie door gemeente (detail),Activiteiten,2020,0.06,0.12,0.82
 Balen ,13003,nee,Voldoende informatie door gemeente (detail),Beslissingen van het gemeente-/stadsbestuur,2017,0.19,0.27,0.54
 Balen ,13003,nee,Voldoende informatie door gemeente (detail),Beslissingen van het gemeente-/stadsbestuur,2020,0.25,0.33,0.42
 Balen ,13003,nee,Voldoende informatie door gemeente (detail),Nieuwe ingrepen en plannen in gemeente/stad,2017,0.09,0.15,0.76
 Balen ,13003,nee,Voldoende informatie door gemeente (detail),Nieuwe ingrepen en plannen in gemeente/stad,2020,0.16,0.19,0.65
 Balen ,13003,nee,Voldoende informatie door gemeente (detail),Voorzieningen,2020,0.08,0.2,0.73
 Beernem ,31003,nee,Voldoende informatie door gemeente (detail),Activiteiten,2017,0.06,0.12,0.82
 Beernem ,31003,nee,Voldoende informatie door gemeente (detail),Activiteiten,2020,0.04,0.11,0.85
 Beernem ,31003,nee,Voldoende informatie door gemeente (detail),Beslissingen van het gemeente-/stadsbestuur,2017,0.19,0.18,0.64
 Beernem ,31003,nee,Voldoende informatie door gemeente (detail),Beslissingen van het gemeente-/stadsbestuur,2020,0.15,0.23,0.62
 Beernem ,31003,nee,Voldoende informatie door gemeente (detail),Nieuwe ingrepen en plannen in gemeente/stad,2017,0.15,0.16,0.69
 Beernem ,31003,nee,Voldoende informatie door gemeente (detail),Nieuwe ingrepen en plannen in gemeente/stad,2020,0.14,0.17,0.69
 Beernem ,31003,nee,Voldoende informatie door gemeente (detail),Voorzieningen,2020,0.09,0.19,0.72
 Beerse ,13004,nee,Voldoende informatie door gemeente (detail),Activiteiten,2017,0.06,0.12,0.82
 Beerse ,13004,nee,Voldoende informatie door gemeente (detail),Activiteiten,2020,0.05,0.14,0.81
 Beerse ,13004,nee,Voldoende informatie door gemeente (detail),Beslissingen van het gemeente-/stadsbestuur,2017,0.25,0.22,0.53
 Beerse ,13004,nee,Voldoende informatie door gemeente (detail),Beslissingen van het gemeente-/stadsbestuur,2020,0.29,0.29,0.42
 Beerse ,13004,nee,Voldoende informatie door gemeente (detail),Nieuwe ingrepen en plannen in gemeente/stad,2017,0.17,0.2,0.63
 Beerse ,13004,nee,Voldoende informatie door gemeente (detail),Nieuwe ingrepen en plannen in gemeente/stad,2020,0.19,0.23,0.58
 Beerse ,13004,nee,Voldoende informatie door gemeente (detail),Voorzieningen,2020,0.12,0.23,0.65
 Beersel ,23003,nee,Voldoende informatie door gemeente (detail),Activiteiten,2017,0.11,0.13,0.76
 Beersel ,23003,nee,Voldoende informatie door gemeente (detail),Activiteiten,2020,0.13,0.18,0.69
 Beersel ,23003,nee,Voldoende informatie door gemeente (detail),Beslissingen van het gemeente-/stadsbestuur,2017,0.33,0.29,0.39
 Beersel ,23003,nee,Voldoende informatie door gemeente (detail),Beslissingen van het gemeente-/stadsbestuur,2020,0.41,0.28,0.31
 Beersel ,23003,nee,Voldoende informatie door gemeente (detail),Nieuwe ingrepen en plannen in gemeente/stad,2017,0.25,0.25,0.5
 Beersel ,23003,nee,Voldoende informatie door gemeente (detail),Nieuwe ingrepen en plannen in gemeente/stad,2020,0.32,0.21,0.47
 Beersel ,23003,nee,Voldoende informatie door gemeente (detail),Voorzieningen,2020,0.2,0.23,0.58
 Begijnendijk ,24007,nee,Voldoende informatie door gemeente (detail),Activiteiten,2017,0.08,0.16,0.76
 Begijnendijk ,24007,nee,Voldoende informatie door gemeente (detail),Activiteiten,2020,0.04,0.13,0.82
 Begijnendijk ,24007,nee,Voldoende informatie door gemeente (detail),Beslissingen van het gemeente-/stadsbestuur,2017,0.27,0.3,0.43
 Begijnendijk ,24007,nee,Voldoende informatie door gemeente (detail),Beslissingen van het gemeente-/stadsbestuur,2020,0.25,0.25,0.5
 Begijnendijk ,24007,nee,Voldoende informatie door gemeente (detail),Nieuwe ingrepen en plannen in gemeente/stad,2017,0.17,0.17,0.66
 Begijnendijk ,24007,nee,Voldoende informatie door gemeente (detail),Nieuwe ingrepen en plannen in gemeente/stad,2020,0.15,0.15,0.7
 Begijnendijk ,24007,nee,Voldoende informatie door gemeente (detail),Voorzieningen,2020,0.07,0.19,0.74
 Bekkevoort ,24008,nee,Voldoende informatie door gemeente (detail),Activiteiten,2017,0.06,0.13,0.8
 Bekkevoort ,24008,nee,Voldoende informatie door gemeente (detail),Activiteiten,2020,0.1,0.15,0.75
 Bekkevoort ,24008,nee,Voldoende informatie door gemeente (detail),Beslissingen van het gemeente-/stadsbestuur,2017,0.19,0.24,0.57
 Bekkevoort ,24008,nee,Voldoende informatie door gemeente (detail),Beslissingen van het gemeente-/stadsbestuur,2020,0.23,0.24,0.54
 Bekkevoort ,24008,nee,Voldoende informatie door gemeente (detail),Nieuwe ingrepen en plannen in gemeente/stad,2017,0.13,0.14,0.73
 Bekkevoort ,24008,nee,Voldoende informatie door gemeente (detail),Nieuwe ingrepen en plannen in gemeente/stad,2020,0.15,0.16,0.69
 Bekkevoort ,24008,nee,Voldoende informatie door gemeente (detail),Voorzieningen,2020,0.11,0.19,0.69
 Beringen ,71004,nee,Voldoende informatie door gemeente (detail),Activiteiten,2017,0.12,0.18,0.7
 Beringen ,71004,nee,Voldoende informatie door gemeente (detail),Activiteiten,2020,0.08,0.16,0.76
 Beringen ,71004,nee,Voldoende informatie door gemeente (detail),Beslissingen van het gemeente-/stadsbestuur,2017,0.31,0.25,0.43
 Beringen ,71004,nee,Voldoende informatie door gemeente (detail),Beslissingen van het gemeente-/stadsbestuur,2020,0.25,0.26,0.49
 Beringen ,71004,nee,Voldoende informatie door gemeente (detail),Nieuwe ingrepen en plannen in gemeente/stad,2017,0.21,0.26,0.53
 Beringen ,71004,nee,Voldoende informatie door gemeente (detail),Nieuwe ingrepen en plannen in gemeente/stad,2020,0.17,0.21,0.63
 Beringen ,71004,nee,Voldoende informatie door gemeente (detail),Voorzieningen,2020,0.14,0.22,0.64
 Berlaar ,12002,nee,Voldoende informatie door gemeente (detail),Activiteiten,2017,0.07,0.18,0.75
 Berlaar ,12002,nee,Voldoende informatie door gemeente (detail),Activiteiten,2020,0.07,0.15,0.77
 Berlaar ,12002,nee,Voldoende informatie door gemeente (detail),Beslissingen van het gemeente-/stadsbestuur,2017,0.25,0.27,0.48
 Berlaar ,12002,nee,Voldoende informatie door gemeente (detail),Beslissingen van het gemeente-/stadsbestuur,2020,0.24,0.21,0.55
 Berlaar ,12002,nee,Voldoende informatie door gemeente (detail),Nieuwe ingrepen en plannen in gemeente/stad,2017,0.15,0.23,0.62
 Berlaar ,12002,nee,Voldoende informatie door gemeente (detail),Nieuwe ingrepen en plannen in gemeente/stad,2020,0.15,0.17,0.68
 Berlaar ,12002,nee,Voldoende informatie door gemeente (detail),Voorzieningen,2020,0.11,0.17,0.72
 Berlare ,42003,nee,Voldoende informatie door gemeente (detail),Activiteiten,2017,0.1,0.11,0.79
 Berlare ,42003,nee,Voldoende informatie door gemeente (detail),Activiteiten,2020,0.07,0.16,0.77
 Berlare ,42003,nee,Voldoende informatie door gemeente (detail),Beslissingen van het gemeente-/stadsbestuur,2017,0.3,0.26,0.44
 Berlare ,42003,nee,Voldoende informatie door gemeente (detail),Beslissingen van het gemeente-/stadsbestuur,2020,0.28,0.29,0.43
 Berlare ,42003,nee,Voldoende informatie door gemeente (detail),Nieuwe ingrepen en plannen in gemeente/stad,2017,0.2,0.2,0.59
 Berlare ,42003,nee,Voldoende informatie door gemeente (detail),Nieuwe ingrepen en plannen in gemeente/stad,2020,0.22,0.2,0.58
 Berlare ,42003,nee,Voldoende informatie door gemeente (detail),Voorzieningen,2020,0.09,0.2,0.71
 Bertem ,24009,nee,Voldoende informatie door gemeente (detail),Activiteiten,2017,0.07,0.11,0.82
 Bertem ,24009,nee,Voldoende informatie door gemeente (detail),Activiteiten,2020,0.08,0.11,0.81
 Bertem ,24009,nee,Voldoende informatie door gemeente (detail),Beslissingen van het gemeente-/stadsbestuur,2017,0.26,0.23,0.51
 Bertem ,24009,nee,Voldoende informatie door gemeente (detail),Beslissingen van het gemeente-/stadsbestuur,2020,0.26,0.26,0.48
 Bertem ,24009,nee,Voldoende informatie door gemeente (detail),Nieuwe ingrepen en plannen in gemeente/stad,2017,0.16,0.16,0.68
 Bertem ,24009,nee,Voldoende informatie door gemeente (detail),Nieuwe ingrepen en plannen in gemeente/stad,2020,0.18,0.15,0.66
 Bertem ,24009,nee,Voldoende informatie door gemeente (detail),Voorzieningen,2020,0.1,0.16,0.74
 Bever ,23009,nee,Voldoende informatie door gemeente (detail),Activiteiten,2017,0.08,0.11,0.81
 Bever ,23009,nee,Voldoende informatie door gemeente (detail),Activiteiten,2020,0.08,0.15,0.77
 Bever ,23009,nee,Voldoende informatie door gemeente (detail),Beslissingen van het gemeente-/stadsbestuur,2017,0.3,0.25,0.45
 Bever ,23009,nee,Voldoende informatie door gemeente (detail),Beslissingen van het gemeente-/stadsbestuur,2020,0.27,0.24,0.49
 Bever ,23009,nee,Voldoende informatie door gemeente (detail),Nieuwe ingrepen en plannen in gemeente/stad,2017,0.26,0.24,0.51
 Bever ,23009,nee,Voldoende informatie door gemeente (detail),Nieuwe ingrepen en plannen in gemeente/stad,2020,0.23,0.25,0.52
 Bever ,23009,nee,Voldoende informatie door gemeente (detail),Voorzieningen,2020,0.13,0.22,0.65
 Beveren ,46003,nee,Voldoende informatie door gemeente (detail),Activiteiten,2017,0.07,0.13,0.8
 Beveren ,46003,nee,Voldoende informatie door gemeente (detail),Activiteiten,2020,0.06,0.1,0.84
 Beveren ,46003,nee,Voldoende informatie door gemeente (detail),Beslissingen van het gemeente-/stadsbestuur,2017,0.19,0.23,0.58
 Beveren ,46003,nee,Voldoende informatie door gemeente (detail),Beslissingen van het gemeente-/stadsbestuur,2020,0.2,0.25,0.55
 Beveren ,46003,nee,Voldoende informatie door gemeente (detail),Nieuwe ingrepen en plannen in gemeente/stad,2017,0.12,0.15,0.73
 Beveren ,46003,nee,Voldoende informatie door gemeente (detail),Nieuwe ingrepen en plannen in gemeente/stad,2020,0.1,0.13,0.76
 Beveren ,46003,nee,Voldoende informatie door gemeente (detail),Voorzieningen,2020,0.09,0.16,0.75
 Bierbeek ,24011,nee,Voldoende informatie door gemeente (detail),Activiteiten,2017,0.04,0.11,0.85
 Bierbeek ,24011,nee,Voldoende informatie door gemeente (detail),Activiteiten,2020,0.05,0.07,0.88
 Bierbeek ,24011,nee,Voldoende informatie door gemeente (detail),Beslissingen van het gemeente-/stadsbestuur,2017,0.12,0.21,0.67
