Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Oneens (%),Neutraal (%),Eens (%)
 De Panne ,38008,nee,Tevredenheid over digitale dienstverlening ,2017,0.07,0.28,0.65
 De Panne ,38008,nee,Tevredenheid over digitale dienstverlening ,2020,0.07,0.19,0.74
 De Pinte ,44012,nee,Tevredenheid over digitale dienstverlening ,2017,0.06,0.21,0.72
 De Pinte ,44012,nee,Tevredenheid over digitale dienstverlening ,2020,0.07,0.14,0.79
 Deerlijk ,34009,nee,Tevredenheid over digitale dienstverlening ,2017,0.06,0.21,0.73
 Deerlijk ,34009,nee,Tevredenheid over digitale dienstverlening ,2020,0.12,0.22,0.66
 Deinze ,44011,nee,Tevredenheid over digitale dienstverlening ,2017,0.09,0.27,0.64
 Deinze ,44083,nee,Tevredenheid over digitale dienstverlening ,2020,0.09,0.25,0.66
 Denderleeuw ,41011,nee,Tevredenheid over digitale dienstverlening ,2017,0.1,0.32,0.58
 Denderleeuw ,41011,nee,Tevredenheid over digitale dienstverlening ,2020,0.05,0.28,0.67
 Dendermonde ,42006,nee,Tevredenheid over digitale dienstverlening ,2017,0.1,0.25,0.64
 Dendermonde ,42006,nee,Tevredenheid over digitale dienstverlening ,2020,0.1,0.19,0.71
 Dentergem ,37002,nee,Tevredenheid over digitale dienstverlening ,2017,0.11,0.3,0.59
 Dentergem ,37002,nee,Tevredenheid over digitale dienstverlening ,2020,0.16,0.3,0.54
 Dessel ,13006,nee,Tevredenheid over digitale dienstverlening ,2017,0.05,0.26,0.69
 Dessel ,13006,nee,Tevredenheid over digitale dienstverlening ,2020,0.11,0.23,0.65
 Destelbergen ,44013,nee,Tevredenheid over digitale dienstverlening ,2017,0.09,0.28,0.63
 Destelbergen ,44013,nee,Tevredenheid over digitale dienstverlening ,2020,0.08,0.22,0.7
 Diepenbeek ,71011,nee,Tevredenheid over digitale dienstverlening ,2017,0.07,0.29,0.64
 Diepenbeek ,71011,nee,Tevredenheid over digitale dienstverlening ,2020,0.07,0.22,0.71
 Diest ,24020,nee,Tevredenheid over digitale dienstverlening ,2017,0.07,0.27,0.66
 Diest ,24020,nee,Tevredenheid over digitale dienstverlening ,2020,0.08,0.18,0.74
 Diksmuide ,32003,nee,Tevredenheid over digitale dienstverlening ,2017,0.06,0.33,0.61
 Diksmuide ,32003,nee,Tevredenheid over digitale dienstverlening ,2020,0.08,0.21,0.71
 Dilbeek ,23016,nee,Tevredenheid over digitale dienstverlening ,2017,0.11,0.32,0.57
 Dilbeek ,23016,nee,Tevredenheid over digitale dienstverlening ,2020,0.09,0.27,0.64
 Dilsen-Stokkem ,72041,nee,Tevredenheid over digitale dienstverlening ,2017,0.11,0.24,0.65
 Dilsen-Stokkem ,72041,nee,Tevredenheid over digitale dienstverlening ,2020,0.06,0.22,0.72
 Drogenbos ,23098,nee,Tevredenheid over digitale dienstverlening ,2017,0.06,0.27,0.66
 Drogenbos ,23098,nee,Tevredenheid over digitale dienstverlening ,2020,0.09,0.33,0.58
 Duffel ,12009,nee,Tevredenheid over digitale dienstverlening ,2017,0.07,0.21,0.72
 Duffel ,12009,nee,Tevredenheid over digitale dienstverlening ,2020,0.11,0.18,0.72
 Edegem ,11013,nee,Tevredenheid over digitale dienstverlening ,2017,0.06,0.18,0.77
 Edegem ,11013,nee,Tevredenheid over digitale dienstverlening ,2020,0.09,0.17,0.74
 Eeklo ,43005,nee,Tevredenheid over digitale dienstverlening ,2017,0.05,0.35,0.6
 Eeklo ,43005,nee,Tevredenheid over digitale dienstverlening ,2020,0.14,0.29,0.57
 Erpe-Mere ,41082,nee,Tevredenheid over digitale dienstverlening ,2017,0.09,0.26,0.64
 Erpe-Mere ,41082,nee,Tevredenheid over digitale dienstverlening ,2020,0.14,0.22,0.64
 Essen ,11016,nee,Tevredenheid over digitale dienstverlening ,2017,0.05,0.19,0.76
 Essen ,11016,nee,Tevredenheid over digitale dienstverlening ,2020,0.08,0.23,0.69
 Evergem ,44019,nee,Tevredenheid over digitale dienstverlening ,2017,0.06,0.23,0.71
 Evergem ,44019,nee,Tevredenheid over digitale dienstverlening ,2020,0.07,0.18,0.75
 Galmaarden ,23023,nee,Tevredenheid over digitale dienstverlening ,2017,0.23,0.31,0.46
 Galmaarden ,23023,nee,Tevredenheid over digitale dienstverlening ,2020,0.15,0.25,0.6
 Gavere ,44020,nee,Tevredenheid over digitale dienstverlening ,2017,0.15,0.24,0.61
 Gavere ,44020,nee,Tevredenheid over digitale dienstverlening ,2020,0.08,0.27,0.65
 Geel ,13008,nee,Tevredenheid over digitale dienstverlening ,2017,0.12,0.3,0.58
 Geel ,13008,nee,Tevredenheid over digitale dienstverlening ,2020,0.12,0.19,0.69
 Geetbets ,24028,nee,Tevredenheid over digitale dienstverlening ,2017,0.08,0.27,0.65
 Geetbets ,24028,nee,Tevredenheid over digitale dienstverlening ,2020,0.12,0.26,0.62
 Genk ,71016,ja,Tevredenheid over digitale dienstverlening ,2020,0.08,0.16,0.76
 Gent ,44021,ja,Tevredenheid over digitale dienstverlening ,2020,0.09,0.2,0.7
 Geraardsbergen ,41018,nee,Tevredenheid over digitale dienstverlening ,2017,0.13,0.35,0.52
 Geraardsbergen ,41018,nee,Tevredenheid over digitale dienstverlening ,2020,0.15,0.29,0.56
 Gingelom ,71017,nee,Tevredenheid over digitale dienstverlening ,2017,0.06,0.24,0.7
 Gingelom ,71017,nee,Tevredenheid over digitale dienstverlening ,2020,0.11,0.18,0.71
 Gistel ,35005,nee,Tevredenheid over digitale dienstverlening ,2017,0.11,0.32,0.58
 Gistel ,35005,nee,Tevredenheid over digitale dienstverlening ,2020,0.09,0.21,0.7
 Glabbeek ,24137,nee,Tevredenheid over digitale dienstverlening ,2017,0.08,0.18,0.75
 Glabbeek ,24137,nee,Tevredenheid over digitale dienstverlening ,2020,0.09,0.15,0.76
 Gooik ,23024,nee,Tevredenheid over digitale dienstverlening ,2017,0.06,0.24,0.7
 Gooik ,23024,nee,Tevredenheid over digitale dienstverlening ,2020,0.09,0.19,0.72
 Grimbergen ,23025,nee,Tevredenheid over digitale dienstverlening ,2017,0.14,0.27,0.59
 Grimbergen ,23025,nee,Tevredenheid over digitale dienstverlening ,2020,0.22,0.25,0.53
 Grobbendonk ,13010,nee,Tevredenheid over digitale dienstverlening ,2017,0.05,0.24,0.71
 Grobbendonk ,13010,nee,Tevredenheid over digitale dienstverlening ,2020,0.05,0.19,0.76
 Haacht ,24033,nee,Tevredenheid over digitale dienstverlening ,2017,0.1,0.22,0.68
 Haacht ,24033,nee,Tevredenheid over digitale dienstverlening ,2020,0.09,0.2,0.71
 Haaltert ,41024,nee,Tevredenheid over digitale dienstverlening ,2017,0.09,0.28,0.63
 Haaltert ,41024,nee,Tevredenheid over digitale dienstverlening ,2020,0.15,0.25,0.6
 Halen ,71020,nee,Tevredenheid over digitale dienstverlening ,2017,0.16,0.31,0.53
 Halen ,71020,nee,Tevredenheid over digitale dienstverlening ,2020,0.09,0.27,0.63
 Halle ,23027,nee,Tevredenheid over digitale dienstverlening ,2017,0.1,0.36,0.54
 Halle ,23027,nee,Tevredenheid over digitale dienstverlening ,2020,0.12,0.24,0.64
 Ham ,71069,nee,Tevredenheid over digitale dienstverlening ,2017,0.08,0.21,0.71
 Ham ,71069,nee,Tevredenheid over digitale dienstverlening ,2020,0.1,0.25,0.65
 Hamme ,42008,nee,Tevredenheid over digitale dienstverlening ,2017,0.1,0.28,0.62
 Hamme ,42008,nee,Tevredenheid over digitale dienstverlening ,2020,0.11,0.2,0.68
 Hamont-Achel ,72037,nee,Tevredenheid over digitale dienstverlening ,2017,0.08,0.25,0.67
