default.title;default.description;default.theme;default.keyword;default.license;default.license_url;default.language;default.metadata_languages;default.timezone;default.modified;default.modified_updates_on_metadata_change;default.modified_updates_on_data_change;default.data_processed;default.metadata_processed;default.geographic_reference;default.geographic_reference_auto;default.territory;default.geometry_types;default.bbox;default.publisher;default.references;default.records_count;default.attributions;default.source_domain;default.source_domain_title;default.source_domain_address;default.source_dataset;default.shared_catalog;default.federated;default.oauth_scope;default.parent_domain;custom.update2;datasetid
Lijst en geografische positie van de overwegen;"<p>
	Deze dataset bevat de geografische positie van de in dienst zijnde openbare overwegen op de reizigersspoorlijnen op het spoornet van Infrabel. </p><p>
	 Overwegen zijn plaatsen waar de sporen en de openbare weg elkaar kruisen. Hieronder een korte toelichting over de beschikbare overwegen in deze dataset:</p>
	 <ul>
	
		<li><strong>Overwegen op het spoornet van Infrabel:</strong> niet alle overwegen behoren tot het spoornet van Infrabel. Overwegen op toeristische lijnen, bepaalde kruispunten in havengebieden, ... vallen onder het beheer van andere actoren.</li>	
		<li><strong>Openbare overwegen:</strong> deze overwegen bevinden zich op de openbare weg. De overwegen die enkel door bepaalde bevoegde personen mogen worden gebruikt, horen hier niet bij.</li></ul>
		
	<p> Waar auto’s, fietsers en voetgangers de sporen moeten oversteken, is er altijd een risico op een ongeval, want een trein kan niet zomaar stoppen. De beste manier om ongevallen aan overwegen te voorkomen is kruisingen van de weg door sporen af te schaffen. Daarom wil Infrabel, waar het kan, zoveel mogelijk overwegen vervangen door een brug, tunnel, parallelweg of fietspad. 
	<a href=""https://www.infrabel.be/nl/veiligheid#ongevallen-aan-overwegen"">Voor meer informatie over de veiligheid aan overwegen kan je terecht op de website van Infrabel.</a></p>
	
	<p><strong>Opmerking: </strong>Deze dataset bevat geen tijdelijke afsluitingen van overwegen. Bovendien wordt deze lijst driemaandelijks bijgewerkt. Infrabel schaft ieder jaar overwegen af, dus is het mogelijk dat sommige overwegen die in deze lijst voorkomen, inmiddels afgeschaft zijn.</p>
	
	<p> <strong>Goed om te weten:</strong></p>
	<p> 	Er zijn verschillende soorten overwegsignalisatie; deze zijn opgenomen in de dataset.</p><ul>
	
<li><strong>Overweg met passieve signalisatie:</strong> aan de overweg staat een sint-andrieskruis maar er zijn geen lichtseinen noch slagbomen om een naderende trein aan te kondigen.</li>	
<li><strong>Overweg met actieve signalisatie:</strong> lichtseinen verwittigen de weggebruikers voor een naderende trein.</li>	
<li><strong>Overweg met gedeeltelijke afsluiting:</strong> systeem met slagbomen die zich aan weerszijden van de sporen bevinden en de openbare weg gedeeltelijk afsluiten.</li>	
<li><strong>Overweg met volledige afsluiting:</strong> systeem met slagbomen die zich aan weerszijden van de sporen bevinden en de openbare weg volledig afsluiten.</li></ul>";Infrastructuur,Geolocatie;Overweg,Geolocalisatie,Veiligheid;Open licentie CC0 - Universeel;https://infrabel.opendatasoft.com/pages/license/;nl;nl,fr,en;;2022-07-05T14:23:11.836000+00:00;True;True;2024-01-16T07:01:08+00:00;2024-02-01T02:24:25.699000+00:00;world;True;World;Point;"{""coordinates"": [[[6.030027810484171, 51.46908363327384], [2.603079490363598, 51.46908363327384], [2.603079490363598, 49.547620634548366], [6.030027810484171, 49.547620634548366], [6.030027810484171, 51.46908363327384]]], ""type"": ""Polygon""}";Traffic Management and Services;;1417;Infrabel;;;;;;True;;;Tweewekelijks - Bimensuel - Bi-weekly;geoow
Stiptheid van de goederentreinen;<p>Maandelijkse stiptheid van alle goederentreinen op het Infrabel netwerk bij aankomst op eindbestemming, gemeten op 30 minuten en gemeten op 60 minuten vertraging.</p>;Traffic beheer;Stiptheid,Goederenvervoer;Open licentie CC0 - Universeel;https://infrabel.opendatasoft.com/pages/license/;nl;nl,fr,en;;2024-01-12T10:00:00+00:00;False;False;2024-01-12T10:02:14+00:00;2024-02-01T02:24:14.757000+00:00;world_be;True;Belgium;;;Traffic Management and Services;;96;Infrabel;;;;;;True;;;Maandelijks - Mensuel - Monthly;stiptheid-van-de-goederentreinen
Railprofiel op hoofdsporen;"<p><span style=""font-size: 12.495px;"">Kilometers hoofdsporen per railprofiel sinds 2006. Op de hoofdsporen vindt men meestal profielen 50E2(50 kg per meter) en 60E1 (60 kg per meter).</span></p><p><span style=""font-size: 12.495px;"">Bij de geleidelijke spoorstaafvernieuwing in de hoofdspooren worden de oude profielen vervangen door het profiel 60E1. De veralgemening van spoorstaven met profiel 60E1 wordt gerechtvaardigd door:-gunstige aankoopvoorwaarden, en-de grotere stabiliteit en duurzaamheid van dit profiel (langere levensduur, minder neiging tot spoorstaafbreuk enz.).</span></p><p><span style=""font-size: 12.495px;"">De huidige benaming van de profielen is gebaseerd op de Europese normen..</span></p>";Infrastructuur;Hoofdsporen,Sporen;Open licentie CC0 - Universeel;https://infrabel.opendatasoft.com/pages/license/;nl;nl,fr,en;;2022-07-05T14:23:04.995000+00:00;True;True;2023-03-22T08:42:51+00:00;2024-02-01T02:24:22.472000+00:00;world_be;True;Belgium;;;Assets Management;;51;Infrabel;;;;;;True;;;Jaarlijks - Annuel - Yearly;railprofiel-op-hoofdsporen
Maandelijkse bestanden met ruwe gegevens van stiptheid;"<p>
	Ruwe gegevens van vertrek en aankomst van (nationale en internationale) reizigerstreinen op al hun stations per treinnummer en met hun relaties, sinds januari 2014 per maandelijkse bestanden.</p><p>
	Vertragingen worden aangegeven in seconden, ""negatieve"" vertragingen zijn het gevolg van een eerder vertrek of een eerdere  aankomst dan verwacht bij de halte.</p><p>
	Hieronder vinden jullie meer informatie over de velden in de bestanden. De structuur is dezelfde als in <a href=""https://infrabel.opendatasoft.com/explore/dataset/ruwe-gegevens-van-stiptheid-d-1"">de dagelijkse dataset</a></p><ul>
<li>DATDEP - Datum van vertrek
</li><li>
	TRAIN_NO - Treinnummer
</li><li>
	RELATION - Relatie
</li><li>
	TRAIN_SERV - Spoorwegoperatoren
</li><li>
	PTCAR_NO - Nummer van meetpunt
</li><li>
	LINE_NO_DEP - Spoorlijn van vertrek
</li><li>
	REAL_TIME_ARR - Uur van reële aankomst
</li><li>
	REAL_TIME_DEP - Uur van reële vertrek
</li><li>
	PLANNED_TIME_ARR - Uur van geplande aankomst
</li><li>
	PLANNED_TIME_DEP - Uur van geplande vertrek
</li><li>
	DELAY_ARR - Vertraging bij aankomst
</li><li>
	DELAY_DEP - Vertraging bij vertrek
</li><li>
	RELATION_DIRECTION - Richting van de relatie
</li><li>
	PTCAR_LG_NM_NL - Naam van de halte
</li><li>
	LINE_NO_ARR - Spoorlijn van aankomst
</li><li>
	PLANNED_DATE_ARR - Datum van geplande aankomst
</li><li>
	PLANNED_DATE_DEP - Datum van geplande vertrek
</li><li>
	REAL_DATE_ARR - Datum van reële aankomst
</li><li>
	REAL_DATE_DEP - Datum van reële vertrek</li></ul>";Traffic beheer;Stiptheid,Reizigers;Open licentie CC0 - Universeel;https://infrabel.opendatasoft.com/pages/license/;nl;nl,fr,en;;2024-01-12T10:00:00+00:00;False;False;2024-01-12T09:38:02+00:00;2024-02-01T02:24:18.263000+00:00;world_be;True;Belgium;;;Traffic Management and Services;;120;Infrabel;;;;;;True;;;Maandelijks - Mensuel - Monthly;stiptheid-gegevens-maandelijksebestanden
Evolutie van treinkilometers;<p>Als statistisch gegeven over het spoorverkeer op ons netwerk, komen treinkilometers overeen met de afgelegde afstand in kilometers, vermenigvuldigd met het aantal ritten. Deze gegevens worden momenteel door verschillende instanties gebruikt om de ontwikkeling van het spoorverkeer te analyseren. </p><p>De data tonen de volgende trein-km</p><ul> <li><strong>Effectief</strong>: die door Infrabel ingepland zijn en die effectief gebruikt worden door de kandidaten.</li><li><strong>Niet-effectief</strong>: die door Infrabel ingepland zijn maar die niet gebruikt worden door de kandidaten. </li></ul>;Klanten en producten;Trein-km,Spoorverkeer,Reizigers,Goederenvervoer;Open licentie CC0 - Universeel;https://infrabel.opendatasoft.com/pages/license/;nl;nl,fr,en;;2022-07-05T14:22:58.105000+00:00;True;True;2024-01-20T11:00:46+00:00;2024-02-01T02:24:21.829000+00:00;world_be;True;Belgium;;;Traffic Management and Services;;510;Infrabel;;;;;;True;;;Driemaandelijks - Trimestriel - Quarterly;evolutie-van-treinkilometers
IT-opslaginfrastructuren bij Infrabel;<p>Kwartaalstatistieken over de IT-infrastructuur van Infrabel, die wordt gebruikt om de informatie van Infrabel en zijn klanten op te slaan, uitgedrukt in aantal racks, servers, databanken en Teraoctets.</p>;Infrastructuur;IT;Open licentie CC0 - Universeel;https://infrabel.opendatasoft.com/pages/license/;nl;nl,fr,en;;2022-07-05T14:22:37.640000+00:00;True;True;2023-10-19T08:30:21+00:00;2024-02-01T02:24:11.975000+00:00;;False;;;;ICT;;28;Infrabel;;;;;;True;;;Driemaandelijks - Trimestriel - Quarterly;it-storage
Kunstwerken per type;"<p>Evolutie per jaar van het aantal kunstwerken beheerd door Infrabel, per type en area sinds 2012.</p><p>Kunstwerken : Bouwwerken die behorend tot het domein van civiele techniek (brug, steunmuur of beschermingsconstructie) nodig voor het aanleggen van sporen en hun bedding of dat door het aanleggen daarvan noodzakelijk is geworden</p>
<p><b>Type van kunstwerken en beschrijving :</b></p>
<dl>
<dt><b>Onderbrugging</b></dt>
<dd>Civil construction met een opening groter dan of gelijk aan 2 m voorzien voor de overtocht van een of meerdere spoorlijnen en waarvoor het kruisend verkeer zich op een lager niveau dan de spoorlijn bevindt.</dd>

<dt><b>Overbrugging</b></dt>
<dd>Civil construction bestemd voor autoverkeer of spoorwegverkeer met een lengte kleiner dan 100 m en waarvoor het kruisend verkeer zich op een hoger niveau dan de spoorlijn bevindt.</dd>

<dt><b>Doorgang onder sporen</b></dt>
<dd>Onderbrugging, exclusief gereserveerd voor niet-gemotoriseerde gebruikers.</dd>

<dt><b>Voetbrug</b></dt>
<dd>Overbrugging, exclusief gereserveerd voor niet gemotoriseerde gebruikers.</dd>

<dt><b>Duiker</b></dt>
<dd>Klein bouwwerk waarvan de opening groter dan of gelijk aan 60 cm en kleiner dan 2 m bedraagt.</dd>

<dt><b>Doorsteek</b></dt>
<dd>Klein bouwwerk waarvan de opening groter dan of gelijk aan 30 cm en kleiner dan 60 cm bedraagt.</dd>

<dt><b>Tunnel</b></dt>
<dd>Overbrugging waarvan de lengte groter dan of gelijk aan 100 m bedraagt.</dd>

<dt><b>Steunmuur</b></dt>
<dd>Muur, scherm of wand met een ondersteunende functie, m.a.w. het niveau van het maaiveld is verschillend aan beide kanten van de wand. Verankerde taluds behoren ook tot dit type.</dd>

<dt><b>Rotswand</b></dt>
<dd>Geologische formatie waarvan de aard een veel steiler talud toelaat dan een normaal talud in volle grond. Daarom is de rotswand gevoelig voor verzakkingen met het risico van vallende stenen op het spoorwegplatform. Een rotswand kan al dan niet versterkt zijn. Men spreekt van een versterkte rotswand indien er werken uitgevoerd werden om de stabiliteit van de rotswand te garanderen.</dd>

<dt><b>Geluidsmuur</b></dt>
<dd>Muur, scherm of wand langs de spoorwegen die alleen een akoestische functie heeft om de geluidsoverlast ten gevolge van treinverkeer te verminderen.</dd>

<dt><b>Bufferbekken</b></dt>
<dd>Beschikbaar volume om water te stockeren met als doel in geval van storm of vloed de overstroming van de beschermde infrastructuur te vermijden.</dd>
</dl>";Infrastructuur;Kunstwerken,Bruggen;Open licentie CC0 - Universeel;https://infrabel.opendatasoft.com/pages/license/;nl;nl,fr,en;;2022-07-05T14:22:34.125000+00:00;True;True;2023-10-19T08:33:51+00:00;2024-02-01T02:24:11.194000+00:00;world_be;True;Belgium;;;Assets Management;;528;Infrabel;;;;;;True;;;Jaarlijks - Annuel - Yearly;kunstwerken
Evolutie van het aantal lichtseinen op het Infrabel-netwerk;"<p><span style=""font-size: 12.495px;"">Jaarlijkse evolutie van het aantal grote en kleine stopseinen op het Infrabel-netwerk.</span></p><p><span style=""font-size: 12.495px;""><b>Klein of groot, wat is het verschil?</b></span></p><p><span style=""font-size: 12.495px;"">Grote seinen zijn lichtseinen die altijd verhoogd zijn opgesteld en die zich richten tot de grote of kleine bewegingen. De verwittigingsseinen maken deel uit van deze categorie.</span></p><p><span style=""font-size: 12.495px;"">Kleine stopseinen zijn lichtseinen die gelijkgronds zijn opgesteld en die zich richten tot de kleine bewegingen door vast brandende, witte lichten.</span></p><div><span style=""font-size: 12.495px;"">Deze seinen zijn een zeer belangrijk element voor de veiligheid en het beheer van het spoorverkeer. </span><br/></div>";Infrastructuur;Seinen,Veiligheid,Traffic beheer;Open licentie CC0 - Universeel;https://infrabel.opendatasoft.com/pages/license/;nl;nl,fr,en;;2022-07-05T14:23:03.355000+00:00;True;True;2023-10-19T08:26:35+00:00;2024-02-01T02:24:22.460000+00:00;world_be;True;Belgium;;;Assets Management;;168;Infrabel;;;;;;True;;;Jaarlijks - Annuel - Yearly;evolutie-van-het-aantal-lichtseinen-op-het-infrabel-netwerk
Open vacatures bij Infrabel;"<p>Metadata van de huidige openstaande vacatures bij Infrabel, inclusief de tewerkstellingsplaatsen in een herbruikbaar formaat voor kaartweergave. Deze worden dagelijks bijgewerkt.</p>
<p>Elke dag bouwen meer dan 9.000 collega's mee aan een betrouwbaar spoornet dat beantwoordt aan de uitdagingen van duurzame mobiliteit. Wil je een unieke baan vinden in een innovatief bedrijf met een mooi carrièrepad? Meer informatie over Infrabel als werkgever en een volledige beschrijving van alle beschikbare vacatures vind je op  <button class=""btn"" style=""text-align:left; background-color:#02BCF0; border:none; padding:5px;border-radius: 2px;box-shadow: 0 2px 5px rgba(7,22,37,0.3); margin-bottom:10px;""><a href=""https://jobs.infrabel.be/nl/?locale=nl_NL"" style=""color:white;"">https://jobs.infrabel.be</a></button></p>

<img alt=""Infrabel is Top Employer 2023 gecertificeerd"" src=""/assets/theme_image/TopEmployer2023.gif""/>
<p>Infrabel is 'Top Employer 2023' gecertificeerd !</p>
<a href=""https://www.top-employers.com/fr/globalcompanyprofiles/infrabel/"">Meer weten</a><p><br/>

<p>Opmerkingen over het hergebruik van gegevens:</p>
<ul>
 <li>Alle vacatures worden vermeld, ongeacht de taal van de interface. De taalrol wordt ingevuld en overgenomen in de filter. </li>
<li>Een geolocatiepunt wordt voorgesteld voor de vacatures waarvan het exacte adres van tewerkstelling is bekend. </li>
<li>Vacatures die voor meerdere plaatsen gelden, worden gedupliceerd om de filtering van de gegevens en een coherentere weergave van de geoshape van de gemeenten op een kaart mogelijk te maken. </li>
<li>Alleen de openstaande vacatures worden in deze dataset gepubliceerd. De gegevens worden elke ochtend rond 7 uur bijgewerkt.</li>
<li>Deze datasets laten niet toe om statistieken op te stellen over vacatures of aanwervingen bij Infrabel. </li>
</ul></p>";Human resources,Geolocatie;Vacatures,Recrutering;Open licentie CC0 - Universeel;https://infrabel.opendatasoft.com/pages/license/;nl;nl,fr,en;;2023-10-20T06:32:18.600000+00:00;True;True;2024-01-31T23:01:39+00:00;2024-02-01T02:24:26.625000+00:00;world_be;False;Belgium;MultiPolygon,Polygon;"{""coordinates"": [[[5.8059087954461575, 51.37763937469572], [2.898505786433816, 51.37763937469572], [2.898505786433816, 49.65318781323731], [5.8059087954461575, 49.65318781323731], [5.8059087954461575, 51.37763937469572]]], ""type"": ""Polygon""}";Human Resources and Organization and HRRail;;267;Infrabel;;;;;;True;;;Dagelijks - Quotidien - Daily;joblistinfrabel
Lijst en geografische voorstelling van de hoofdsporen;"<p>
	Lijst en geografische beschrijving van de hoofdsporen die een lijnnummer hebben. (bv: L50A).</p><p>
	Nota : 
	<a href=""https://infrabel.opendatasoft.com/explore/dataset/geografische-positie-van-alle-spoorsegmenten"">Een andere dataset geeft de geografische beschrijving van alle sporen op het Infrabel-netwerk</a>.</p><p>
	Deze dataset is verbonden met de volgende datasets:</p><ul>
	<li><a href=""https://infrabel.opendatasoft.com/explore/dataset/geografische-positie-van-alle-spoorsegmenten"">Lijst en geografische voorstelling van alle spoorsegmenten</a>: Geografische beschrijving van alle spoorsegmenten op het Infrabel-netwerk, niet enkel hoofdsporen.</li>	<li><a href=""https://infrabel.opendatasoft.com/explore/dataset/kilometerpalen-op-het-netwerk/"">Kilometerpalen op het netwerk</a>: Posities van kilometerpalen langsheen het spoorwegnetwerk.</li>	<li> <a href=""https://infrabel.opendatasoft.com/explore/dataset/relatie-tussen-kilometerpalen-en-lijnen"">Relatie tussen kilometerpalen en lijnen</a>: Geeft aan voor welk hoofdspoor (van een lijn) de kilometerpaal van toepassing is.</li>	</ul><p><strong>Belangrijke nota :</strong></p><div>De gegevens worden beheerd in het Lambert72 (EPSG 31370) coördinatensysteem en geven de geografische voorstelling van de sporen met een nauwkeurigheid van 10cm tot 1m, naargelang de locatie.</div><div>Om een kaartweergave op deze site mogelijk te maken, zijn deze gegevens omgezet naar WGS84. Dit veroorzaakt een klein verlies aan nauwkeurigheid.</div><div>In de tab ""Exporteren"" kunt u de gegevens met het Lambert72 (in GeoJSON) en met het WGS84 coördinatensysteem downloaden.</div>";Infrastructuur,Geolocatie;Geolocalisatie,Lijnen,Sporen,Hoofdsporen;Open licentie CC0 - Universeel;https://infrabel.opendatasoft.com/pages/license/;nl;nl,fr,en;;2022-07-05T14:22:38.389000+00:00;True;True;2023-07-10T08:53:48+00:00;2024-02-01T02:24:12.235000+00:00;world_be;False;Belgium;LineString,MultiLineString;"{""coordinates"": [[[6.15250694565475, 51.48595929611474], [2.5975457578897476, 51.48595929611474], [2.5975457578897476, 49.54626850783825], [6.15250694565475, 49.54626850783825], [6.15250694565475, 51.48595929611474]]], ""type"": ""Polygon""}";Assets Management;;1016;Infrabel;;;;;;True;;;Halfjaarlijks - Semestriel - Half-yearly;geosporen
Modal Shift indicator voor het goederenvervoer;"<p>Evolutie in duizend ton van het nettogewicht van de goederen die per spoor, over de weg, over de Belgische waterwegen en via de Belgische luchthavens worden vervoerd. </p><p>Om de huidige situatie van het goederenvervoer per spoor beter te kunnen inschatten, heeft Infrabel zijn kernindicator, namelijk het jaarlijkse vervoerde nettogewicht op zijn net, vergeleken met andere beschikbare Belgische indicatoren.
</p>
<p>Deze dataset verzamelt de gegevens afkomstig van de volgende bronnen:</p>
<ul>

<li><b>Jaarlijkse evolutie van netto tonnage</b>: Open Data gegevens van Infrabel over de jaarlijkse evolutie van het netto tonnage vervoerd over het spoor.
</li>

<li><b>Goederenvervoer over de weg</b>: deze gegevens zijn afkomstig van Statbel. Het gaat om het goederenvervoer over de weg (op Belgisch en buitenlands grondgebied) door in België ingeschreven voertuigen met een nuttig laadvermogen van minstens 1 ton. <a href=""https://statbel.fgov.be/nl/themas/mobiliteit/vervoer/goederenvervoer-over-de-weg"">Meer info op de website van Statbel</a>.</li>

<li><b>Binnenscheepvaart van goederen</b>: deze gegevens zijn afkomstig van Statbel. Deze cijfers hebben betrekking op de binnenvaart van alle schepen op de Belgische binnenwateren, ook die uit het buitenland. <a href=""https://statbel.fgov.be/nl/themas/mobiliteit/vervoer/binnenscheepvaart"">Meer info op de site van Statbel</a>.
</li>

<li><b>Luchtvrachtvervoer</b>: Deze gegevens zijn afkomstig van de site van de <abbr title=""Federale Overheidsdienst"">FOD</abbr> Mobiliteit en Vervoer. Ze worden aangeleverd door de uitbaters van deze luchthavens. <a href=""https://mobilit.belgium.be/nl/luchtvaart/luchthavens_en_luchtvaartterreinen/statistieken"">Meer info op de FOD website</a>.</li>

</ul>
<p>De gegevens en het voorgestelde dashboard worden jaarlijks bijgewerkt.</p>
";Klanten en producten;Goederenvervoer;Open licentie CC0 - Universeel;https://infrabel.opendatasoft.com/pages/license/;nl;nl,fr,en;;2023-07-04T08:11:32.295000+00:00;True;True;2023-03-14T13:04:51+00:00;2024-02-01T02:24:10.359000+00:00;;False;;;;Traffic Management and Services;;46;Infrabel,Statbel,FOD Mobiliteit,SPF Mobilité;;;;;;True;;;Jaarlijks - Annuel - Yearly;indicator_modalshift
Personeelsverloop;<p>Aantal aangeworven en vertrokken personeelsleden per maand.</p><p>Disclaimer : de statistieken in deze dataset worden op maandbasis gepresenteerd, maar worden elke ochtend bijgewerkt na interne herberekeningen. Het is daarom mogelijk dat de cijfers enigszins afwijken, zowel voor de huidige periode - als die wordt gegeven - als voor eerdere periodes. </p><div><br/></div>;Human resources;Human resources;Open licentie CC0 - Universeel;https://infrabel.opendatasoft.com/pages/license/;nl;nl,fr,en;;2022-07-05T14:22:29.858000+00:00;True;True;2024-01-30T07:02:23+00:00;2024-02-01T02:24:10.550000+00:00;;False;;;;Human Resources and Organization;;146;Infrabel;;;;;;True;;;Maandelijks - Mensuel - Monthly;personeelsverloop
Verdeling van het personeel per leeftijdsgroep;<p>Personeel betaald door Infrabel, uitgedrukt in aantal personen en verdeeld per leeftijdsgroep.</p><p>Disclaimer : de statistieken in deze dataset worden op maandbasis gepresenteerd, maar worden elke ochtend bijgewerkt na interne herberekeningen. Het is daarom mogelijk dat de cijfers enigszins afwijken, zowel voor de huidige periode - als die wordt gegeven - als voor eerdere periodes. </p><div><br/></div>;Human resources;Human resources;Open licentie CC0 - Universeel;https://infrabel.opendatasoft.com/pages/license/;nl;nl,fr,en;;2022-07-05T14:23:01.254000+00:00;True;True;2024-01-30T07:02:26+00:00;2024-02-01T02:24:22.458000+00:00;;False;;;;Human Resources and Organization;;713;Infrabel;;;;;;True;;;Maandelijks - Mensuel - Monthly;verdeling-van-het-personeel-per-leeftijdsgroep
Belangrijkste incidenten en gevolgen voor de stiptheid;<p>Lijst van incidenten die in de loop van de maand meer dan 1.000 minuten vertraging bij reizigerstreinen hebben veroorzaakt. In de dataset is ook opgenomen hoeveel minuten vertraging en hoeveel afgeschafte reizigerstreinen aan dit incident worden toegeschreven.  Het lijnnummer en de plaats van het incident zijn ook gegeven.</p><p><b>Nota bene </b>: Als onafhankelijk infrastructuurbeheerder en beheerder van het treinverkeer zorgt Infrabel voor een analyse en een correcte toewijzing van de oorzaken van vertragingen. Het is daardoor soms mogelijk dat er nog heel lichte veranderingen in de cijfers kunnen zijn na deze analyse.</p>;Traffic beheer;Stiptheid,Incidenten,Reizigers,Afgeschafte treinen;Open licentie CC0 - Universeel;https://infrabel.opendatasoft.com/pages/license/;nl;nl,fr,en;;2024-01-12T10:00:00+00:00;False;False;2024-01-12T10:03:46+00:00;2024-02-01T02:24:18.268000+00:00;world_be;True;Belgium;;;Traffic Management and Services;;656;Infrabel;;;;;;True;;;Maandelijks - Mensuel - Monthly;belangrijkste-incidenten
Stiptheid bij aankomst in Brussel per moment;<p>Maandelijkse stiptheid bij aankomst in het eerste Brusselse station van de Noord-Zuidverbindind per moment (ochtend- en avondspits, daluren en weekends). </p><p>De trein wordt als stipt beschouwd als hij met minder dan 6 minuten vertraging in het station aankomt.</p>;Traffic beheer;Stiptheid,Reizigers,Binnenlandse treinen,Brussel;Open licentie CC0 - Universeel;https://infrabel.opendatasoft.com/pages/license/;nl;nl,fr,en;;2024-01-12T10:00:00+00:00;False;False;2024-01-12T09:52:09+00:00;2024-02-01T02:24:17.683000+00:00;world_be;True;Belgium;;;Traffic Management and Services;;384;Infrabel;;;;;;True;;;Maandelijks - Mensuel - Monthly;stiptheid-bij-aankomst-in-brussels-per-moment
Nationale gepondereerde stiptheid per maand;<p>Dit gepondereerd percentage houdt rekening met het aantal reizigers aan boord van de treinen: de vertraging van een volle trein in de spits weegt bijvoorbeeld zwaarder door dan die van een minder volle trein in de daluren.</p><p>Het stiptheidspercentage geeft aan hoeveel procent van alle binnenlandse treinen, over een periode van een maand, met een vertraging van maximaal 5 minuten en 59 seconden aangekomen zijn in hun eindbestemmingsstation. Voor de treinen die door de Brusselse Noord-Zuid verbinding rijden, geldt de aankomst in het eerste station van de verbinding dat zij op hun reisweg aandoen.</p>;Traffic beheer;Stiptheid,Nationaal,Binnenlandse treinen,Reizigers;Open licentie CC0 - Universeel;https://infrabel.opendatasoft.com/pages/license/;nl;nl,fr,en;;2024-01-12T10:00:00+00:00;False;False;2024-01-12T09:47:59+00:00;2024-02-01T02:24:04.928000+00:00;world_be;True;Belgium;;;Traffic Management and Services;;96;Infrabel;;;;;;True;;;Maandelijks - Mensuel - Monthly;nationale-gepondereerde-stiptheid-per-maand
Maandelijkse stiptheid per stopplaats;<p>Maandelijks percentage van alle binnenlandse reizigerstreinen die met een vertraging van maximaal 5 minuten en 59 seconden aangekomen zijn in het stopplaats.</p>;Traffic beheer,Geolocatie;Stiptheid,Reizigers,Stations,Binnenlandse treinen;Open licentie CC0 - Universeel;https://infrabel.opendatasoft.com/pages/license/;nl;nl,fr,en;;2024-01-12T10:00:00+00:00;False;False;2024-01-12T09:39:31+00:00;2024-02-01T02:24:28.298000+00:00;be_40_03000,be_40_02000;True;Région wallonne,Région flamande;Point;;Traffic Management and Services;;13396;Infrabel;;;;;;True;;;Maandelijks - Mensuel - Monthly;maandelijkse-stiptheid-per-stopplaats
Voorstelling van de afstanden tussen aangrenzende stations op het spoorwegnet;"<p>Indeling van het Infrabel-spoornetwerk volgens de kortste weg tussen twee aangrenzende reizigersstations op de reizigerslijnen. Deze lijst geeft ook een schatting van de afstand.</p>
<p><b>Belangrijke opmerkingen:</b></p>
<ul>
<li>Als er twee trajecten mogelijk zijn tussen twee stations, werd het kortste traject gekozen.</li>
<li>Het is aan de gebruikers om de fragmenten samen te brengen om de route tussen twee verafgelegen stations te bekomen. U zult in deze dataset bijvoorbeeld de route tussen ""Brussel-Zuid"" en ""Brussel-Kapelkerke"" vinden, maar niet  de volledige route tussen ""Brussel-Zuid"" en ""Aarlen"".</li>
<li>Deze gegevens hebben als doel schematische weergaves van het Belgische spoornetwerk mogelijk te maken (en dit voor een schaal van max. 1/25.000). Voor een meer precieze geolocalisatie van de hoofdsporen, raden wij deze dataset aan : <a href=""https://infrabel.opendatasoft.com/explore/dataset/geosporen/information/?disjunctive.trackcode&amp;disjunctive.linecalfa"">Lijst en geografische voorstelling van de hoofdsporen.</a></li>
<li>Het is ook zo dat een station nooit op een precies punt ligt, aangezien de perrons vaak honderden meter lang zijn. Verder zijn de afstanden betrouwbaarder indien we ze optellen om een langer trajet te bestuderen. </li>
<li>Tenslotte geven deze gegevens geen enkele indicatie over de voorziene of actuele dienstregelingen die door de spooroperatoren beheerd worden.  Een overzicht van de aankomst- en  vertrektijden van de treinen per station in het verleden zijn beschikbaar <a href=""https://infrabel.opendatasoft.com/explore/dataset/stiptheid-gegevens-maandelijksebestanden/information/"">via de ruwe gegevens in verband met de stiptheid.</a></li>
</ul>";Infrastructuur,Geolocatie;Lijnen;Open licentie CC0 - Universeel;https://infrabel.opendatasoft.com/pages/license/;nl;nl,fr,en;;2022-07-05T14:23:19.314000+00:00;True;True;2023-07-10T08:48:06+00:00;2024-02-01T02:24:26.893000+00:00;world_be;False;Belgium;LineString;"{""coordinates"": [[[6.0517870634794235, 51.4627369819209], [2.6024010591208935, 51.4627369819209], [2.6024010591208935, 49.54679204151034], [6.0517870634794235, 49.54679204151034], [6.0517870634794235, 51.4627369819209]]], ""type"": ""Polygon""}";Assets Management;;1385;Infrabel;;;;;;True;;;Halfjaarlijks - Semestriel - Half-yearly;station_to_station
