Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Nooit/minder dan 1 keer per maand (%),Meerdere keren per maand (%),Minstens wekelijks (%),Dagelijks (%)
 Diksmuide ,32003,nee,Actief bewegen,2020,0.16,0.19,0.42,0.23
 Dilbeek ,23016,nee,Actief bewegen,2020,0.15,0.18,0.47,0.2
 Dilsen-Stokkem ,72041,nee,Actief bewegen,2020,0.14,0.2,0.43,0.23
 Drogenbos ,23098,nee,Actief bewegen,2020,0.1,0.24,0.38,0.29
 Duffel ,12009,nee,Actief bewegen,2020,0.14,0.21,0.39,0.27
 Edegem ,11013,nee,Actief bewegen,2020,0.05,0.18,0.5,0.27
 Eeklo ,43005,nee,Actief bewegen,2020,0.14,0.21,0.39,0.26
 Erpe-Mere ,41082,nee,Actief bewegen,2020,0.16,0.23,0.44,0.17
 Essen ,11016,nee,Actief bewegen,2020,0.1,0.18,0.47,0.25
 Evergem ,44019,nee,Actief bewegen,2020,0.13,0.23,0.44,0.2
 Galmaarden ,23023,nee,Actief bewegen,2020,0.16,0.21,0.51,0.12
 Gavere ,44020,nee,Actief bewegen,2020,0.13,0.23,0.46,0.18
 Geel ,13008,nee,Actief bewegen,2020,0.1,0.18,0.47,0.25
 Geetbets ,24028,nee,Actief bewegen,2020,0.17,0.18,0.45,0.19
 Genk ,71016,ja,Actief bewegen,2017,0.17,0.2,0.41,0.22
 Genk ,71016,ja,Actief bewegen,2020,0.14,0.2,0.44,0.23
 Gent ,44021,ja,Actief bewegen,2017,0.12,0.17,0.41,0.3
 Gent ,44021,ja,Actief bewegen,2020,0.09,0.15,0.47,0.29
 Geraardsbergen ,41018,nee,Actief bewegen,2020,0.13,0.26,0.43,0.18
 Gingelom ,71017,nee,Actief bewegen,2020,0.16,0.21,0.43,0.19
 Gistel ,35005,nee,Actief bewegen,2020,0.13,0.23,0.43,0.21
 Glabbeek ,24137,nee,Actief bewegen,2020,0.14,0.21,0.49,0.15
 Gooik ,23024,nee,Actief bewegen,2020,0.17,0.19,0.48,0.16
 Grimbergen ,23025,nee,Actief bewegen,2020,0.12,0.18,0.49,0.21
 Grobbendonk ,13010,nee,Actief bewegen,2020,0.09,0.23,0.45,0.23
 Haacht ,24033,nee,Actief bewegen,2020,0.08,0.2,0.46,0.25
 Haaltert ,41024,nee,Actief bewegen,2020,0.18,0.22,0.45,0.15
 Halen ,71020,nee,Actief bewegen,2020,0.13,0.18,0.52,0.17
 Halle ,23027,nee,Actief bewegen,2020,0.13,0.18,0.46,0.24
 Ham ,71069,nee,Actief bewegen,2020,0.1,0.22,0.49,0.19
 Hamme ,42008,nee,Actief bewegen,2020,0.16,0.2,0.42,0.22
 Hamont-Achel ,72037,nee,Actief bewegen,2020,0.13,0.15,0.49,0.23
 Harelbeke ,34013,nee,Actief bewegen,2020,0.13,0.21,0.46,0.19
 Hasselt ,71022,ja,Actief bewegen,2017,0.11,0.15,0.49,0.25
 Hasselt ,71022,ja,Actief bewegen,2020,0.09,0.16,0.48,0.27
 Hechtel-Eksel,72038,nee,Actief bewegen,2020,0.09,0.17,0.48,0.25
 Heers ,73022,nee,Actief bewegen,2020,0.13,0.23,0.41,0.23
 Heist-Op-Den-Berg ,12014,nee,Actief bewegen,2020,0.12,0.16,0.49,0.24
 Hemiksem ,11018,nee,Actief bewegen,2020,0.08,0.19,0.43,0.3
 Herent ,24038,nee,Actief bewegen,2020,0.07,0.18,0.51,0.24
 Herentals ,13011,nee,Actief bewegen,2020,0.11,0.18,0.46,0.25
 Herenthout ,13012,nee,Actief bewegen,2020,0.13,0.21,0.4,0.25
 Herk-De-Stad ,71024,nee,Actief bewegen,2020,0.16,0.2,0.45,0.18
