Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Ontevreden (%),Neutraal (%),Tevreden (%)
 De Pinte ,44012,nee,Tevredenheid over kinderopvang,2017,0.05,0.16,0.79
 De Pinte ,44012,nee,Tevredenheid over kinderopvang,2020,0.05,0.15,0.79
 Deerlijk ,34009,nee,Tevredenheid over kinderopvang,2017,0.1,0.18,0.71
 Deerlijk ,34009,nee,Tevredenheid over kinderopvang,2020,0.06,0.24,0.7
 Deinze ,44011,nee,Tevredenheid over kinderopvang,2017,0.12,0.2,0.68
 Deinze ,44083,nee,Tevredenheid over kinderopvang,2020,0.07,0.18,0.75
 Denderleeuw ,41011,nee,Tevredenheid over kinderopvang,2017,0.08,0.31,0.61
 Denderleeuw ,41011,nee,Tevredenheid over kinderopvang,2020,0.08,0.36,0.56
 Dendermonde ,42006,nee,Tevredenheid over kinderopvang,2017,0.09,0.23,0.67
 Dendermonde ,42006,nee,Tevredenheid over kinderopvang,2020,0.11,0.24,0.65
 Dentergem ,37002,nee,Tevredenheid over kinderopvang,2017,0.07,0.26,0.67
 Dentergem ,37002,nee,Tevredenheid over kinderopvang,2020,0.11,0.25,0.64
 Dessel ,13006,nee,Tevredenheid over kinderopvang,2017,0.04,0.12,0.84
 Dessel ,13006,nee,Tevredenheid over kinderopvang,2020,0.06,0.18,0.76
 Destelbergen ,44013,nee,Tevredenheid over kinderopvang,2017,0.09,0.26,0.65
 Destelbergen ,44013,nee,Tevredenheid over kinderopvang,2020,0.09,0.29,0.62
 Diepenbeek ,71011,nee,Tevredenheid over kinderopvang,2017,0.03,0.13,0.84
 Diepenbeek ,71011,nee,Tevredenheid over kinderopvang,2020,0.02,0.15,0.83
 Diest ,24020,nee,Tevredenheid over kinderopvang,2017,0.15,0.22,0.63
 Diest ,24020,nee,Tevredenheid over kinderopvang,2020,0.09,0.26,0.65
 Diksmuide ,32003,nee,Tevredenheid over kinderopvang,2017,0.08,0.19,0.72
 Diksmuide ,32003,nee,Tevredenheid over kinderopvang,2020,0.09,0.18,0.72
 Dilbeek ,23016,nee,Tevredenheid over kinderopvang,2017,0.2,0.36,0.45
 Dilbeek ,23016,nee,Tevredenheid over kinderopvang,2020,0.15,0.36,0.5
 Dilsen-Stokkem ,72041,nee,Tevredenheid over kinderopvang,2017,0.09,0.17,0.74
 Dilsen-Stokkem ,72041,nee,Tevredenheid over kinderopvang,2020,0.11,0.2,0.69
 Drogenbos ,23098,nee,Tevredenheid over kinderopvang,2017,0.17,0.29,0.54
 Drogenbos ,23098,nee,Tevredenheid over kinderopvang,2020,0.15,0.33,0.52
 Duffel ,12009,nee,Tevredenheid over kinderopvang,2017,0.05,0.17,0.78
 Duffel ,12009,nee,Tevredenheid over kinderopvang,2020,0.06,0.14,0.8
 Edegem ,11013,nee,Tevredenheid over kinderopvang,2017,0.08,0.2,0.73
 Edegem ,11013,nee,Tevredenheid over kinderopvang,2020,0.09,0.22,0.69
 Eeklo ,43005,nee,Tevredenheid over kinderopvang,2017,0.05,0.14,0.81
 Eeklo ,43005,nee,Tevredenheid over kinderopvang,2020,0.04,0.2,0.75
 Erpe-Mere ,41082,nee,Tevredenheid over kinderopvang,2017,0.1,0.3,0.6
 Erpe-Mere ,41082,nee,Tevredenheid over kinderopvang,2020,0.11,0.25,0.64
 Essen ,11016,nee,Tevredenheid over kinderopvang,2017,0.06,0.19,0.76
 Essen ,11016,nee,Tevredenheid over kinderopvang,2020,0.07,0.23,0.71
 Evergem ,44019,nee,Tevredenheid over kinderopvang,2017,0.06,0.24,0.71
 Evergem ,44019,nee,Tevredenheid over kinderopvang,2020,0.04,0.2,0.76
 Galmaarden ,23023,nee,Tevredenheid over kinderopvang,2017,0.16,0.23,0.61
 Galmaarden ,23023,nee,Tevredenheid over kinderopvang,2020,0.1,0.31,0.59
 Gavere ,44020,nee,Tevredenheid over kinderopvang,2017,0.08,0.24,0.69
 Gavere ,44020,nee,Tevredenheid over kinderopvang,2020,0.07,0.24,0.68
 Geel ,13008,nee,Tevredenheid over kinderopvang,2017,0.14,0.23,0.63
 Geel ,13008,nee,Tevredenheid over kinderopvang,2020,0.1,0.21,0.69
 Geetbets ,24028,nee,Tevredenheid over kinderopvang,2017,0.07,0.22,0.71
 Geetbets ,24028,nee,Tevredenheid over kinderopvang,2020,0.12,0.3,0.58
 Genk ,71016,ja,Tevredenheid over kinderopvang,2011,0.12,0.23,0.65
 Genk ,71016,ja,Tevredenheid over kinderopvang,2014,0.11,0.24,0.65
 Genk ,71016,ja,Tevredenheid over kinderopvang,2017,0.09,0.24,0.67
 Genk ,71016,ja,Tevredenheid over kinderopvang,2020,0.09,0.22,0.68
 Gent ,44021,ja,Tevredenheid over kinderopvang,2011,0.19,0.27,0.54
 Gent ,44021,ja,Tevredenheid over kinderopvang,2014,0.17,0.3,0.53
 Gent ,44021,ja,Tevredenheid over kinderopvang,2017,0.16,0.28,0.56
 Gent ,44021,ja,Tevredenheid over kinderopvang,2020,0.14,0.25,0.61
 Geraardsbergen ,41018,nee,Tevredenheid over kinderopvang,2017,0.13,0.26,0.61
 Geraardsbergen ,41018,nee,Tevredenheid over kinderopvang,2020,0.1,0.31,0.59
 Gingelom ,71017,nee,Tevredenheid over kinderopvang,2017,0.08,0.21,0.71
 Gingelom ,71017,nee,Tevredenheid over kinderopvang,2020,0.1,0.2,0.7
 Gistel ,35005,nee,Tevredenheid over kinderopvang,2017,0.07,0.23,0.69
 Gistel ,35005,nee,Tevredenheid over kinderopvang,2020,0.17,0.17,0.66
 Glabbeek ,24137,nee,Tevredenheid over kinderopvang,2017,0.08,0.19,0.73
 Glabbeek ,24137,nee,Tevredenheid over kinderopvang,2020,0.08,0.16,0.76
 Gooik ,23024,nee,Tevredenheid over kinderopvang,2017,0.06,0.24,0.7
 Gooik ,23024,nee,Tevredenheid over kinderopvang,2020,0.1,0.28,0.62
 Grimbergen ,23025,nee,Tevredenheid over kinderopvang,2017,0.21,0.32,0.47
 Grimbergen ,23025,nee,Tevredenheid over kinderopvang,2020,0.19,0.39,0.42
 Grobbendonk ,13010,nee,Tevredenheid over kinderopvang,2017,0.03,0.19,0.78
